timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/23 00:50:49.015, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.77 W
2026/05/23 00:50:49.018, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 74.71 W
2026/05/23 00:50:49.021, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 74.76 W
2026/05/23 00:50:49.024, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 74.64 W
2026/05/23 00:51:19.027, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.52 W
2026/05/23 00:51:19.027, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 115.85 W
2026/05/23 00:51:19.028, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 113.97 W
2026/05/23 00:51:19.028, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.80 W
2026/05/23 00:51:49.028, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.81 W
2026/05/23 00:51:49.028, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 115.86 W
2026/05/23 00:51:49.028, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.11 W
2026/05/23 00:51:49.029, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.89 W
2026/05/23 00:52:19.029, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.88 W
2026/05/23 00:52:19.029, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 115.99 W
2026/05/23 00:52:19.029, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.20 W
2026/05/23 00:52:19.029, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.89 W
2026/05/23 00:52:49.030, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.92 W
2026/05/23 00:52:49.030, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 115.96 W
2026/05/23 00:52:49.030, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.25 W
2026/05/23 00:52:49.030, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 114.95 W
2026/05/23 00:53:19.030, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.97 W
