timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/26 15:28:58.451, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.39 W
2026/05/26 15:28:58.455, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.21 W
2026/05/26 15:28:58.458, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/26 15:28:58.461, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.24 W
2026/05/26 15:29:28.464, 0, NVIDIA H200, 93 %, 18 %, 23245 MiB, 143771 MiB, 465.17 W
2026/05/26 15:29:28.465, 1, NVIDIA H200, 98 %, 21 %, 23245 MiB, 143771 MiB, 455.18 W
2026/05/26 15:29:28.465, 2, NVIDIA H200, 71 %, 21 %, 23245 MiB, 143771 MiB, 460.33 W
2026/05/26 15:29:28.465, 3, NVIDIA H200, 71 %, 17 %, 23245 MiB, 143771 MiB, 453.68 W
2026/05/26 15:29:58.465, 0, NVIDIA H200, 69 %, 17 %, 23245 MiB, 143771 MiB, 463.50 W
2026/05/26 15:29:58.465, 1, NVIDIA H200, 69 %, 17 %, 23245 MiB, 143771 MiB, 445.01 W
2026/05/26 15:29:58.465, 2, NVIDIA H200, 80 %, 12 %, 23245 MiB, 143771 MiB, 452.26 W
2026/05/26 15:29:58.465, 3, NVIDIA H200, 99 %, 15 %, 23249 MiB, 143771 MiB, 446.13 W
2026/05/26 15:30:28.466, 0, NVIDIA H200, 99 %, 16 %, 23245 MiB, 143771 MiB, 478.02 W
2026/05/26 15:30:28.467, 1, NVIDIA H200, 72 %, 12 %, 23245 MiB, 143771 MiB, 461.98 W
2026/05/26 15:30:28.467, 2, NVIDIA H200, 78 %, 16 %, 23247 MiB, 143771 MiB, 478.32 W
2026/05/26 15:30:28.467, 3, NVIDIA H200, 72 %, 21 %, 23249 MiB, 143771 MiB, 454.42 W
