timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/27 16:24:57.029, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.77 W
2026/05/27 16:25:12.033, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.61 W
2026/05/27 16:25:27.034, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.37 W
2026/05/27 16:25:42.034, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.86 W
2026/05/27 16:25:57.035, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.71 W
2026/05/27 16:26:12.035, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.59 W
2026/05/27 16:26:27.036, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.58 W
2026/05/27 16:26:42.036, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.50 W
2026/05/27 16:26:57.037, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.46 W
2026/05/27 16:27:12.037, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.41 W
2026/05/27 16:27:27.038, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.38 W
2026/05/27 16:27:42.038, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.39 W
2026/05/27 16:27:57.039, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.37 W
2026/05/27 16:28:12.039, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.36 W
