timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/27 15:34:37.373, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.86 W
2026/05/27 15:34:37.377, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.41 W
2026/05/27 15:35:07.381, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.79 W
2026/05/27 15:35:07.381, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.42 W
2026/05/27 15:35:37.382, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.74 W
2026/05/27 15:35:37.382, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.44 W
2026/05/27 15:36:07.383, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.80 W
2026/05/27 15:36:07.383, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.48 W
2026/05/27 15:36:37.383, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.76 W
2026/05/27 15:36:37.384, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/27 15:37:07.384, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.72 W
2026/05/27 15:37:07.385, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.41 W
2026/05/27 15:37:37.385, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.72 W
2026/05/27 15:37:37.385, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.44 W
2026/05/27 15:38:07.386, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.68 W
2026/05/27 15:38:07.386, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/27 15:38:37.387, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.70 W
2026/05/27 15:38:37.387, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/27 15:39:07.387, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/27 15:39:07.388, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/27 15:39:37.388, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/27 15:39:37.389, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.40 W
2026/05/27 15:40:07.389, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.70 W
2026/05/27 15:40:07.389, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/27 15:40:37.390, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/27 15:40:37.390, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.32 W
2026/05/27 15:41:07.391, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/27 15:41:07.391, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/27 15:41:37.392, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/27 15:41:37.392, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.45 W
2026/05/27 15:42:07.393, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/27 15:42:07.393, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.33 W
2026/05/27 15:42:37.394, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/27 15:42:37.394, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/27 15:43:07.394, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/27 15:43:07.395, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.32 W
2026/05/27 15:43:37.395, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/27 15:43:37.395, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.37 W
2026/05/27 15:44:07.396, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/27 15:44:07.396, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/27 15:44:37.396, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/27 15:44:37.397, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/27 15:45:07.397, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/27 15:45:07.397, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.35 W
2026/05/27 15:45:37.398, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/27 15:45:37.398, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.35 W
2026/05/27 15:46:07.399, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/27 15:46:07.399, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.33 W
2026/05/27 15:46:37.400, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.66 W
2026/05/27 15:46:37.400, 1, NVIDIA H200, 0 %, 0 %, 621 MiB, 143771 MiB, 119.17 W
2026/05/27 15:47:07.400, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.69 W
2026/05/27 15:47:07.400, 1, NVIDIA H200, 0 %, 0 %, 621 MiB, 143771 MiB, 119.24 W
2026/05/27 15:47:37.400, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.64 W
2026/05/27 15:47:37.401, 1, NVIDIA H200, 0 %, 0 %, 621 MiB, 143771 MiB, 119.28 W
2026/05/27 15:48:07.401, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.62 W
2026/05/27 15:48:07.401, 1, NVIDIA H200, 0 %, 0 %, 621 MiB, 143771 MiB, 119.30 W
2026/05/27 15:48:37.401, 0, NVIDIA H200, 0 %, 0 %, 1577 MiB, 143771 MiB, 124.72 W
2026/05/27 15:48:37.402, 1, NVIDIA H200, 100 %, 0 %, 1577 MiB, 143771 MiB, 119.69 W
2026/05/27 15:49:07.402, 0, NVIDIA H200, 0 %, 0 %, 1577 MiB, 143771 MiB, 125.16 W
2026/05/27 15:49:07.403, 1, NVIDIA H200, 100 %, 0 %, 1577 MiB, 143771 MiB, 119.65 W
2026/05/27 15:49:37.403, 0, NVIDIA H200, 0 %, 0 %, 1577 MiB, 143771 MiB, 125.30 W
2026/05/27 15:49:37.403, 1, NVIDIA H200, 100 %, 0 %, 1577 MiB, 143771 MiB, 119.66 W
2026/05/27 15:50:07.404, 0, NVIDIA H200, 0 %, 0 %, 1577 MiB, 143771 MiB, 125.32 W
2026/05/27 15:50:07.404, 1, NVIDIA H200, 100 %, 0 %, 1577 MiB, 143771 MiB, 119.69 W
2026/05/27 15:50:37.405, 0, NVIDIA H200, 0 %, 0 %, 1577 MiB, 143771 MiB, 125.35 W
2026/05/27 15:50:37.405, 1, NVIDIA H200, 100 %, 0 %, 1577 MiB, 143771 MiB, 119.64 W
2026/05/27 15:51:07.406, 0, NVIDIA H200, 0 %, 0 %, 1651 MiB, 143771 MiB, 125.61 W
2026/05/27 15:51:07.406, 1, NVIDIA H200, 87 %, 0 %, 1651 MiB, 143771 MiB, 119.87 W
2026/05/27 15:51:37.406, 0, NVIDIA H200, 69 %, 14 %, 18119 MiB, 143771 MiB, 377.57 W
2026/05/27 15:51:37.407, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.15 W
2026/05/27 15:52:07.407, 0, NVIDIA H200, 3 %, 0 %, 18119 MiB, 143771 MiB, 129.81 W
2026/05/27 15:52:07.408, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.74 W
2026/05/27 15:52:37.408, 0, NVIDIA H200, 2 %, 0 %, 18119 MiB, 143771 MiB, 127.71 W
2026/05/27 15:52:37.408, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.64 W
