timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 09:05:30.824, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.34 W
2026/05/28 09:06:00.827, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.10 W
2026/05/28 09:06:30.828, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.92 W
2026/05/28 09:07:00.828, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.90 W
2026/05/28 09:07:30.828, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.76 W
2026/05/28 09:08:00.829, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.66 W
2026/05/28 09:08:30.829, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.55 W
2026/05/28 09:09:00.830, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.48 W
2026/05/28 09:09:30.831, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.42 W
2026/05/28 09:10:00.831, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.36 W
2026/05/28 09:10:30.832, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.25 W
2026/05/28 09:11:00.832, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.20 W
2026/05/28 09:11:30.833, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.22 W
2026/05/28 09:12:00.833, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.18 W
2026/05/28 09:12:30.834, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.17 W
2026/05/28 09:13:00.834, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.11 W
2026/05/28 09:13:30.835, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.11 W
2026/05/28 09:14:00.836, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.09 W
2026/05/28 09:14:30.836, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.06 W
2026/05/28 09:15:00.837, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.05 W
2026/05/28 09:15:30.837, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.08 W
2026/05/28 09:16:00.838, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.06 W
2026/05/28 09:16:30.838, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.03 W
2026/05/28 09:17:00.839, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.08 W
2026/05/28 09:17:30.839, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.05 W
2026/05/28 09:18:00.840, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.99 W
2026/05/28 09:18:30.840, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.98 W
2026/05/28 09:19:00.840, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.01 W
2026/05/28 09:19:30.841, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.98 W
2026/05/28 09:20:00.841, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.00 W
2026/05/28 09:20:30.842, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.94 W
2026/05/28 09:21:00.842, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.96 W
2026/05/28 09:21:30.842, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.95 W
2026/05/28 09:22:00.843, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.94 W
2026/05/28 09:22:30.843, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.98 W
2026/05/28 09:23:00.844, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.95 W
2026/05/28 09:23:30.845, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.95 W
2026/05/28 09:24:00.845, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.93 W
2026/05/28 09:24:30.846, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.93 W
2026/05/28 09:25:00.846, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.91 W
2026/05/28 09:25:30.846, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.93 W
2026/05/28 09:26:00.847, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.96 W
2026/05/28 09:26:30.847, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.94 W
2026/05/28 09:27:00.848, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.91 W
2026/05/28 09:27:30.848, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.95 W
2026/05/28 09:28:00.849, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.97 W
2026/05/28 09:28:30.849, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.00 W
2026/05/28 09:29:00.850, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.01 W
2026/05/28 09:29:30.850, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.04 W
2026/05/28 09:30:00.851, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.04 W
2026/05/28 09:30:30.851, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.03 W
2026/05/28 09:31:00.852, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.00 W
2026/05/28 09:31:30.852, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.01 W
2026/05/28 09:32:00.853, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.00 W
2026/05/28 09:32:30.853, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.00 W
2026/05/28 09:33:00.854, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.03 W
2026/05/28 09:33:30.854, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.05 W
2026/05/28 09:34:00.855, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.08 W
2026/05/28 09:34:30.855, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.04 W
2026/05/28 09:35:00.856, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.01 W
2026/05/28 09:35:30.856, 0, NVIDIA H200, 0 %, 0 %, 1283 MiB, 143771 MiB, 121.57 W
2026/05/28 09:36:00.857, 0, NVIDIA H200, 72 %, 12 %, 25077 MiB, 143771 MiB, 355.13 W
2026/05/28 09:36:30.857, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 122.26 W
2026/05/28 09:37:00.858, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.79 W
2026/05/28 09:37:30.858, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.78 W
2026/05/28 09:38:00.858, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.09 W
2026/05/28 09:38:30.859, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.11 W
2026/05/28 09:39:00.859, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.67 W
2026/05/28 09:39:30.860, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.62 W
2026/05/28 09:40:00.860, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.05 W
2026/05/28 09:40:30.861, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.03 W
2026/05/28 09:41:00.861, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.04 W
2026/05/28 09:41:30.862, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.16 W
2026/05/28 09:42:00.862, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 125.50 W
2026/05/28 09:42:30.863, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.62 W
2026/05/28 09:43:00.863, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.47 W
2026/05/28 09:43:30.864, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.50 W
2026/05/28 09:44:00.864, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.53 W
2026/05/28 09:44:30.865, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 122.18 W
2026/05/28 09:45:00.865, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 122.20 W
2026/05/28 09:45:30.866, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.75 W
2026/05/28 09:46:00.866, 0, NVIDIA H200, 0 %, 0 %, 25077 MiB, 143771 MiB, 121.48 W
