timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/27 20:38:41.928, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.33 W
2026/05/27 20:39:11.934, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.50 W
2026/05/27 20:39:41.935, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.46 W
2026/05/27 20:40:11.935, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.45 W
2026/05/27 20:40:41.936, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/27 20:41:11.936, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.44 W
2026/05/27 20:41:41.937, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.43 W
2026/05/27 20:42:11.938, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.44 W
2026/05/27 20:42:41.939, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.34 W
2026/05/27 20:43:11.939, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/27 20:43:41.940, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.34 W
2026/05/27 20:44:11.941, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/27 20:44:41.942, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/27 20:45:11.942, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/27 20:45:41.943, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.39 W
2026/05/27 20:46:11.944, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.41 W
2026/05/27 20:46:41.945, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.37 W
2026/05/27 20:47:11.945, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.38 W
2026/05/27 20:47:41.946, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.37 W
2026/05/27 20:48:11.946, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.42 W
2026/05/27 20:48:41.947, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.36 W
2026/05/27 20:49:11.947, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.37 W
2026/05/27 20:49:41.948, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.35 W
2026/05/27 20:50:11.949, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.34 W
2026/05/27 20:50:41.949, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.36 W
2026/05/27 20:51:11.950, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.37 W
