timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/27 17:29:10.451, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.03 W
2026/05/27 17:29:40.455, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.85 W
2026/05/27 17:30:10.456, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.78 W
2026/05/27 17:30:40.456, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.81 W
2026/05/27 17:31:10.457, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.82 W
2026/05/27 17:31:40.458, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.79 W
2026/05/27 17:32:10.459, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.71 W
2026/05/27 17:32:40.459, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.76 W
2026/05/27 17:33:10.460, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.69 W
2026/05/27 17:33:40.461, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.79 W
2026/05/27 17:34:10.461, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.71 W
2026/05/27 17:34:40.462, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/27 17:35:10.463, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.71 W
2026/05/27 17:35:40.463, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.80 W
2026/05/27 17:36:10.464, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.85 W
2026/05/27 17:36:40.465, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.83 W
2026/05/27 17:37:10.466, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.91 W
2026/05/27 17:37:40.466, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.84 W
2026/05/27 17:38:10.467, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.83 W
2026/05/27 17:38:40.468, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.87 W
2026/05/27 17:39:10.468, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.82 W
2026/05/27 17:39:40.469, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.84 W
2026/05/27 17:40:10.470, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.84 W
2026/05/27 17:40:40.470, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.85 W
2026/05/27 17:41:10.471, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.69 W
2026/05/27 17:41:40.472, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.68 W
2026/05/27 17:42:10.472, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.69 W
2026/05/27 17:42:40.474, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.68 W
2026/05/27 17:43:10.474, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.69 W
2026/05/27 17:43:40.475, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.72 W
2026/05/27 17:44:10.475, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.71 W
2026/05/27 17:44:40.476, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.71 W
2026/05/27 17:45:10.477, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.70 W
2026/05/27 17:45:40.477, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.71 W
2026/05/27 17:46:10.478, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.73 W
2026/05/27 17:46:40.478, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.69 W
2026/05/27 17:47:10.479, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.69 W
2026/05/27 17:47:40.479, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.70 W
2026/05/27 17:48:10.480, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.68 W
2026/05/27 17:48:40.480, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.71 W
2026/05/27 17:49:10.481, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.70 W
2026/05/27 17:49:40.482, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.69 W
2026/05/27 17:50:10.482, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.70 W
2026/05/27 17:50:40.483, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.68 W
2026/05/27 17:51:10.483, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.73 W
2026/05/27 17:51:40.484, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.71 W
2026/05/27 17:52:10.484, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.68 W
2026/05/27 17:52:40.485, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 167.05 W
2026/05/27 17:53:10.485, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 117.29 W
2026/05/27 17:53:40.486, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 117.35 W
2026/05/27 17:54:10.487, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 150.43 W
2026/05/27 17:54:40.487, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 150.24 W
2026/05/27 17:55:10.488, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 117.36 W
2026/05/27 17:55:40.489, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 165.20 W
2026/05/27 17:56:10.489, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 117.42 W
2026/05/27 17:56:40.490, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 117.33 W
2026/05/27 17:57:10.491, 0, NVIDIA H200, 0 %, 0 %, 22003 MiB, 143771 MiB, 119.93 W
2026/05/27 17:57:40.491, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.48 W
2026/05/27 17:58:10.492, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.41 W
2026/05/27 17:58:40.493, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 164.53 W
2026/05/27 17:59:10.493, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.46 W
2026/05/27 17:59:40.494, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.61 W
2026/05/27 18:00:10.495, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 143.08 W
2026/05/27 18:00:40.495, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.42 W
2026/05/27 18:01:10.496, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.38 W
2026/05/27 18:01:40.497, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.51 W
2026/05/27 18:02:10.498, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.40 W
2026/05/27 18:02:40.498, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.40 W
2026/05/27 18:03:10.499, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.39 W
2026/05/27 18:03:40.500, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.44 W
2026/05/27 18:04:10.501, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.50 W
2026/05/27 18:04:40.501, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 145.06 W
2026/05/27 18:05:10.502, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.42 W
2026/05/27 18:05:40.503, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.40 W
2026/05/27 18:06:10.503, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 147.63 W
2026/05/27 18:06:40.504, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.45 W
2026/05/27 18:07:10.505, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.46 W
2026/05/27 18:07:40.505, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.39 W
2026/05/27 18:08:10.506, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.39 W
2026/05/27 18:08:40.506, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.37 W
2026/05/27 18:09:10.507, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.37 W
2026/05/27 18:09:40.508, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.45 W
2026/05/27 18:10:10.508, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.39 W
2026/05/27 18:10:40.509, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 165.91 W
2026/05/27 18:11:10.510, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.41 W
2026/05/27 18:11:40.510, 0, NVIDIA H200, 0 %, 0 %, 22007 MiB, 143771 MiB, 117.37 W
