timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/27 22:39:33.636, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 81.45 W
2026/05/27 22:40:03.641, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 81.15 W
2026/05/27 22:40:33.642, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.93 W
2026/05/27 22:41:03.643, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.74 W
2026/05/27 22:41:33.643, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.65 W
2026/05/27 22:42:03.644, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.59 W
2026/05/27 22:42:33.644, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.64 W
2026/05/27 22:43:03.645, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.63 W
2026/05/27 22:43:33.646, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.59 W
2026/05/27 22:44:03.646, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.65 W
2026/05/27 22:44:33.647, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.61 W
2026/05/27 22:45:03.647, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.64 W
2026/05/27 22:45:33.648, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.61 W
2026/05/27 22:46:03.648, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.61 W
2026/05/27 22:46:33.649, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.64 W
2026/05/27 22:47:03.649, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.61 W
2026/05/27 22:47:33.650, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.62 W
2026/05/27 22:48:03.650, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.58 W
