timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 16:12:59.666, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.72 W
2026/05/24 16:12:59.669, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.46 W
2026/05/24 16:12:59.673, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.95 W
2026/05/24 16:12:59.676, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.11 W
2026/05/24 16:13:29.679, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 122.28 W
2026/05/24 16:13:29.680, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 117.47 W
2026/05/24 16:13:29.680, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.40 W
2026/05/24 16:13:29.680, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.39 W
2026/05/24 16:13:59.680, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 121.74 W
2026/05/24 16:13:59.680, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 117.34 W
2026/05/24 16:13:59.680, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.28 W
2026/05/24 16:13:59.680, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.20 W
2026/05/24 16:14:29.680, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 121.19 W
2026/05/24 16:14:29.681, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 117.14 W
2026/05/24 16:14:29.681, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.14 W
2026/05/24 16:14:29.681, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.90 W
2026/05/24 16:14:59.681, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 120.90 W
2026/05/24 16:14:59.681, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 117.03 W
2026/05/24 16:14:59.681, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.13 W
2026/05/24 16:14:59.681, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.64 W
2026/05/24 16:15:29.681, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.48 W
2026/05/24 16:15:29.682, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.95 W
2026/05/24 16:15:29.682, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.04 W
2026/05/24 16:15:29.682, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.48 W
2026/05/24 16:15:59.682, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.35 W
2026/05/24 16:15:59.683, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.92 W
2026/05/24 16:15:59.683, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 115.99 W
2026/05/24 16:15:59.683, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.38 W
2026/05/24 16:16:29.683, 0, NVIDIA H200, 90 %, 12 %, 5779 MiB, 143771 MiB, 369.07 W
2026/05/24 16:16:29.684, 1, NVIDIA H200, 51 %, 11 %, 5779 MiB, 143771 MiB, 350.04 W
2026/05/24 16:16:29.684, 2, NVIDIA H200, 65 %, 12 %, 5779 MiB, 143771 MiB, 355.28 W
2026/05/24 16:16:29.684, 3, NVIDIA H200, 77 %, 10 %, 5783 MiB, 143771 MiB, 343.92 W
2026/05/24 16:16:59.684, 0, NVIDIA H200, 57 %, 10 %, 5779 MiB, 143771 MiB, 356.74 W
2026/05/24 16:16:59.685, 1, NVIDIA H200, 73 %, 11 %, 5779 MiB, 143771 MiB, 369.17 W
2026/05/24 16:16:59.685, 2, NVIDIA H200, 80 %, 11 %, 5783 MiB, 143771 MiB, 364.61 W
2026/05/24 16:16:59.685, 3, NVIDIA H200, 81 %, 11 %, 5783 MiB, 143771 MiB, 380.77 W
2026/05/24 16:17:29.685, 0, NVIDIA H200, 62 %, 12 %, 7337 MiB, 143771 MiB, 361.18 W
2026/05/24 16:17:29.686, 1, NVIDIA H200, 91 %, 11 %, 5779 MiB, 143771 MiB, 372.29 W
2026/05/24 16:17:29.686, 2, NVIDIA H200, 41 %, 8 %, 5783 MiB, 143771 MiB, 334.26 W
2026/05/24 16:17:29.687, 3, NVIDIA H200, 49 %, 8 %, 5783 MiB, 143771 MiB, 351.40 W
2026/05/24 16:17:59.687, 0, NVIDIA H200, 53 %, 10 %, 7337 MiB, 143771 MiB, 350.76 W
2026/05/24 16:17:59.687, 1, NVIDIA H200, 82 %, 9 %, 5779 MiB, 143771 MiB, 360.40 W
2026/05/24 16:17:59.687, 2, NVIDIA H200, 54 %, 10 %, 5783 MiB, 143771 MiB, 344.57 W
2026/05/24 16:17:59.687, 3, NVIDIA H200, 80 %, 10 %, 5783 MiB, 143771 MiB, 366.91 W
2026/05/24 16:18:29.687, 0, NVIDIA H200, 88 %, 6 %, 7337 MiB, 143771 MiB, 379.69 W
2026/05/24 16:18:29.688, 1, NVIDIA H200, 83 %, 11 %, 5779 MiB, 143771 MiB, 378.04 W
2026/05/24 16:18:29.688, 2, NVIDIA H200, 68 %, 12 %, 5783 MiB, 143771 MiB, 354.39 W
2026/05/24 16:18:29.688, 3, NVIDIA H200, 57 %, 11 %, 5783 MiB, 143771 MiB, 367.89 W
2026/05/24 16:18:59.689, 0, NVIDIA H200, 80 %, 11 %, 7337 MiB, 143771 MiB, 402.35 W
2026/05/24 16:18:59.689, 1, NVIDIA H200, 62 %, 12 %, 5779 MiB, 143771 MiB, 357.65 W
2026/05/24 16:18:59.689, 2, NVIDIA H200, 83 %, 12 %, 5783 MiB, 143771 MiB, 371.56 W
2026/05/24 16:18:59.690, 3, NVIDIA H200, 57 %, 10 %, 5783 MiB, 143771 MiB, 377.43 W
2026/05/24 16:19:29.690, 0, NVIDIA H200, 56 %, 10 %, 7337 MiB, 143771 MiB, 378.84 W
2026/05/24 16:19:29.691, 1, NVIDIA H200, 66 %, 12 %, 5779 MiB, 143771 MiB, 360.28 W
2026/05/24 16:19:29.691, 2, NVIDIA H200, 56 %, 11 %, 5783 MiB, 143771 MiB, 341.75 W
2026/05/24 16:19:29.691, 3, NVIDIA H200, 56 %, 11 %, 5783 MiB, 143771 MiB, 361.57 W
2026/05/24 16:19:59.691, 0, NVIDIA H200, 56 %, 11 %, 7337 MiB, 143771 MiB, 384.35 W
