timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 14:47:07.068, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.58 W
2026/05/28 14:47:17.074, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.59 W
2026/05/28 14:47:27.075, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.52 W
2026/05/28 14:47:37.076, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.54 W
2026/05/28 14:47:47.078, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.52 W
2026/05/28 14:47:57.079, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.52 W
2026/05/28 14:48:07.080, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.51 W
2026/05/28 14:48:17.081, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.46 W
2026/05/28 14:48:27.082, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.47 W
2026/05/28 14:48:37.084, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.45 W
2026/05/28 14:48:47.085, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.47 W
2026/05/28 14:48:57.086, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.45 W
2026/05/28 14:49:07.088, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.41 W
2026/05/28 14:49:17.089, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.43 W
2026/05/28 14:49:27.090, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.43 W
2026/05/28 14:49:37.091, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.43 W
2026/05/28 14:49:47.092, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.41 W
2026/05/28 14:49:57.094, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.45 W
2026/05/28 14:50:07.095, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.43 W
2026/05/28 14:50:17.096, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.46 W
2026/05/28 14:50:27.097, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.46 W
2026/05/28 14:50:37.098, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.47 W
2026/05/28 14:50:47.100, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.42 W
2026/05/28 14:50:57.101, 0, NVIDIA H200, 0 %, 0 %, 537 MiB, 143771 MiB, 120.14 W
2026/05/28 14:51:07.102, 0, NVIDIA H200, 0 %, 0 %, 537 MiB, 143771 MiB, 120.32 W
2026/05/28 14:51:17.103, 0, NVIDIA H200, 11 %, 2 %, 2205 MiB, 143771 MiB, 139.10 W
2026/05/28 14:51:27.104, 0, NVIDIA H200, 0 %, 0 %, 2205 MiB, 143771 MiB, 138.63 W
2026/05/28 14:51:37.105, 0, NVIDIA H200, 5 %, 1 %, 2205 MiB, 143771 MiB, 139.17 W
2026/05/28 14:51:47.107, 0, NVIDIA H200, 11 %, 2 %, 2205 MiB, 143771 MiB, 138.51 W
2026/05/28 14:51:57.108, 0, NVIDIA H200, 10 %, 2 %, 2205 MiB, 143771 MiB, 138.61 W
2026/05/28 14:52:07.109, 0, NVIDIA H200, 11 %, 2 %, 2205 MiB, 143771 MiB, 138.87 W
2026/05/28 14:52:17.110, 0, NVIDIA H200, 0 %, 0 %, 2205 MiB, 143771 MiB, 139.53 W
2026/05/28 14:52:27.112, 0, NVIDIA H200, 11 %, 2 %, 2205 MiB, 143771 MiB, 139.85 W
2026/05/28 14:52:37.113, 0, NVIDIA H200, 0 %, 0 %, 2205 MiB, 143771 MiB, 140.20 W
2026/05/28 14:52:47.114, 0, NVIDIA H200, 4 %, 1 %, 2205 MiB, 143771 MiB, 136.95 W
2026/05/28 14:52:57.115, 0, NVIDIA H200, 11 %, 2 %, 2205 MiB, 143771 MiB, 138.88 W
2026/05/28 14:53:07.116, 0, NVIDIA H200, 11 %, 2 %, 2211 MiB, 143771 MiB, 136.92 W
2026/05/28 14:53:17.117, 0, NVIDIA H200, 0 %, 0 %, 2211 MiB, 143771 MiB, 139.73 W
2026/05/28 14:53:27.118, 0, NVIDIA H200, 11 %, 2 %, 2211 MiB, 143771 MiB, 138.29 W
2026/05/28 14:53:37.119, 0, NVIDIA H200, 7 %, 1 %, 2211 MiB, 143771 MiB, 140.34 W
2026/05/28 14:53:47.121, 0, NVIDIA H200, 0 %, 0 %, 2211 MiB, 143771 MiB, 139.22 W
2026/05/28 14:53:57.122, 0, NVIDIA H200, 7 %, 1 %, 2211 MiB, 143771 MiB, 139.20 W
2026/05/28 14:54:07.123, 0, NVIDIA H200, 5 %, 1 %, 2211 MiB, 143771 MiB, 138.88 W
2026/05/28 14:54:17.124, 0, NVIDIA H200, 8 %, 1 %, 2211 MiB, 143771 MiB, 139.78 W
2026/05/28 14:54:27.125, 0, NVIDIA H200, 11 %, 2 %, 2211 MiB, 143771 MiB, 138.58 W
2026/05/28 14:54:37.126, 0, NVIDIA H200, 11 %, 2 %, 2211 MiB, 143771 MiB, 139.64 W
2026/05/28 14:54:47.127, 0, NVIDIA H200, 0 %, 0 %, 2211 MiB, 143771 MiB, 129.49 W
