timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 15:09:56.552, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.47 W
2026/05/28 15:10:06.557, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.45 W
2026/05/28 15:10:16.558, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.40 W
2026/05/28 15:10:26.559, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.36 W
2026/05/28 15:10:36.561, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.26 W
2026/05/28 15:10:46.562, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.59 W
2026/05/28 15:10:56.563, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.56 W
2026/05/28 15:11:06.564, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.55 W
2026/05/28 15:11:16.566, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.53 W
2026/05/28 15:11:26.567, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.47 W
2026/05/28 15:11:36.568, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.44 W
2026/05/28 15:11:46.570, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.41 W
2026/05/28 15:11:56.571, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.37 W
2026/05/28 15:12:06.572, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.37 W
2026/05/28 15:12:16.573, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.35 W
2026/05/28 15:12:26.574, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.31 W
2026/05/28 15:12:36.576, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.39 W
2026/05/28 15:12:46.577, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.36 W
2026/05/28 15:12:56.578, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.31 W
2026/05/28 15:13:06.579, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.37 W
2026/05/28 15:13:16.580, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.32 W
2026/05/28 15:13:26.582, 0, NVIDIA H200, 0 %, 0 %, 559 MiB, 143771 MiB, 117.46 W
2026/05/28 15:13:36.583, 0, NVIDIA H200, 0 %, 0 %, 559 MiB, 143771 MiB, 117.62 W
2026/05/28 15:13:46.584, 0, NVIDIA H200, 0 %, 0 %, 559 MiB, 143771 MiB, 117.67 W
2026/05/28 15:13:56.585, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 131.40 W
2026/05/28 15:14:06.587, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 129.77 W
2026/05/28 15:14:16.588, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 132.58 W
2026/05/28 15:14:26.589, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 133.80 W
2026/05/28 15:14:36.590, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 130.37 W
2026/05/28 15:14:46.591, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 131.74 W
2026/05/28 15:14:56.593, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 129.39 W
2026/05/28 15:15:06.594, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 131.53 W
2026/05/28 15:15:16.595, 0, NVIDIA H200, 0 %, 0 %, 2015 MiB, 143771 MiB, 130.90 W
2026/05/28 15:15:26.596, 0, NVIDIA H200, 8 %, 1 %, 2015 MiB, 143771 MiB, 132.85 W
2026/05/28 15:15:36.597, 0, NVIDIA H200, 0 %, 0 %, 2373 MiB, 143771 MiB, 144.51 W
2026/05/28 15:15:46.599, 0, NVIDIA H200, 0 %, 0 %, 2373 MiB, 143771 MiB, 145.41 W
2026/05/28 15:15:56.600, 0, NVIDIA H200, 18 %, 3 %, 2373 MiB, 143771 MiB, 148.64 W
2026/05/28 15:16:06.601, 0, NVIDIA H200, 18 %, 3 %, 2373 MiB, 143771 MiB, 148.99 W
2026/05/28 15:16:16.602, 0, NVIDIA H200, 1 %, 0 %, 2373 MiB, 143771 MiB, 149.72 W
2026/05/28 15:16:26.603, 0, NVIDIA H200, 18 %, 3 %, 2373 MiB, 143771 MiB, 146.87 W
2026/05/28 15:16:36.605, 0, NVIDIA H200, 0 %, 0 %, 2373 MiB, 143771 MiB, 150.41 W
2026/05/28 15:16:46.606, 0, NVIDIA H200, 18 %, 3 %, 2373 MiB, 143771 MiB, 146.76 W
2026/05/28 15:16:56.607, 0, NVIDIA H200, 18 %, 3 %, 2373 MiB, 143771 MiB, 147.89 W
2026/05/28 15:17:06.608, 0, NVIDIA H200, 10 %, 2 %, 2373 MiB, 143771 MiB, 149.65 W
2026/05/28 15:17:16.609, 0, NVIDIA H200, 0 %, 0 %, 2373 MiB, 143771 MiB, 147.54 W
2026/05/28 15:17:26.611, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 150.23 W
2026/05/28 15:17:36.612, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 147.63 W
2026/05/28 15:17:46.613, 0, NVIDIA H200, 18 %, 3 %, 2375 MiB, 143771 MiB, 148.90 W
2026/05/28 15:17:56.614, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 151.01 W
2026/05/28 15:18:06.616, 0, NVIDIA H200, 16 %, 2 %, 2375 MiB, 143771 MiB, 144.99 W
2026/05/28 15:18:16.617, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 118.12 W
2026/05/28 15:18:26.618, 0, NVIDIA H200, 7 %, 1 %, 2375 MiB, 143771 MiB, 151.13 W
2026/05/28 15:18:36.620, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 150.71 W
2026/05/28 15:18:46.621, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 148.25 W
2026/05/28 15:18:56.622, 0, NVIDIA H200, 18 %, 3 %, 2375 MiB, 143771 MiB, 148.78 W
2026/05/28 15:19:06.623, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 145.67 W
2026/05/28 15:19:16.624, 0, NVIDIA H200, 3 %, 0 %, 2375 MiB, 143771 MiB, 123.77 W
2026/05/28 15:19:26.626, 0, NVIDIA H200, 3 %, 0 %, 2375 MiB, 143771 MiB, 126.10 W
2026/05/28 15:19:36.627, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 118.14 W
2026/05/28 15:19:46.628, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 118.04 W
2026/05/28 15:19:56.629, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 117.98 W
2026/05/28 15:20:06.630, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 117.91 W
2026/05/28 15:20:16.632, 0, NVIDIA H200, 0 %, 0 %, 2375 MiB, 143771 MiB, 117.92 W
