timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 11:29:35.636, 0, 0, 0, 0, 143771, 85.17
2026/05/28 11:29:40.664, 0, 0, 0, 0, 143771, 85.32
2026/05/28 11:29:45.690, 0, 0, 0, 0, 143771, 85.41
2026/05/28 11:29:50.722, 0, 0, 0, 0, 143771, 85.55
2026/05/28 11:29:55.750, 0, 5, 0, 965, 143771, 133.40
2026/05/28 11:30:00.776, 0, 3, 0, 965, 143771, 137.56
2026/05/28 11:30:05.802, 0, 5, 0, 965, 143771, 138.48
2026/05/28 11:30:10.829, 0, 2, 0, 965, 143771, 138.13
2026/05/28 11:30:15.856, 0, 22, 0, 965, 143771, 136.32
2026/05/28 11:30:20.883, 0, 22, 0, 965, 143771, 136.35
2026/05/28 11:30:25.909, 0, 22, 0, 965, 143771, 136.29
2026/05/28 11:30:30.934, 0, 22, 0, 965, 143771, 136.30
2026/05/28 11:30:35.959, 0, 22, 0, 965, 143771, 136.31
2026/05/28 11:30:40.985, 0, 22, 0, 965, 143771, 136.18
2026/05/28 11:30:46.010, 0, 22, 0, 965, 143771, 136.14
2026/05/28 11:30:51.039, 0, 23, 0, 965, 143771, 136.00
2026/05/28 11:30:56.064, 0, 22, 0, 965, 143771, 135.92
2026/05/28 11:31:01.089, 0, 22, 0, 965, 143771, 135.78
2026/05/28 11:31:06.115, 0, 22, 0, 965, 143771, 135.78
2026/05/28 11:31:11.144, 0, 22, 0, 965, 143771, 135.60
2026/05/28 11:31:16.168, 0, 23, 0, 965, 143771, 135.51
2026/05/28 11:31:21.193, 0, 22, 0, 965, 143771, 135.53
2026/05/28 11:31:26.220, 0, 22, 0, 965, 143771, 135.35
2026/05/28 11:31:31.245, 0, 22, 0, 965, 143771, 135.22
2026/05/28 11:31:36.271, 0, 23, 0, 965, 143771, 135.21
2026/05/28 11:31:41.296, 0, 0, 0, 965, 143771, 134.91
