timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 01:42:57.464, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.11 W
2026/05/28 01:42:57.467, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.78 W
2026/05/28 01:42:58.471, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.08 W
2026/05/28 01:42:58.471, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.79 W
2026/05/28 01:42:59.472, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.18 W
2026/05/28 01:42:59.472, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.78 W
2026/05/28 01:43:00.473, 0, NVIDIA H200, 0 %, 0 %, 1 MiB, 143771 MiB, 78.19 W
2026/05/28 01:43:00.485, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.89 W
2026/05/28 01:43:01.488, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 84.93 W
2026/05/28 01:43:01.488, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 98.32 W
2026/05/28 01:43:02.490, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.47 W
2026/05/28 01:43:02.490, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.21 W
2026/05/28 01:43:03.490, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.51 W
2026/05/28 01:43:03.526, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.17 W
2026/05/28 01:43:04.529, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.47 W
2026/05/28 01:43:04.529, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.21 W
2026/05/28 01:43:05.529, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.40 W
2026/05/28 01:43:05.529, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.22 W
2026/05/28 01:43:06.530, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.51 W
2026/05/28 01:43:06.530, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.17 W
