timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 01:40:31.079, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.33 W
2026/05/28 01:40:31.082, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.68 W
2026/05/28 01:40:32.085, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.41 W
2026/05/28 01:40:32.086, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.67 W
2026/05/28 01:40:33.086, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/28 01:40:33.086, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.71 W
2026/05/28 01:40:34.086, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.28 W
2026/05/28 01:40:34.087, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.68 W
2026/05/28 01:40:35.087, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.50 W
2026/05/28 01:40:35.148, 1, NVIDIA H200, 0 %, 0 %, 23 MiB, 143771 MiB, 86.78 W
2026/05/28 01:40:36.205, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 110.18 W
2026/05/28 01:40:36.205, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.49 W
2026/05/28 01:40:37.205, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.36 W
2026/05/28 01:40:37.205, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.04 W
2026/05/28 01:40:38.206, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.25 W
2026/05/28 01:40:38.206, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.08 W
2026/05/28 01:40:39.206, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.39 W
2026/05/28 01:40:39.206, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.12 W
2026/05/28 01:40:40.207, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.41 W
2026/05/28 01:40:40.207, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.13 W
2026/05/28 01:40:41.207, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.32 W
2026/05/28 01:40:41.207, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.16 W
2026/05/28 01:40:42.208, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.35 W
2026/05/28 01:40:42.208, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.15 W
2026/05/28 01:40:43.208, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.44 W
2026/05/28 01:40:43.208, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.11 W
2026/05/28 01:40:44.208, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.42 W
2026/05/28 01:40:44.209, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.10 W
2026/05/28 01:40:45.209, 0, NVIDIA H200, 5 %, 0 %, 1115 MiB, 143771 MiB, 118.42 W
2026/05/28 01:40:45.209, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.13 W
2026/05/28 01:40:46.210, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 216.17 W
2026/05/28 01:40:46.210, 1, NVIDIA H200, 100 %, 30 %, 4199 MiB, 143771 MiB, 212.05 W
2026/05/28 01:40:47.210, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.87 W
2026/05/28 01:40:47.210, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.42 W
2026/05/28 01:40:48.210, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.79 W
2026/05/28 01:40:48.211, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.11 W
2026/05/28 01:40:49.211, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.69 W
2026/05/28 01:40:49.211, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.03 W
2026/05/28 01:40:50.211, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.72 W
2026/05/28 01:40:50.212, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 115.99 W
2026/05/28 01:40:51.212, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.73 W
2026/05/28 01:40:51.212, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.01 W
2026/05/28 01:40:52.212, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.70 W
2026/05/28 01:40:52.213, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.02 W
2026/05/28 01:40:53.213, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.67 W
2026/05/28 01:40:53.213, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.04 W
2026/05/28 01:40:54.213, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.74 W
2026/05/28 01:40:54.214, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.06 W
2026/05/28 01:40:55.214, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.77 W
2026/05/28 01:40:55.214, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.03 W
2026/05/28 01:40:56.214, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 214.51 W
2026/05/28 01:40:56.215, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 115.97 W
2026/05/28 01:40:57.215, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.98 W
2026/05/28 01:40:57.215, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 209.83 W
2026/05/28 01:40:58.216, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.93 W
2026/05/28 01:40:58.216, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.25 W
2026/05/28 01:40:59.216, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.87 W
2026/05/28 01:40:59.216, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.19 W
2026/05/28 01:41:00.216, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.76 W
2026/05/28 01:41:00.228, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.14 W
2026/05/28 01:41:01.229, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.75 W
2026/05/28 01:41:01.229, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.15 W
2026/05/28 01:41:02.230, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.84 W
2026/05/28 01:41:02.230, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.10 W
2026/05/28 01:41:03.230, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.80 W
2026/05/28 01:41:03.230, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.08 W
2026/05/28 01:41:04.230, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.71 W
2026/05/28 01:41:04.231, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.09 W
2026/05/28 01:41:05.231, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 118.76 W
2026/05/28 01:41:05.231, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.08 W
2026/05/28 01:41:06.231, 0, NVIDIA H200, 86 %, 26 %, 4199 MiB, 143771 MiB, 214.30 W
2026/05/28 01:41:06.231, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.15 W
2026/05/28 01:41:07.232, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 123.31 W
2026/05/28 01:41:07.232, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 209.82 W
2026/05/28 01:41:08.232, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.90 W
2026/05/28 01:41:08.232, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.40 W
2026/05/28 01:41:09.233, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.84 W
2026/05/28 01:41:09.233, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.25 W
2026/05/28 01:41:10.233, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.92 W
2026/05/28 01:41:10.233, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.17 W
2026/05/28 01:41:11.233, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.92 W
2026/05/28 01:41:11.234, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.20 W
2026/05/28 01:41:12.234, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.81 W
2026/05/28 01:41:12.234, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.21 W
2026/05/28 01:41:13.234, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.83 W
2026/05/28 01:41:13.235, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.15 W
2026/05/28 01:41:14.235, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.86 W
2026/05/28 01:41:14.235, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.17 W
2026/05/28 01:41:15.235, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.89 W
2026/05/28 01:41:15.235, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.11 W
2026/05/28 01:41:16.236, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.79 W
2026/05/28 01:41:16.236, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 116.09 W
2026/05/28 01:41:17.236, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 216.70 W
2026/05/28 01:41:17.236, 1, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 163.60 W
2026/05/28 01:41:18.236, 0, NVIDIA H200, 0 %, 0 %, 4199 MiB, 143771 MiB, 119.64 W
