timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 01:22:32.862, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.46 W
2026/05/28 01:22:32.867, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.50 W
2026/05/28 01:22:33.870, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.39 W
2026/05/28 01:22:33.870, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.50 W
2026/05/28 01:22:34.871, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.43 W
2026/05/28 01:22:34.871, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.61 W
2026/05/28 01:22:35.871, 0, NVIDIA H200, 2 %, 0 %, 637 MiB, 143771 MiB, 90.71 W
2026/05/28 01:22:35.871, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 99.01 W
2026/05/28 01:22:36.871, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.96 W
2026/05/28 01:22:36.871, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.03 W
2026/05/28 01:22:37.871, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 119.00 W
2026/05/28 01:22:37.872, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.07 W
2026/05/28 01:22:38.872, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 119.04 W
2026/05/28 01:22:38.872, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.10 W
2026/05/28 01:22:39.872, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 119.01 W
2026/05/28 01:22:39.873, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.07 W
2026/05/28 01:22:40.873, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.93 W
2026/05/28 01:22:40.873, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.04 W
2026/05/28 01:22:41.873, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.97 W
2026/05/28 01:22:41.873, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.07 W
2026/05/28 01:22:42.874, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.94 W
2026/05/28 01:22:42.874, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.08 W
2026/05/28 01:22:43.874, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.97 W
2026/05/28 01:22:43.874, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.06 W
2026/05/28 01:22:44.874, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 119.02 W
2026/05/28 01:22:44.874, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.08 W
2026/05/28 01:22:45.874, 0, NVIDIA H200, 76 %, 23 %, 4197 MiB, 143771 MiB, 217.47 W
2026/05/28 01:22:45.875, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.09 W
2026/05/28 01:22:46.875, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.53 W
2026/05/28 01:22:46.875, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 211.54 W
2026/05/28 01:22:47.875, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.38 W
2026/05/28 01:22:47.875, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.48 W
2026/05/28 01:22:48.876, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.26 W
2026/05/28 01:22:48.876, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.31 W
2026/05/28 01:22:49.876, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.23 W
2026/05/28 01:22:49.876, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.32 W
2026/05/28 01:22:50.877, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.19 W
2026/05/28 01:22:50.877, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.33 W
2026/05/28 01:22:51.877, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.16 W
2026/05/28 01:22:51.877, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.31 W
2026/05/28 01:22:52.877, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.20 W
2026/05/28 01:22:52.878, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.31 W
2026/05/28 01:22:53.878, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.16 W
2026/05/28 01:22:53.878, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.28 W
2026/05/28 01:22:54.878, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.18 W
2026/05/28 01:22:54.879, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.32 W
2026/05/28 01:22:55.879, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.17 W
2026/05/28 01:22:55.879, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.32 W
2026/05/28 01:22:56.879, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 217.35 W
2026/05/28 01:22:56.879, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.25 W
2026/05/28 01:22:57.880, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.49 W
2026/05/28 01:22:57.880, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 212.71 W
2026/05/28 01:22:58.880, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.37 W
2026/05/28 01:22:58.880, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.51 W
2026/05/28 01:22:59.880, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.29 W
2026/05/28 01:22:59.881, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.46 W
2026/05/28 01:23:00.881, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.27 W
2026/05/28 01:23:00.881, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.41 W
2026/05/28 01:23:01.881, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.26 W
2026/05/28 01:23:01.881, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.41 W
2026/05/28 01:23:02.882, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.26 W
2026/05/28 01:23:02.882, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.33 W
2026/05/28 01:23:03.882, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.25 W
2026/05/28 01:23:03.883, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.35 W
2026/05/28 01:23:04.883, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.20 W
2026/05/28 01:23:04.883, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.35 W
2026/05/28 01:23:05.883, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.21 W
2026/05/28 01:23:05.883, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.39 W
2026/05/28 01:23:06.884, 0, NVIDIA H200, 6 %, 0 %, 4197 MiB, 143771 MiB, 147.13 W
2026/05/28 01:23:06.884, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.37 W
2026/05/28 01:23:07.884, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 192.49 W
2026/05/28 01:23:07.884, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 165.80 W
2026/05/28 01:23:08.884, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.40 W
2026/05/28 01:23:08.885, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 175.09 W
2026/05/28 01:23:09.885, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.35 W
2026/05/28 01:23:09.885, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.62 W
2026/05/28 01:23:10.885, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.31 W
2026/05/28 01:23:10.886, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.45 W
2026/05/28 01:23:11.886, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.29 W
2026/05/28 01:23:11.886, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.42 W
2026/05/28 01:23:12.886, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.26 W
2026/05/28 01:23:12.887, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.46 W
2026/05/28 01:23:13.887, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 120.23 W
2026/05/28 01:23:13.887, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 116.43 W
