timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 00:59:47.143, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/28 00:59:47.146, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.54 W
2026/05/28 00:59:48.149, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.51 W
2026/05/28 00:59:48.150, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.57 W
2026/05/28 00:59:49.150, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.48 W
2026/05/28 00:59:49.150, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.68 W
2026/05/28 00:59:50.150, 0, NVIDIA H200, 5 %, 0 %, 637 MiB, 143771 MiB, 97.37 W
2026/05/28 00:59:50.151, 1, NVIDIA H200, 4 %, 0 %, 637 MiB, 143771 MiB, 84.60 W
2026/05/28 00:59:51.151, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.15 W
2026/05/28 00:59:51.151, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.24 W
2026/05/28 00:59:52.151, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.00 W
2026/05/28 00:59:52.152, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.26 W
2026/05/28 00:59:53.152, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.15 W
2026/05/28 00:59:53.152, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.30 W
2026/05/28 00:59:54.152, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.11 W
2026/05/28 00:59:54.153, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.29 W
2026/05/28 00:59:55.153, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.09 W
2026/05/28 00:59:55.153, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.31 W
2026/05/28 00:59:56.153, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.25 W
2026/05/28 00:59:56.154, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.27 W
2026/05/28 00:59:57.154, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.07 W
2026/05/28 00:59:57.154, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.31 W
2026/05/28 00:59:58.154, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.08 W
2026/05/28 00:59:58.155, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.33 W
2026/05/28 00:59:59.155, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.31 W
2026/05/28 00:59:59.155, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.41 W
2026/05/28 01:00:00.155, 0, NVIDIA H200, 89 %, 27 %, 4197 MiB, 143771 MiB, 211.63 W
2026/05/28 01:00:00.192, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 115.39 W
2026/05/28 01:00:01.193, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 123.12 W
2026/05/28 01:00:01.193, 1, NVIDIA H200, 89 %, 26 %, 4197 MiB, 143771 MiB, 183.90 W
2026/05/28 01:00:02.193, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.50 W
2026/05/28 01:00:02.194, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 155.27 W
2026/05/28 01:00:03.194, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.26 W
2026/05/28 01:00:03.194, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.71 W
2026/05/28 01:00:04.194, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.40 W
2026/05/28 01:00:04.194, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.67 W
2026/05/28 01:00:05.195, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.39 W
2026/05/28 01:00:05.195, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.59 W
2026/05/28 01:00:06.195, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.27 W
2026/05/28 01:00:06.241, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.57 W
2026/05/28 01:00:07.243, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.38 W
2026/05/28 01:00:07.243, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.56 W
2026/05/28 01:00:08.244, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.32 W
2026/05/28 01:00:08.244, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.57 W
2026/05/28 01:00:09.244, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.32 W
2026/05/28 01:00:09.244, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.57 W
2026/05/28 01:00:10.245, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.37 W
2026/05/28 01:00:10.245, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.60 W
2026/05/28 01:00:11.245, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.33 W
2026/05/28 01:00:11.245, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.60 W
2026/05/28 01:00:12.245, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 215.64 W
2026/05/28 01:00:12.246, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.57 W
2026/05/28 01:00:13.246, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.67 W
2026/05/28 01:00:13.246, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 210.75 W
2026/05/28 01:00:14.246, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.43 W
2026/05/28 01:00:14.246, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.83 W
2026/05/28 01:00:15.247, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.44 W
2026/05/28 01:00:15.247, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.75 W
2026/05/28 01:00:16.247, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.52 W
2026/05/28 01:00:16.247, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.74 W
2026/05/28 01:00:17.247, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.35 W
2026/05/28 01:00:17.247, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.70 W
2026/05/28 01:00:18.248, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.51 W
2026/05/28 01:00:18.248, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.69 W
2026/05/28 01:00:19.248, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.47 W
2026/05/28 01:00:19.248, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.68 W
2026/05/28 01:00:20.249, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.31 W
2026/05/28 01:00:20.249, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.64 W
2026/05/28 01:00:21.249, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.42 W
2026/05/28 01:00:21.249, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.72 W
2026/05/28 01:00:22.249, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.48 W
2026/05/28 01:00:22.250, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.68 W
2026/05/28 01:00:23.250, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 214.13 W
2026/05/28 01:00:23.250, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 115.72 W
2026/05/28 01:00:24.250, 0, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 118.75 W
2026/05/28 01:00:24.250, 1, NVIDIA H200, 0 %, 0 %, 4197 MiB, 143771 MiB, 211.91 W
