timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 01:05:04.221, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.95 W
2026/05/28 01:05:04.224, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.52 W
2026/05/28 01:05:05.227, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.80 W
2026/05/28 01:05:05.227, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.50 W
2026/05/28 01:05:06.262, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.97 W
2026/05/28 01:05:06.300, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.61 W
2026/05/28 01:05:07.302, 0, NVIDIA H200, 3 %, 0 %, 637 MiB, 143771 MiB, 89.86 W
2026/05/28 01:05:07.302, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 104.54 W
2026/05/28 01:05:08.302, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 117.97 W
2026/05/28 01:05:08.302, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 114.73 W
2026/05/28 01:05:09.302, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.15 W
2026/05/28 01:05:09.302, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 114.74 W
2026/05/28 01:05:10.302, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.09 W
2026/05/28 01:05:10.303, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 114.77 W
2026/05/28 01:05:11.303, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.06 W
2026/05/28 01:05:11.303, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 114.82 W
2026/05/28 01:05:12.303, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.21 W
2026/05/28 01:05:12.303, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 114.84 W
