timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 01:47:56.918, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.00 W
2026/05/28 01:47:56.921, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 01:47:57.924, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.03 W
2026/05/28 01:47:57.925, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 01:47:58.925, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.94 W
2026/05/28 01:47:58.925, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 01:47:59.926, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.99 W
2026/05/28 01:47:59.928, 1, NVIDIA H200, 0 %, 0 %, 1 MiB, 143771 MiB, 75.64 W
2026/05/28 01:48:00.929, 0, NVIDIA H200, 5 %, 0 %, 637 MiB, 143771 MiB, 101.06 W
2026/05/28 01:48:00.930, 1, NVIDIA H200, 3 %, 0 %, 637 MiB, 143771 MiB, 82.79 W
2026/05/28 01:48:01.930, 0, NVIDIA H200, 0 %, 0 %, 1813 MiB, 143771 MiB, 119.40 W
2026/05/28 01:48:01.930, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 116.23 W
2026/05/28 01:48:02.930, 0, NVIDIA H200, 100 %, 30 %, 14345 MiB, 143771 MiB, 507.77 W
2026/05/28 01:48:02.931, 1, NVIDIA H200, 100 %, 30 %, 14345 MiB, 143771 MiB, 275.20 W
2026/05/28 01:48:03.931, 0, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 140.19 W
2026/05/28 01:48:03.931, 1, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 352.50 W
2026/05/28 01:48:04.931, 0, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 119.28 W
2026/05/28 01:48:04.932, 1, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 116.90 W
2026/05/28 01:48:05.932, 0, NVIDIA H200, 9 %, 0 %, 14345 MiB, 143771 MiB, 119.86 W
2026/05/28 01:48:05.932, 1, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 116.77 W
2026/05/28 01:48:06.932, 0, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 508.32 W
2026/05/28 01:48:06.932, 1, NVIDIA H200, 84 %, 27 %, 14345 MiB, 143771 MiB, 508.17 W
2026/05/28 01:48:07.932, 0, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 121.66 W
2026/05/28 01:48:07.933, 1, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 117.91 W
2026/05/28 01:48:08.933, 0, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 121.32 W
2026/05/28 01:48:08.933, 1, NVIDIA H200, 0 %, 0 %, 14345 MiB, 143771 MiB, 117.00 W
