timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 00:33:42.193, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.61 W
2026/05/28 00:33:42.196, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/28 00:33:43.199, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.47 W
2026/05/28 00:33:43.199, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.61 W
2026/05/28 00:33:44.200, 0, NVIDIA H200, 0 %, 0 %, 1 MiB, 143771 MiB, 77.60 W
2026/05/28 00:33:44.255, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.59 W
2026/05/28 00:33:45.255, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 98.48 W
2026/05/28 00:33:45.255, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.57 W
2026/05/28 00:33:46.255, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.53 W
2026/05/28 00:33:46.255, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.59 W
2026/05/28 00:33:47.256, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.50 W
2026/05/28 00:33:47.256, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/28 00:33:48.257, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.52 W
2026/05/28 00:33:48.257, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.61 W
2026/05/28 00:33:49.257, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.58 W
2026/05/28 00:33:49.257, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 00:33:50.257, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.64 W
2026/05/28 00:33:50.258, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/28 00:33:51.258, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.53 W
2026/05/28 00:33:51.258, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 00:33:52.258, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.57 W
2026/05/28 00:33:52.259, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.63 W
2026/05/28 00:33:53.259, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.64 W
2026/05/28 00:33:53.259, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.60 W
2026/05/28 00:33:54.259, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.61 W
2026/05/28 00:33:54.260, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.57 W
2026/05/28 00:33:55.260, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.53 W
2026/05/28 00:33:55.260, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.57 W
2026/05/28 00:33:56.260, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.61 W
2026/05/28 00:33:56.260, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 00:33:57.261, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.66 W
2026/05/28 00:33:57.261, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.66 W
2026/05/28 00:33:58.261, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.58 W
2026/05/28 00:33:58.261, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 00:33:59.262, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.57 W
2026/05/28 00:33:59.262, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.63 W
2026/05/28 00:34:00.262, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.66 W
2026/05/28 00:34:00.263, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 00:34:01.263, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.68 W
2026/05/28 00:34:01.268, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 00:34:02.339, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.59 W
2026/05/28 00:34:02.339, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.60 W
2026/05/28 00:34:03.339, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.60 W
2026/05/28 00:34:03.339, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.58 W
2026/05/28 00:34:04.361, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.59 W
2026/05/28 00:34:04.362, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.60 W
2026/05/28 00:34:05.362, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 311.00 W
2026/05/28 00:34:05.362, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.59 W
2026/05/28 00:34:06.362, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 119.07 W
2026/05/28 00:34:06.363, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.61 W
2026/05/28 00:34:07.363, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.88 W
2026/05/28 00:34:07.363, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/28 00:34:08.363, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.86 W
2026/05/28 00:34:08.363, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.63 W
2026/05/28 00:34:09.364, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.87 W
2026/05/28 00:34:09.364, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 00:34:10.364, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.88 W
2026/05/28 00:34:10.364, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.68 W
