timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 00:32:32.615, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.45 W
2026/05/28 00:32:32.618, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 00:32:34.621, 0, NVIDIA H200, 0 %, 0 %, 1 MiB, 143771 MiB, 77.39 W
2026/05/28 00:32:34.642, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 00:32:36.642, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.46 W
2026/05/28 00:32:36.642, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.67 W
2026/05/28 00:32:38.643, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 118.38 W
2026/05/28 00:32:38.643, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.60 W
2026/05/28 00:32:40.643, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 164.49 W
2026/05/28 00:32:40.644, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/28 00:32:42.644, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 118.64 W
2026/05/28 00:32:42.644, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 00:32:44.644, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 118.62 W
2026/05/28 00:32:44.645, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.66 W
2026/05/28 00:32:46.645, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 167.46 W
2026/05/28 00:32:46.645, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.64 W
2026/05/28 00:32:48.646, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 118.68 W
2026/05/28 00:32:48.646, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.59 W
2026/05/28 00:32:50.646, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 118.69 W
2026/05/28 00:32:50.646, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/28 00:32:52.647, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 118.79 W
2026/05/28 00:32:52.647, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.65 W
2026/05/28 00:32:54.647, 0, NVIDIA H200, 0 %, 0 %, 2505 MiB, 143771 MiB, 118.81 W
