timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 00:41:38.765, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.53 W
2026/05/28 00:41:38.769, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.32 W
2026/05/28 00:41:39.772, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.50 W
2026/05/28 00:41:39.772, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.31 W
2026/05/28 00:41:40.772, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.44 W
2026/05/28 00:41:40.772, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.27 W
2026/05/28 00:41:41.772, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.52 W
2026/05/28 00:41:41.773, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.21 W
2026/05/28 00:41:42.773, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.49 W
2026/05/28 00:41:42.773, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.24 W
2026/05/28 00:41:43.773, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/28 00:41:43.774, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.22 W
2026/05/28 00:41:44.774, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.50 W
2026/05/28 00:41:44.774, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.43 W
2026/05/28 00:41:45.774, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.55 W
2026/05/28 00:41:45.774, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.78 W
2026/05/28 00:41:46.774, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.38 W
2026/05/28 00:41:46.775, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.79 W
2026/05/28 00:41:47.775, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.45 W
2026/05/28 00:41:47.775, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.75 W
2026/05/28 00:41:48.775, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.55 W
2026/05/28 00:41:48.776, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.76 W
2026/05/28 00:41:49.776, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.42 W
2026/05/28 00:41:49.776, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.78 W
2026/05/28 00:41:50.776, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.41 W
2026/05/28 00:41:50.776, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.73 W
2026/05/28 00:41:51.777, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.51 W
2026/05/28 00:41:51.777, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.74 W
2026/05/28 00:41:52.777, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.46 W
2026/05/28 00:41:52.777, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.75 W
2026/05/28 00:41:53.778, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/28 00:41:53.778, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.79 W
2026/05/28 00:41:54.778, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.51 W
2026/05/28 00:41:54.780, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.77 W
2026/05/28 00:41:55.782, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.46 W
2026/05/28 00:41:55.782, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.77 W
2026/05/28 00:41:56.782, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/28 00:41:56.782, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.75 W
2026/05/28 00:41:57.782, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.46 W
2026/05/28 00:41:57.783, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.74 W
2026/05/28 00:41:58.783, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.52 W
2026/05/28 00:41:58.783, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.72 W
2026/05/28 00:41:59.783, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.35 W
2026/05/28 00:41:59.784, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.70 W
2026/05/28 00:42:00.784, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.45 W
2026/05/28 00:42:00.784, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.70 W
2026/05/28 00:42:01.784, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.48 W
2026/05/28 00:42:01.784, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.73 W
2026/05/28 00:42:02.785, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.36 W
2026/05/28 00:42:02.785, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.71 W
2026/05/28 00:42:03.785, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.45 W
2026/05/28 00:42:03.786, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.73 W
2026/05/28 00:42:04.786, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.50 W
