timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 02:14:11.266, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 83.11 W
2026/05/28 02:14:11.269, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.79 W
2026/05/28 02:14:41.272, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 126.89 W
2026/05/28 02:14:41.273, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.81 W
2026/05/28 02:15:11.295, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.21 W
2026/05/28 02:15:11.295, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.68 W
2026/05/28 02:15:41.295, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 283.49 W
2026/05/28 02:15:41.296, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.27 W
2026/05/28 02:16:11.296, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.80 W
2026/05/28 02:16:11.297, 1, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 663.49 W
2026/05/28 02:16:41.297, 0, NVIDIA H200, 58 %, 19 %, 27877 MiB, 143771 MiB, 648.05 W
2026/05/28 02:16:41.297, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.96 W
2026/05/28 02:17:11.298, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.01 W
2026/05/28 02:17:11.298, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 517.56 W
2026/05/28 02:17:41.298, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 675.36 W
2026/05/28 02:17:41.299, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.01 W
2026/05/28 02:18:11.299, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 129.06 W
2026/05/28 02:18:11.299, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 347.30 W
2026/05/28 02:18:41.300, 0, NVIDIA H200, 100 %, 25 %, 27877 MiB, 143771 MiB, 702.39 W
2026/05/28 02:18:41.300, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.05 W
2026/05/28 02:19:11.300, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 129.04 W
2026/05/28 02:19:11.301, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 341.60 W
2026/05/28 02:19:41.301, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 581.15 W
2026/05/28 02:19:41.301, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.02 W
2026/05/28 02:20:11.301, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.16 W
2026/05/28 02:20:11.301, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 465.83 W
2026/05/28 02:20:41.301, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 534.72 W
2026/05/28 02:20:41.302, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.15 W
2026/05/28 02:21:11.301, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.23 W
2026/05/28 02:21:11.302, 1, NVIDIA H200, 100 %, 29 %, 27877 MiB, 143771 MiB, 608.51 W
2026/05/28 02:21:41.302, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 549.33 W
2026/05/28 02:21:41.302, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.39 W
2026/05/28 02:22:11.303, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.27 W
2026/05/28 02:22:11.303, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.94 W
2026/05/28 02:22:41.303, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 355.01 W
2026/05/28 02:22:41.304, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.68 W
