timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 14:10:16.725, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.34 W
2026/05/29 14:10:16.729, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.94 W
2026/05/29 14:10:16.733, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.56 W
2026/05/29 14:10:16.736, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.74 W
2026/05/29 14:10:46.739, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.14 W
2026/05/29 14:10:46.739, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.46 W
2026/05/29 14:10:46.739, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.24 W
2026/05/29 14:10:46.739, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.12 W
2026/05/29 14:11:16.740, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.27 W
2026/05/29 14:11:16.741, 1, NVIDIA H200, 0 %, 0 %, 623 MiB, 143771 MiB, 106.82 W
2026/05/29 14:11:16.741, 2, NVIDIA H200, 0 %, 0 %, 623 MiB, 143771 MiB, 122.59 W
2026/05/29 14:11:16.741, 3, NVIDIA H200, 0 %, 0 %, 623 MiB, 143771 MiB, 104.45 W
2026/05/29 14:11:46.742, 0, NVIDIA H200, 2 %, 0 %, 1857 MiB, 143771 MiB, 120.85 W
2026/05/29 14:11:46.742, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 121.00 W
2026/05/29 14:11:46.742, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 123.27 W
2026/05/29 14:11:46.743, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 120.65 W
