timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 14:10:46.273, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.14 W
2026/05/29 14:10:46.277, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.37 W
2026/05/29 14:10:46.280, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.26 W
2026/05/29 14:10:46.283, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.11 W
2026/05/29 14:10:56.286, 0, NVIDIA H200, 61 %, 18 %, 7577 MiB, 143771 MiB, 182.00 W
2026/05/29 14:10:56.287, 1, NVIDIA H200, 7 %, 0 %, 7577 MiB, 143771 MiB, 127.62 W
2026/05/29 14:10:56.287, 2, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 120.49 W
2026/05/29 14:10:56.287, 3, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.82 W
2026/05/29 14:11:06.288, 0, NVIDIA H200, 100 %, 31 %, 7579 MiB, 143771 MiB, 228.93 W
2026/05/29 14:11:06.288, 1, NVIDIA H200, 0 %, 0 %, 7579 MiB, 143771 MiB, 278.31 W
2026/05/29 14:11:06.288, 2, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 120.29 W
2026/05/29 14:11:06.288, 3, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.18 W
