timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 02:23:14.428, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 83.90 W
2026/05/28 02:23:14.432, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 109.22 W
2026/05/28 02:23:19.435, 0, NVIDIA H200, 0 %, 0 %, 2989 MiB, 143771 MiB, 126.67 W
2026/05/28 02:23:19.435, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 120.27 W
2026/05/28 02:23:24.435, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.10 W
2026/05/28 02:23:24.435, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 119.94 W
2026/05/28 02:23:29.436, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.87 W
2026/05/28 02:23:29.436, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 122.22 W
2026/05/28 02:23:34.437, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 369.27 W
2026/05/28 02:23:34.437, 1, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 317.74 W
2026/05/28 02:23:39.438, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.27 W
2026/05/28 02:23:39.438, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.56 W
2026/05/28 02:23:44.438, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.23 W
2026/05/28 02:23:44.439, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.04 W
2026/05/28 02:23:49.439, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 508.89 W
2026/05/28 02:23:49.440, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 508.89 W
2026/05/28 02:23:54.440, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.56 W
2026/05/28 02:23:54.440, 1, NVIDIA H200, 16 %, 0 %, 27877 MiB, 143771 MiB, 121.00 W
2026/05/28 02:23:59.441, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.67 W
2026/05/28 02:23:59.441, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.94 W
2026/05/28 02:24:04.442, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.28 W
2026/05/28 02:24:04.443, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.42 W
2026/05/28 02:24:09.443, 0, NVIDIA H200, 100 %, 24 %, 27877 MiB, 143771 MiB, 708.33 W
2026/05/28 02:24:09.443, 1, NVIDIA H200, 100 %, 27 %, 27877 MiB, 143771 MiB, 699.78 W
2026/05/28 02:24:14.444, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.63 W
2026/05/28 02:24:14.444, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.80 W
2026/05/28 02:24:19.444, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.91 W
2026/05/28 02:24:19.445, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.11 W
2026/05/28 02:24:24.445, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 170.33 W
2026/05/28 02:24:24.446, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 122.11 W
2026/05/28 02:24:29.446, 0, NVIDIA H200, 100 %, 31 %, 27877 MiB, 143771 MiB, 359.68 W
2026/05/28 02:24:29.446, 1, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 402.79 W
2026/05/28 02:24:34.498, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.82 W
2026/05/28 02:24:34.498, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.93 W
2026/05/28 02:24:39.498, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.22 W
2026/05/28 02:24:39.499, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.27 W
2026/05/28 02:24:44.499, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 536.18 W
2026/05/28 02:24:44.500, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 479.72 W
2026/05/28 02:24:49.500, 0, NVIDIA H200, 5 %, 0 %, 27877 MiB, 143771 MiB, 127.78 W
2026/05/28 02:24:49.501, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.05 W
2026/05/28 02:24:54.501, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.88 W
2026/05/28 02:24:54.501, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.01 W
2026/05/28 02:24:59.502, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.51 W
2026/05/28 02:24:59.502, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.45 W
2026/05/28 02:25:04.503, 0, NVIDIA H200, 100 %, 29 %, 27877 MiB, 143771 MiB, 709.13 W
2026/05/28 02:25:04.503, 1, NVIDIA H200, 100 %, 28 %, 27877 MiB, 143771 MiB, 699.04 W
2026/05/28 02:25:09.518, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.76 W
2026/05/28 02:25:09.518, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.86 W
2026/05/28 02:25:14.519, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.08 W
2026/05/28 02:25:14.519, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.16 W
2026/05/28 02:25:19.520, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 275.69 W
2026/05/28 02:25:19.520, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 231.76 W
2026/05/28 02:25:24.521, 0, NVIDIA H200, 67 %, 17 %, 27877 MiB, 143771 MiB, 178.33 W
2026/05/28 02:25:24.521, 1, NVIDIA H200, 5 %, 0 %, 27877 MiB, 143771 MiB, 196.62 W
2026/05/28 02:25:29.522, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.90 W
2026/05/28 02:25:29.522, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.99 W
2026/05/28 02:25:34.523, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 129.21 W
2026/05/28 02:25:34.523, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.53 W
2026/05/28 02:25:39.524, 0, NVIDIA H200, 100 %, 27 %, 27877 MiB, 143771 MiB, 701.23 W
2026/05/28 02:25:39.524, 1, NVIDIA H200, 100 %, 26 %, 27877 MiB, 143771 MiB, 697.71 W
2026/05/28 02:25:44.525, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.75 W
2026/05/28 02:25:44.525, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.87 W
2026/05/28 02:25:49.526, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.04 W
2026/05/28 02:25:49.526, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.01 W
2026/05/28 02:25:54.527, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 208.22 W
2026/05/28 02:25:54.527, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 168.49 W
2026/05/28 02:25:59.528, 0, NVIDIA H200, 100 %, 31 %, 27877 MiB, 143771 MiB, 248.21 W
2026/05/28 02:25:59.528, 1, NVIDIA H200, 65 %, 16 %, 27877 MiB, 143771 MiB, 271.04 W
2026/05/28 02:26:04.529, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.90 W
2026/05/28 02:26:04.529, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.99 W
2026/05/28 02:26:09.530, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 128.90 W
2026/05/28 02:26:09.530, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.42 W
2026/05/28 02:26:14.531, 0, NVIDIA H200, 37 %, 14 %, 27877 MiB, 143771 MiB, 631.99 W
2026/05/28 02:26:14.531, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 427.67 W
2026/05/28 02:26:19.532, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.75 W
