timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/28 02:14:11.377, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 83.11 W
2026/05/28 02:14:11.381, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.79 W
2026/05/28 02:14:16.384, 0, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 124.71 W
2026/05/28 02:14:16.384, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 117.73 W
2026/05/28 02:14:21.385, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 124.95 W
2026/05/28 02:14:21.385, 1, NVIDIA H200, 0 %, 0 %, 637 MiB, 143771 MiB, 117.56 W
2026/05/28 02:14:26.386, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 283.12 W
2026/05/28 02:14:26.386, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 307.02 W
2026/05/28 02:14:31.387, 0, NVIDIA H200, 100 %, 31 %, 27877 MiB, 143771 MiB, 277.52 W
2026/05/28 02:14:31.387, 1, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 234.43 W
2026/05/28 02:14:36.398, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 125.62 W
2026/05/28 02:14:36.398, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.14 W
2026/05/28 02:14:41.398, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 126.88 W
2026/05/28 02:14:41.399, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.72 W
2026/05/28 02:14:46.399, 0, NVIDIA H200, 100 %, 31 %, 27877 MiB, 143771 MiB, 681.76 W
2026/05/28 02:14:46.399, 1, NVIDIA H200, 22 %, 7 %, 27877 MiB, 143771 MiB, 620.15 W
2026/05/28 02:14:51.400, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 126.72 W
2026/05/28 02:14:51.400, 1, NVIDIA H200, 10 %, 0 %, 27877 MiB, 143771 MiB, 119.49 W
2026/05/28 02:14:56.400, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.09 W
2026/05/28 02:14:56.401, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.68 W
2026/05/28 02:15:01.401, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.80 W
2026/05/28 02:15:01.402, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.11 W
2026/05/28 02:15:06.402, 0, NVIDIA H200, 100 %, 28 %, 27877 MiB, 143771 MiB, 700.56 W
2026/05/28 02:15:06.402, 1, NVIDIA H200, 43 %, 15 %, 27877 MiB, 143771 MiB, 623.55 W
2026/05/28 02:15:11.403, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.18 W
2026/05/28 02:15:11.403, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.62 W
2026/05/28 02:15:16.403, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.52 W
2026/05/28 02:15:16.404, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.90 W
2026/05/28 02:15:21.404, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 129.38 W
2026/05/28 02:15:21.404, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.36 W
2026/05/28 02:15:26.405, 0, NVIDIA H200, 100 %, 29 %, 27877 MiB, 143771 MiB, 494.02 W
2026/05/28 02:15:26.405, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 545.65 W
2026/05/28 02:15:31.406, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.50 W
2026/05/28 02:15:31.406, 1, NVIDIA H200, 100 %, 31 %, 27877 MiB, 143771 MiB, 255.18 W
2026/05/28 02:15:36.417, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.86 W
2026/05/28 02:15:36.417, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 120.88 W
2026/05/28 02:15:41.418, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 228.21 W
2026/05/28 02:15:41.418, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.20 W
2026/05/28 02:15:46.419, 0, NVIDIA H200, 100 %, 30 %, 27877 MiB, 143771 MiB, 366.22 W
2026/05/28 02:15:46.419, 1, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 121.62 W
2026/05/28 02:15:51.419, 0, NVIDIA H200, 0 %, 0 %, 27877 MiB, 143771 MiB, 127.68 W
