timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/25 19:30:32.827, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.89 W
2026/05/25 19:30:32.831, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.04 W
2026/05/25 19:30:32.834, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.82 W
2026/05/25 19:30:32.837, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.21 W
2026/05/25 19:31:02.840, 0, NVIDIA H200, 83 %, 12 %, 7565 MiB, 143771 MiB, 454.83 W
2026/05/25 19:31:02.841, 1, NVIDIA H200, 83 %, 14 %, 7565 MiB, 143771 MiB, 440.33 W
2026/05/25 19:31:02.841, 2, NVIDIA H200, 89 %, 13 %, 7565 MiB, 143771 MiB, 452.72 W
2026/05/25 19:31:02.841, 3, NVIDIA H200, 86 %, 13 %, 7567 MiB, 143771 MiB, 444.97 W
2026/05/25 19:31:32.841, 0, NVIDIA H200, 72 %, 13 %, 7565 MiB, 143771 MiB, 461.84 W
2026/05/25 19:31:32.841, 1, NVIDIA H200, 85 %, 14 %, 7565 MiB, 143771 MiB, 454.03 W
2026/05/25 19:31:32.842, 2, NVIDIA H200, 78 %, 12 %, 7565 MiB, 143771 MiB, 448.93 W
2026/05/25 19:31:32.842, 3, NVIDIA H200, 91 %, 15 %, 7567 MiB, 143771 MiB, 446.72 W
2026/05/25 19:32:02.843, 0, NVIDIA H200, 82 %, 14 %, 7565 MiB, 143771 MiB, 471.83 W
2026/05/25 19:32:02.843, 1, NVIDIA H200, 86 %, 13 %, 7565 MiB, 143771 MiB, 453.95 W
2026/05/25 19:32:02.843, 2, NVIDIA H200, 79 %, 14 %, 7567 MiB, 143771 MiB, 463.42 W
2026/05/25 19:32:02.843, 3, NVIDIA H200, 91 %, 13 %, 7567 MiB, 143771 MiB, 464.08 W
2026/05/25 19:32:32.844, 0, NVIDIA H200, 84 %, 15 %, 7565 MiB, 143771 MiB, 488.31 W
2026/05/25 19:32:32.844, 1, NVIDIA H200, 82 %, 15 %, 7565 MiB, 143771 MiB, 461.66 W
2026/05/25 19:32:32.844, 2, NVIDIA H200, 86 %, 13 %, 7567 MiB, 143771 MiB, 475.56 W
2026/05/25 19:32:32.844, 3, NVIDIA H200, 84 %, 14 %, 7567 MiB, 143771 MiB, 467.08 W
2026/05/25 19:33:02.845, 0, NVIDIA H200, 92 %, 15 %, 7565 MiB, 143771 MiB, 496.03 W
2026/05/25 19:33:02.846, 1, NVIDIA H200, 87 %, 14 %, 7565 MiB, 143771 MiB, 458.58 W
2026/05/25 19:33:02.846, 2, NVIDIA H200, 87 %, 15 %, 7567 MiB, 143771 MiB, 468.45 W
2026/05/25 19:33:02.846, 3, NVIDIA H200, 83 %, 15 %, 7567 MiB, 143771 MiB, 466.63 W
2026/05/25 19:33:32.847, 0, NVIDIA H200, 85 %, 14 %, 7565 MiB, 143771 MiB, 488.60 W
2026/05/25 19:33:32.847, 1, NVIDIA H200, 89 %, 14 %, 7565 MiB, 143771 MiB, 453.32 W
2026/05/25 19:33:32.847, 2, NVIDIA H200, 86 %, 14 %, 7567 MiB, 143771 MiB, 475.93 W
2026/05/25 19:33:32.848, 3, NVIDIA H200, 84 %, 14 %, 7567 MiB, 143771 MiB, 468.18 W
2026/05/25 19:34:02.848, 0, NVIDIA H200, 83 %, 15 %, 7565 MiB, 143771 MiB, 479.39 W
2026/05/25 19:34:02.848, 1, NVIDIA H200, 86 %, 15 %, 7565 MiB, 143771 MiB, 456.32 W
2026/05/25 19:34:02.848, 2, NVIDIA H200, 84 %, 14 %, 7567 MiB, 143771 MiB, 475.08 W
2026/05/25 19:34:02.849, 3, NVIDIA H200, 90 %, 15 %, 7567 MiB, 143771 MiB, 470.47 W
2026/05/25 19:34:32.849, 0, NVIDIA H200, 87 %, 13 %, 7565 MiB, 143771 MiB, 477.90 W
2026/05/25 19:34:32.849, 1, NVIDIA H200, 91 %, 13 %, 7565 MiB, 143771 MiB, 465.70 W
2026/05/25 19:34:32.849, 2, NVIDIA H200, 86 %, 13 %, 7567 MiB, 143771 MiB, 485.47 W
2026/05/25 19:34:32.850, 3, NVIDIA H200, 81 %, 15 %, 7567 MiB, 143771 MiB, 470.57 W
2026/05/25 19:35:02.850, 0, NVIDIA H200, 84 %, 16 %, 7565 MiB, 143771 MiB, 485.84 W
2026/05/25 19:35:02.850, 1, NVIDIA H200, 84 %, 15 %, 7565 MiB, 143771 MiB, 455.83 W
2026/05/25 19:35:02.851, 2, NVIDIA H200, 78 %, 14 %, 7567 MiB, 143771 MiB, 469.15 W
2026/05/25 19:35:02.851, 3, NVIDIA H200, 89 %, 13 %, 7567 MiB, 143771 MiB, 472.17 W
2026/05/25 19:35:32.851, 0, NVIDIA H200, 85 %, 16 %, 7565 MiB, 143771 MiB, 480.33 W
2026/05/25 19:35:32.851, 1, NVIDIA H200, 80 %, 15 %, 7565 MiB, 143771 MiB, 462.92 W
2026/05/25 19:35:32.851, 2, NVIDIA H200, 85 %, 16 %, 7567 MiB, 143771 MiB, 470.46 W
2026/05/25 19:35:32.851, 3, NVIDIA H200, 88 %, 14 %, 7567 MiB, 143771 MiB, 470.89 W
2026/05/25 19:36:02.851, 0, NVIDIA H200, 87 %, 15 %, 7565 MiB, 143771 MiB, 492.99 W
2026/05/25 19:36:02.852, 1, NVIDIA H200, 83 %, 15 %, 7565 MiB, 143771 MiB, 445.51 W
2026/05/25 19:36:02.852, 2, NVIDIA H200, 85 %, 15 %, 7567 MiB, 143771 MiB, 482.27 W
2026/05/25 19:36:02.852, 3, NVIDIA H200, 83 %, 13 %, 7567 MiB, 143771 MiB, 467.28 W
2026/05/25 19:36:32.852, 0, NVIDIA H200, 88 %, 13 %, 7565 MiB, 143771 MiB, 480.93 W
2026/05/25 19:36:32.853, 1, NVIDIA H200, 76 %, 14 %, 7565 MiB, 143771 MiB, 451.66 W
2026/05/25 19:36:32.853, 2, NVIDIA H200, 76 %, 10 %, 7567 MiB, 143771 MiB, 468.85 W
2026/05/25 19:36:32.853, 3, NVIDIA H200, 74 %, 13 %, 7567 MiB, 143771 MiB, 477.58 W
2026/05/25 19:37:02.854, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 130.00 W
2026/05/25 19:37:02.854, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.22 W
2026/05/25 19:37:02.854, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.08 W
2026/05/25 19:37:02.854, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.90 W
2026/05/25 19:37:32.855, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 124.38 W
2026/05/25 19:37:32.855, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.67 W
2026/05/25 19:37:32.855, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.72 W
2026/05/25 19:37:32.855, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.29 W
2026/05/25 19:38:02.856, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 122.67 W
2026/05/25 19:38:02.856, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.38 W
2026/05/25 19:38:02.856, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.53 W
2026/05/25 19:38:02.856, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.80 W
2026/05/25 19:38:32.857, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 127.03 W
2026/05/25 19:38:32.857, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.29 W
2026/05/25 19:38:32.857, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.95 W
2026/05/25 19:38:32.857, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.64 W
2026/05/25 19:39:02.858, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 121.39 W
2026/05/25 19:39:02.858, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.12 W
2026/05/25 19:39:02.858, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.75 W
2026/05/25 19:39:02.858, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.55 W
2026/05/25 19:39:32.858, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 121.10 W
2026/05/25 19:39:32.859, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.09 W
2026/05/25 19:39:32.859, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.59 W
2026/05/25 19:39:32.859, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.46 W
2026/05/25 19:40:02.859, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 126.77 W
2026/05/25 19:40:02.859, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.07 W
2026/05/25 19:40:02.859, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.42 W
2026/05/25 19:40:02.859, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.41 W
2026/05/25 19:40:32.860, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 120.91 W
2026/05/25 19:40:32.860, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.03 W
2026/05/25 19:40:32.860, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.33 W
2026/05/25 19:40:32.860, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.38 W
2026/05/25 19:41:02.861, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 125.39 W
2026/05/25 19:41:02.861, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.03 W
2026/05/25 19:41:02.861, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.30 W
2026/05/25 19:41:02.861, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.39 W
2026/05/25 19:41:32.862, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 120.72 W
2026/05/25 19:41:32.862, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.02 W
2026/05/25 19:41:32.862, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.26 W
2026/05/25 19:41:32.863, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.37 W
2026/05/25 19:42:02.863, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 126.53 W
2026/05/25 19:42:02.864, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.01 W
2026/05/25 19:42:02.864, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.26 W
2026/05/25 19:42:02.864, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.33 W
2026/05/25 19:42:32.864, 0, NVIDIA H200, 0 %, 0 %, 7047 MiB, 143771 MiB, 120.73 W
2026/05/25 19:42:32.865, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.01 W
2026/05/25 19:42:32.865, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.25 W
2026/05/25 19:42:32.865, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.30 W
2026/05/25 19:43:02.866, 0, NVIDIA H200, 0 %, 0 %, 5270 MiB, 143771 MiB, 120.63 W
