timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/26 08:13:14.078, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.98 W
2026/05/26 08:13:14.085, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.54 W
2026/05/26 08:13:14.088, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.03 W
2026/05/26 08:13:14.091, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.39 W
2026/05/26 08:13:44.095, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.02 W
2026/05/26 08:13:44.096, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.32 W
2026/05/26 08:13:44.096, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.19 W
2026/05/26 08:13:44.096, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.50 W
2026/05/26 08:14:14.096, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.32 W
2026/05/26 08:14:14.097, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.46 W
2026/05/26 08:14:14.097, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.46 W
2026/05/26 08:14:14.097, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.68 W
2026/05/26 08:14:44.097, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.50 W
2026/05/26 08:14:44.098, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.56 W
2026/05/26 08:14:44.098, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.65 W
2026/05/26 08:14:44.098, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.78 W
2026/05/26 08:15:14.098, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.62 W
2026/05/26 08:15:14.098, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.56 W
2026/05/26 08:15:14.098, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.81 W
2026/05/26 08:15:14.098, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.87 W
2026/05/26 08:15:44.098, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.65 W
2026/05/26 08:15:44.099, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.58 W
2026/05/26 08:15:44.099, 2, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.88 W
2026/05/26 08:15:44.099, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 120.86 W
2026/05/26 08:16:14.099, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.67 W
