timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/26 11:10:14.666, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.92 W
2026/05/26 11:10:14.671, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.49 W
2026/05/26 11:10:14.675, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.00 W
2026/05/26 11:10:14.678, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.65 W
2026/05/26 11:10:44.681, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.95 W
2026/05/26 11:10:44.682, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.53 W
2026/05/26 11:10:44.682, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.99 W
2026/05/26 11:10:44.682, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.70 W
2026/05/26 11:11:14.682, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.91 W
2026/05/26 11:11:14.682, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.48 W
2026/05/26 11:11:14.682, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.98 W
2026/05/26 11:11:14.682, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.71 W
2026/05/26 11:11:44.682, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.88 W
2026/05/26 11:11:44.683, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.49 W
2026/05/26 11:11:44.683, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.01 W
2026/05/26 11:11:44.683, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.69 W
2026/05/26 11:12:14.683, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.93 W
2026/05/26 11:12:14.683, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.48 W
2026/05/26 11:12:14.683, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.01 W
2026/05/26 11:12:14.683, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.71 W
2026/05/26 11:12:44.684, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.95 W
2026/05/26 11:12:44.685, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.53 W
2026/05/26 11:12:44.685, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.98 W
2026/05/26 11:12:44.685, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.71 W
2026/05/26 11:13:14.685, 0, NVIDIA H200, 0 %, 0 %, 76 MiB, 143771 MiB, 115.53 W
2026/05/26 11:13:14.946, 1, NVIDIA H200, 0 %, 0 %, 647 MiB, 143771 MiB, 115.75 W
2026/05/26 11:13:15.024, 2, NVIDIA H200, 0 %, 0 %, 77 MiB, 143771 MiB, 116.86 W
2026/05/26 11:13:15.085, 3, NVIDIA H200, 0 %, 0 %, 78 MiB, 143771 MiB, 124.03 W
2026/05/26 11:13:45.141, 0, NVIDIA H200, 93 %, 2 %, 3290 MiB, 143771 MiB, 145.26 W
2026/05/26 11:13:45.141, 1, NVIDIA H200, 99 %, 2 %, 3290 MiB, 143771 MiB, 141.32 W
2026/05/26 11:13:45.141, 2, NVIDIA H200, 96 %, 2 %, 3290 MiB, 143771 MiB, 144.01 W
2026/05/26 11:13:45.142, 3, NVIDIA H200, 96 %, 2 %, 3290 MiB, 143771 MiB, 145.35 W
2026/05/26 11:14:15.142, 0, NVIDIA H200, 96 %, 2 %, 3290 MiB, 143771 MiB, 145.05 W
2026/05/26 11:14:15.142, 1, NVIDIA H200, 93 %, 2 %, 3290 MiB, 143771 MiB, 140.99 W
2026/05/26 11:14:15.143, 2, NVIDIA H200, 97 %, 2 %, 3290 MiB, 143771 MiB, 144.52 W
2026/05/26 11:14:15.143, 3, NVIDIA H200, 89 %, 2 %, 3290 MiB, 143771 MiB, 146.02 W
2026/05/26 11:14:45.143, 0, NVIDIA H200, 90 %, 2 %, 3290 MiB, 143771 MiB, 144.45 W
2026/05/26 11:14:45.143, 1, NVIDIA H200, 92 %, 2 %, 3290 MiB, 143771 MiB, 140.26 W
2026/05/26 11:14:45.143, 2, NVIDIA H200, 87 %, 2 %, 3290 MiB, 143771 MiB, 143.31 W
2026/05/26 11:14:45.144, 3, NVIDIA H200, 90 %, 2 %, 3290 MiB, 143771 MiB, 144.84 W
2026/05/26 11:15:15.144, 0, NVIDIA H200, 96 %, 2 %, 3290 MiB, 143771 MiB, 144.99 W
2026/05/26 11:15:15.144, 1, NVIDIA H200, 89 %, 2 %, 3290 MiB, 143771 MiB, 140.47 W
2026/05/26 11:15:15.144, 2, NVIDIA H200, 88 %, 2 %, 3290 MiB, 143771 MiB, 143.39 W
2026/05/26 11:15:15.144, 3, NVIDIA H200, 89 %, 2 %, 3290 MiB, 143771 MiB, 145.13 W
2026/05/26 11:15:45.144, 0, NVIDIA H200, 91 %, 2 %, 3290 MiB, 143771 MiB, 144.44 W
2026/05/26 11:15:45.145, 1, NVIDIA H200, 90 %, 2 %, 3290 MiB, 143771 MiB, 140.91 W
2026/05/26 11:15:45.145, 2, NVIDIA H200, 88 %, 2 %, 3290 MiB, 143771 MiB, 143.73 W
2026/05/26 11:15:45.145, 3, NVIDIA H200, 94 %, 2 %, 3290 MiB, 143771 MiB, 144.91 W
2026/05/26 11:16:15.145, 0, NVIDIA H200, 99 %, 2 %, 3290 MiB, 143771 MiB, 146.50 W
2026/05/26 11:16:15.145, 1, NVIDIA H200, 95 %, 2 %, 3290 MiB, 143771 MiB, 141.31 W
2026/05/26 11:16:15.145, 2, NVIDIA H200, 95 %, 2 %, 3290 MiB, 143771 MiB, 146.22 W
2026/05/26 11:16:15.145, 3, NVIDIA H200, 95 %, 2 %, 3290 MiB, 143771 MiB, 146.09 W
