timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 09:01:19.068, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 80.19 W
2026/05/29 09:01:49.073, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 80.25 W
2026/05/29 09:02:19.074, 0, NVIDIA H200, 0 %, 0 %, 8721 MiB, 143771 MiB, 129.38 W
2026/05/29 09:02:49.075, 0, NVIDIA H200, 19 %, 5 %, 8721 MiB, 143771 MiB, 158.08 W
2026/05/29 09:03:19.115, 0, NVIDIA H200, 38 %, 6 %, 8721 MiB, 143771 MiB, 156.25 W
2026/05/29 09:03:49.116, 0, NVIDIA H200, 100 %, 23 %, 28603 MiB, 143771 MiB, 289.50 W
2026/05/29 09:04:19.116, 0, NVIDIA H200, 100 %, 22 %, 28603 MiB, 143771 MiB, 358.42 W
2026/05/29 09:04:49.117, 0, NVIDIA H200, 92 %, 23 %, 28607 MiB, 143771 MiB, 346.83 W
2026/05/29 09:05:19.118, 0, NVIDIA H200, 91 %, 23 %, 28607 MiB, 143771 MiB, 271.26 W
2026/05/29 09:05:49.119, 0, NVIDIA H200, 100 %, 23 %, 28607 MiB, 143771 MiB, 294.17 W
2026/05/29 09:06:19.119, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 270.60 W
2026/05/29 09:06:49.137, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 303.98 W
2026/05/29 09:07:19.137, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 304.52 W
2026/05/29 09:07:49.138, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 310.66 W
2026/05/29 09:08:19.139, 0, NVIDIA H200, 100 %, 23 %, 28607 MiB, 143771 MiB, 280.74 W
2026/05/29 09:08:49.139, 0, NVIDIA H200, 100 %, 21 %, 28607 MiB, 143771 MiB, 355.29 W
2026/05/29 09:09:19.140, 0, NVIDIA H200, 100 %, 24 %, 28607 MiB, 143771 MiB, 304.83 W
2026/05/29 09:09:49.140, 0, NVIDIA H200, 12 %, 3 %, 28607 MiB, 143771 MiB, 307.45 W
2026/05/29 09:10:19.141, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 308.47 W
2026/05/29 09:10:49.141, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 306.28 W
2026/05/29 09:11:19.142, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 304.68 W
2026/05/29 09:11:49.142, 0, NVIDIA H200, 39 %, 11 %, 28607 MiB, 143771 MiB, 273.06 W
2026/05/29 09:12:19.143, 0, NVIDIA H200, 58 %, 11 %, 28607 MiB, 143771 MiB, 305.39 W
2026/05/29 09:12:49.144, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 320.80 W
2026/05/29 09:13:19.145, 0, NVIDIA H200, 100 %, 22 %, 28607 MiB, 143771 MiB, 309.96 W
2026/05/29 09:13:49.145, 0, NVIDIA H200, 39 %, 11 %, 28607 MiB, 143771 MiB, 303.31 W
2026/05/29 09:14:19.146, 0, NVIDIA H200, 56 %, 11 %, 28607 MiB, 143771 MiB, 305.92 W
2026/05/29 09:14:49.147, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 309.40 W
2026/05/29 09:15:19.147, 0, NVIDIA H200, 93 %, 23 %, 28607 MiB, 143771 MiB, 345.15 W
2026/05/29 09:15:49.148, 0, NVIDIA H200, 100 %, 24 %, 28607 MiB, 143771 MiB, 360.41 W
2026/05/29 09:16:19.149, 0, NVIDIA H200, 60 %, 11 %, 28607 MiB, 143771 MiB, 308.06 W
2026/05/29 09:16:49.150, 0, NVIDIA H200, 100 %, 22 %, 28607 MiB, 143771 MiB, 302.52 W
2026/05/29 09:17:19.150, 0, NVIDIA H200, 93 %, 21 %, 28607 MiB, 143771 MiB, 310.57 W
2026/05/29 09:17:49.151, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 269.26 W
2026/05/29 09:18:19.152, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 307.20 W
2026/05/29 09:18:49.215, 0, NVIDIA H200, 100 %, 22 %, 28607 MiB, 143771 MiB, 311.02 W
2026/05/29 09:19:19.240, 0, NVIDIA H200, 100 %, 24 %, 28607 MiB, 143771 MiB, 348.58 W
2026/05/29 09:19:49.241, 0, NVIDIA H200, 0 %, 0 %, 28607 MiB, 143771 MiB, 320.90 W
