timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 11:03:38.185, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.67 W
2026/05/29 11:03:38.189, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.19 W
2026/05/29 11:03:38.192, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.88 W
2026/05/29 11:03:38.195, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.61 W
2026/05/29 11:04:08.198, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.64 W
2026/05/29 11:04:08.199, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.17 W
2026/05/29 11:04:08.199, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.93 W
2026/05/29 11:04:08.199, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.58 W
2026/05/29 11:04:38.199, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.55 W
2026/05/29 11:04:38.200, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.11 W
2026/05/29 11:04:38.200, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.90 W
2026/05/29 11:04:38.200, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.49 W
2026/05/29 11:05:08.200, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.49 W
2026/05/29 11:05:08.201, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.12 W
2026/05/29 11:05:08.201, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.81 W
2026/05/29 11:05:08.201, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.46 W
2026/05/29 11:05:38.201, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.15 W
2026/05/29 11:05:38.201, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.43 W
2026/05/29 11:05:38.201, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.84 W
2026/05/29 11:05:38.201, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.56 W
2026/05/29 11:06:08.202, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.35 W
2026/05/29 11:06:08.202, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.50 W
2026/05/29 11:06:08.202, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.90 W
2026/05/29 11:06:08.202, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.77 W
2026/05/29 11:06:38.202, 0, NVIDIA H200, 0 %, 0 %, 1275 MiB, 143771 MiB, 119.65 W
2026/05/29 11:06:38.203, 1, NVIDIA H200, 0 %, 0 %, 667 MiB, 143771 MiB, 117.56 W
2026/05/29 11:06:38.203, 2, NVIDIA H200, 0 %, 0 %, 667 MiB, 143771 MiB, 119.89 W
2026/05/29 11:06:38.203, 3, NVIDIA H200, 0 %, 0 %, 667 MiB, 143771 MiB, 116.85 W
2026/05/29 11:07:08.203, 0, NVIDIA H200, 100 %, 22 %, 23443 MiB, 143771 MiB, 455.00 W
2026/05/29 11:07:08.204, 1, NVIDIA H200, 15 %, 2 %, 26007 MiB, 143771 MiB, 452.68 W
2026/05/29 11:07:08.204, 2, NVIDIA H200, 41 %, 6 %, 26007 MiB, 143771 MiB, 459.36 W
2026/05/29 11:07:08.204, 3, NVIDIA H200, 70 %, 13 %, 26007 MiB, 143771 MiB, 442.97 W
2026/05/29 11:07:38.204, 0, NVIDIA H200, 14 %, 0 %, 24273 MiB, 143771 MiB, 473.47 W
2026/05/29 11:07:38.205, 1, NVIDIA H200, 91 %, 23 %, 26007 MiB, 143771 MiB, 474.05 W
2026/05/29 11:07:38.205, 2, NVIDIA H200, 93 %, 23 %, 26007 MiB, 143771 MiB, 474.82 W
2026/05/29 11:07:38.205, 3, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 471.40 W
2026/05/29 11:08:08.205, 0, NVIDIA H200, 45 %, 6 %, 24273 MiB, 143771 MiB, 486.67 W
2026/05/29 11:08:08.206, 1, NVIDIA H200, 98 %, 24 %, 26007 MiB, 143771 MiB, 477.75 W
2026/05/29 11:08:08.206, 2, NVIDIA H200, 86 %, 22 %, 26007 MiB, 143771 MiB, 487.96 W
2026/05/29 11:08:08.206, 3, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 466.49 W
2026/05/29 11:08:38.206, 0, NVIDIA H200, 32 %, 8 %, 24273 MiB, 143771 MiB, 492.70 W
2026/05/29 11:08:38.207, 1, NVIDIA H200, 0 %, 0 %, 26007 MiB, 143771 MiB, 482.49 W
2026/05/29 11:08:38.207, 2, NVIDIA H200, 92 %, 22 %, 26007 MiB, 143771 MiB, 498.30 W
2026/05/29 11:08:38.207, 3, NVIDIA H200, 45 %, 10 %, 26007 MiB, 143771 MiB, 481.74 W
2026/05/29 11:09:08.207, 0, NVIDIA H200, 86 %, 22 %, 24273 MiB, 143771 MiB, 492.17 W
2026/05/29 11:09:08.208, 1, NVIDIA H200, 52 %, 12 %, 26007 MiB, 143771 MiB, 480.05 W
2026/05/29 11:09:08.208, 2, NVIDIA H200, 100 %, 20 %, 26007 MiB, 143771 MiB, 493.37 W
2026/05/29 11:09:08.208, 3, NVIDIA H200, 88 %, 22 %, 26007 MiB, 143771 MiB, 477.62 W
2026/05/29 11:09:38.209, 0, NVIDIA H200, 100 %, 21 %, 24273 MiB, 143771 MiB, 493.34 W
2026/05/29 11:09:38.209, 1, NVIDIA H200, 99 %, 22 %, 26007 MiB, 143771 MiB, 473.30 W
2026/05/29 11:09:38.209, 2, NVIDIA H200, 70 %, 11 %, 26007 MiB, 143771 MiB, 470.85 W
2026/05/29 11:09:38.209, 3, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 473.71 W
2026/05/29 11:10:08.210, 0, NVIDIA H200, 92 %, 25 %, 24273 MiB, 143771 MiB, 488.01 W
2026/05/29 11:10:08.210, 1, NVIDIA H200, 1 %, 0 %, 26007 MiB, 143771 MiB, 485.69 W
2026/05/29 11:10:08.211, 2, NVIDIA H200, 26 %, 5 %, 26007 MiB, 143771 MiB, 497.87 W
2026/05/29 11:10:08.211, 3, NVIDIA H200, 22 %, 5 %, 26007 MiB, 143771 MiB, 487.05 W
2026/05/29 11:10:38.211, 0, NVIDIA H200, 53 %, 7 %, 24273 MiB, 143771 MiB, 473.07 W
2026/05/29 11:10:38.212, 1, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 463.29 W
2026/05/29 11:10:38.212, 2, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 469.30 W
2026/05/29 11:10:38.212, 3, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 459.67 W
2026/05/29 11:11:08.212, 0, NVIDIA H200, 92 %, 23 %, 24273 MiB, 143771 MiB, 480.22 W
2026/05/29 11:11:08.213, 1, NVIDIA H200, 42 %, 11 %, 26007 MiB, 143771 MiB, 480.01 W
2026/05/29 11:11:08.213, 2, NVIDIA H200, 27 %, 6 %, 26007 MiB, 143771 MiB, 490.22 W
2026/05/29 11:11:08.213, 3, NVIDIA H200, 80 %, 20 %, 26007 MiB, 143771 MiB, 482.65 W
2026/05/29 11:11:38.213, 0, NVIDIA H200, 0 %, 0 %, 24273 MiB, 143771 MiB, 470.53 W
2026/05/29 11:11:38.214, 1, NVIDIA H200, 100 %, 19 %, 26007 MiB, 143771 MiB, 474.45 W
2026/05/29 11:11:38.214, 2, NVIDIA H200, 100 %, 21 %, 26007 MiB, 143771 MiB, 469.24 W
2026/05/29 11:11:38.214, 3, NVIDIA H200, 74 %, 14 %, 26007 MiB, 143771 MiB, 479.19 W
2026/05/29 11:12:08.214, 0, NVIDIA H200, 53 %, 13 %, 24273 MiB, 143771 MiB, 494.55 W
2026/05/29 11:12:08.215, 1, NVIDIA H200, 64 %, 11 %, 26007 MiB, 143771 MiB, 489.85 W
2026/05/29 11:12:08.215, 2, NVIDIA H200, 2 %, 1 %, 26007 MiB, 143771 MiB, 503.33 W
2026/05/29 11:12:08.215, 3, NVIDIA H200, 17 %, 4 %, 26007 MiB, 143771 MiB, 481.14 W
2026/05/29 11:12:38.215, 0, NVIDIA H200, 92 %, 19 %, 24273 MiB, 143771 MiB, 492.97 W
2026/05/29 11:12:38.216, 1, NVIDIA H200, 91 %, 21 %, 26007 MiB, 143771 MiB, 481.24 W
2026/05/29 11:12:38.216, 2, NVIDIA H200, 90 %, 20 %, 26007 MiB, 143771 MiB, 497.96 W
2026/05/29 11:12:38.216, 3, NVIDIA H200, 95 %, 24 %, 26007 MiB, 143771 MiB, 469.97 W
2026/05/29 11:13:08.217, 0, NVIDIA H200, 100 %, 16 %, 24273 MiB, 143771 MiB, 477.20 W
2026/05/29 11:13:08.217, 1, NVIDIA H200, 100 %, 18 %, 26007 MiB, 143771 MiB, 466.19 W
