timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 13:00:42.360, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 81.78 W
2026/05/29 13:00:42.364, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.54 W
2026/05/29 13:00:42.368, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.83 W
2026/05/29 13:00:42.371, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.85 W
2026/05/29 13:01:12.374, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.98 W
2026/05/29 13:01:12.375, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.84 W
2026/05/29 13:01:12.375, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.24 W
2026/05/29 13:01:12.375, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.72 W
2026/05/29 13:01:42.375, 0, NVIDIA H200, 0 %, 0 %, 575 MiB, 143771 MiB, 122.63 W
2026/05/29 13:01:42.376, 1, NVIDIA H200, 0 %, 0 %, 667 MiB, 143771 MiB, 119.14 W
2026/05/29 13:01:42.376, 2, NVIDIA H200, 0 %, 0 %, 667 MiB, 143771 MiB, 120.60 W
2026/05/29 13:01:42.376, 3, NVIDIA H200, 0 %, 0 %, 667 MiB, 143771 MiB, 120.48 W
2026/05/29 13:02:12.377, 0, NVIDIA H200, 36 %, 6 %, 23445 MiB, 143771 MiB, 464.15 W
2026/05/29 13:02:12.377, 1, NVIDIA H200, 67 %, 12 %, 26009 MiB, 143771 MiB, 464.80 W
2026/05/29 13:02:12.377, 2, NVIDIA H200, 100 %, 20 %, 26009 MiB, 143771 MiB, 468.95 W
2026/05/29 13:02:12.377, 3, NVIDIA H200, 5 %, 2 %, 26009 MiB, 143771 MiB, 442.36 W
2026/05/29 13:02:42.377, 0, NVIDIA H200, 90 %, 20 %, 24279 MiB, 143771 MiB, 483.46 W
2026/05/29 13:02:42.378, 1, NVIDIA H200, 81 %, 21 %, 26009 MiB, 143771 MiB, 483.32 W
2026/05/29 13:02:42.378, 2, NVIDIA H200, 35 %, 9 %, 26009 MiB, 143771 MiB, 488.64 W
