timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 08:16:07.693, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 82.29 W
2026/05/29 08:16:37.698, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 80.73 W
2026/05/29 08:17:07.699, 0, NVIDIA H200, 31 %, 9 %, 20481 MiB, 143771 MiB, 184.78 W
2026/05/29 08:17:37.699, 0, NVIDIA H200, 5 %, 1 %, 20481 MiB, 143771 MiB, 202.13 W
2026/05/29 08:18:07.700, 0, NVIDIA H200, 0 %, 0 %, 45423 MiB, 143771 MiB, 269.01 W
2026/05/29 08:18:37.701, 0, NVIDIA H200, 100 %, 25 %, 45425 MiB, 143771 MiB, 346.51 W
2026/05/29 08:19:07.702, 0, NVIDIA H200, 0 %, 0 %, 45425 MiB, 143771 MiB, 350.11 W
2026/05/29 08:19:37.702, 0, NVIDIA H200, 100 %, 27 %, 45425 MiB, 143771 MiB, 325.48 W
2026/05/29 08:20:07.703, 0, NVIDIA H200, 0 %, 0 %, 45425 MiB, 143771 MiB, 342.32 W
2026/05/29 08:20:37.703, 0, NVIDIA H200, 100 %, 28 %, 45425 MiB, 143771 MiB, 282.39 W
2026/05/29 08:21:07.705, 0, NVIDIA H200, 100 %, 17 %, 45425 MiB, 143771 MiB, 350.70 W
2026/05/29 08:21:37.705, 0, NVIDIA H200, 0 %, 0 %, 45425 MiB, 143771 MiB, 343.72 W
2026/05/29 08:22:07.706, 0, NVIDIA H200, 27 %, 8 %, 45425 MiB, 143771 MiB, 287.67 W
2026/05/29 08:22:37.708, 0, NVIDIA H200, 100 %, 26 %, 45427 MiB, 143771 MiB, 269.03 W
2026/05/29 08:23:07.708, 0, NVIDIA H200, 94 %, 17 %, 45427 MiB, 143771 MiB, 347.69 W
2026/05/29 08:23:37.709, 0, NVIDIA H200, 1 %, 0 %, 45427 MiB, 143771 MiB, 350.49 W
2026/05/29 08:24:07.737, 0, NVIDIA H200, 100 %, 21 %, 45427 MiB, 143771 MiB, 351.65 W
2026/05/29 08:24:37.738, 0, NVIDIA H200, 13 %, 4 %, 45427 MiB, 143771 MiB, 313.54 W
2026/05/29 08:25:07.738, 0, NVIDIA H200, 100 %, 21 %, 45427 MiB, 143771 MiB, 355.54 W
2026/05/29 08:25:37.738, 0, NVIDIA H200, 100 %, 22 %, 45427 MiB, 143771 MiB, 326.88 W
2026/05/29 08:26:07.739, 0, NVIDIA H200, 20 %, 7 %, 45427 MiB, 143771 MiB, 318.44 W
2026/05/29 08:26:37.740, 0, NVIDIA H200, 100 %, 20 %, 45427 MiB, 143771 MiB, 349.00 W
2026/05/29 08:27:07.742, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 339.56 W
2026/05/29 08:27:37.742, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 347.41 W
2026/05/29 08:28:07.743, 0, NVIDIA H200, 2 %, 1 %, 45427 MiB, 143771 MiB, 351.39 W
2026/05/29 08:28:37.743, 0, NVIDIA H200, 100 %, 19 %, 45427 MiB, 143771 MiB, 354.97 W
2026/05/29 08:29:07.744, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 314.65 W
2026/05/29 08:29:37.744, 0, NVIDIA H200, 55 %, 11 %, 45427 MiB, 143771 MiB, 329.97 W
2026/05/29 08:30:07.745, 0, NVIDIA H200, 59 %, 13 %, 45427 MiB, 143771 MiB, 327.09 W
2026/05/29 08:30:37.745, 0, NVIDIA H200, 58 %, 12 %, 45427 MiB, 143771 MiB, 326.05 W
2026/05/29 08:31:07.746, 0, NVIDIA H200, 57 %, 12 %, 45427 MiB, 143771 MiB, 309.45 W
2026/05/29 08:31:37.747, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 129.45 W
2026/05/29 08:32:07.747, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 126.96 W
2026/05/29 08:32:37.748, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 126.50 W
2026/05/29 08:33:07.748, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 126.37 W
2026/05/29 08:33:37.749, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 126.32 W
2026/05/29 08:34:07.750, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 129.32 W
2026/05/29 08:34:37.750, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 150.91 W
2026/05/29 08:35:07.751, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 131.47 W
2026/05/29 08:35:37.751, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 130.40 W
2026/05/29 08:36:07.752, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 130.31 W
2026/05/29 08:36:37.753, 0, NVIDIA H200, 0 %, 0 %, 45427 MiB, 143771 MiB, 130.27 W
