timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 03:29:32.161, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.47 W
2026/05/29 03:29:42.166, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 125.64 W
2026/05/29 03:29:52.168, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 125.78 W
2026/05/29 03:30:02.169, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 125.76 W
2026/05/29 03:30:12.170, 0, NVIDIA H200, 7 %, 2 %, 2747 MiB, 143771 MiB, 186.77 W
2026/05/29 03:30:22.171, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 215.07 W
2026/05/29 03:30:32.172, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 125.56 W
2026/05/29 03:30:42.173, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 214.81 W
2026/05/29 03:30:52.174, 0, NVIDIA H200, 6 %, 2 %, 2789 MiB, 143771 MiB, 156.86 W
2026/05/29 03:31:02.175, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 125.57 W
2026/05/29 03:31:12.176, 0, NVIDIA H200, 9 %, 2 %, 2789 MiB, 143771 MiB, 215.08 W
2026/05/29 03:31:22.178, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.90 W
2026/05/29 03:31:32.179, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.75 W
2026/05/29 03:31:42.180, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.43 W
2026/05/29 03:31:52.181, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.23 W
2026/05/29 03:32:02.182, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.07 W
2026/05/29 03:32:12.183, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.00 W
2026/05/29 03:32:22.184, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.87 W
2026/05/29 03:32:32.185, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.77 W
2026/05/29 03:32:42.187, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.68 W
2026/05/29 03:32:52.188, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.68 W
2026/05/29 03:33:02.189, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.62 W
2026/05/29 03:33:12.190, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.51 W
2026/05/29 03:33:22.192, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.52 W
2026/05/29 03:33:32.193, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.49 W
2026/05/29 03:33:42.194, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.55 W
2026/05/29 03:33:52.195, 0, NVIDIA H200, 36 %, 9 %, 2789 MiB, 143771 MiB, 174.40 W
2026/05/29 03:34:02.196, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.97 W
2026/05/29 03:34:12.198, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 217.99 W
2026/05/29 03:34:22.199, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 129.10 W
2026/05/29 03:34:32.200, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 137.26 W
2026/05/29 03:34:42.201, 0, NVIDIA H200, 52 %, 13 %, 2789 MiB, 143771 MiB, 217.32 W
2026/05/29 03:34:52.202, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.48 W
2026/05/29 03:35:02.204, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 219.80 W
2026/05/29 03:35:12.205, 0, NVIDIA H200, 12 %, 3 %, 2789 MiB, 143771 MiB, 171.28 W
2026/05/29 03:35:22.206, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.31 W
2026/05/29 03:35:32.207, 0, NVIDIA H200, 24 %, 6 %, 2789 MiB, 143771 MiB, 216.15 W
2026/05/29 03:35:42.208, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.03 W
2026/05/29 03:35:52.210, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 153.45 W
2026/05/29 03:36:02.211, 0, NVIDIA H200, 26 %, 6 %, 2789 MiB, 143771 MiB, 220.84 W
2026/05/29 03:36:12.212, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.15 W
2026/05/29 03:36:22.213, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 205.07 W
2026/05/29 03:36:32.215, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 135.65 W
2026/05/29 03:36:42.216, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.78 W
2026/05/29 03:36:52.217, 0, NVIDIA H200, 29 %, 7 %, 2789 MiB, 143771 MiB, 218.46 W
2026/05/29 03:37:02.218, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 137.18 W
2026/05/29 03:37:12.219, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.82 W
2026/05/29 03:37:22.221, 0, NVIDIA H200, 49 %, 12 %, 2789 MiB, 143771 MiB, 217.21 W
2026/05/29 03:37:32.222, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 148.07 W
2026/05/29 03:37:42.223, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.81 W
2026/05/29 03:37:52.224, 0, NVIDIA H200, 24 %, 6 %, 2789 MiB, 143771 MiB, 215.36 W
2026/05/29 03:38:02.225, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 133.13 W
2026/05/29 03:38:12.226, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.70 W
2026/05/29 03:38:22.228, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 213.59 W
2026/05/29 03:38:32.229, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 157.69 W
2026/05/29 03:38:42.230, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.47 W
2026/05/29 03:38:52.231, 0, NVIDIA H200, 52 %, 12 %, 2789 MiB, 143771 MiB, 216.68 W
2026/05/29 03:39:02.232, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 175.48 W
2026/05/29 03:39:12.234, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.20 W
2026/05/29 03:39:22.235, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 218.43 W
2026/05/29 03:39:32.236, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 174.47 W
