timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 02:02:05.282, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.75 W
2026/05/29 02:02:35.286, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.77 W
2026/05/29 02:03:05.287, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.71 W
2026/05/29 02:03:35.287, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.71 W
2026/05/29 02:04:05.288, 0, NVIDIA H200, 21 %, 5 %, 3067 MiB, 143771 MiB, 186.47 W
2026/05/29 02:04:35.289, 0, NVIDIA H200, 19 %, 5 %, 3067 MiB, 143771 MiB, 196.60 W
2026/05/29 02:05:05.290, 0, NVIDIA H200, 19 %, 5 %, 3067 MiB, 143771 MiB, 192.08 W
2026/05/29 02:05:35.290, 0, NVIDIA H200, 14 %, 3 %, 3067 MiB, 143771 MiB, 182.59 W
2026/05/29 02:06:05.291, 0, NVIDIA H200, 19 %, 5 %, 3067 MiB, 143771 MiB, 184.94 W
2026/05/29 02:06:35.292, 0, NVIDIA H200, 14 %, 3 %, 3067 MiB, 143771 MiB, 178.55 W
2026/05/29 02:07:05.293, 0, NVIDIA H200, 21 %, 5 %, 3067 MiB, 143771 MiB, 196.20 W
2026/05/29 02:07:35.294, 0, NVIDIA H200, 28 %, 7 %, 3067 MiB, 143771 MiB, 193.73 W
2026/05/29 02:08:05.295, 0, NVIDIA H200, 28 %, 7 %, 3067 MiB, 143771 MiB, 207.77 W
2026/05/29 02:08:35.296, 0, NVIDIA H200, 27 %, 7 %, 3067 MiB, 143771 MiB, 190.18 W
2026/05/29 02:09:05.297, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 269.79 W
2026/05/29 02:09:35.297, 0, NVIDIA H200, 25 %, 6 %, 4293 MiB, 143771 MiB, 245.08 W
2026/05/29 02:10:05.298, 0, NVIDIA H200, 35 %, 8 %, 4293 MiB, 143771 MiB, 240.58 W
2026/05/29 02:10:35.299, 0, NVIDIA H200, 21 %, 5 %, 4293 MiB, 143771 MiB, 252.22 W
2026/05/29 02:11:05.300, 0, NVIDIA H200, 53 %, 12 %, 4293 MiB, 143771 MiB, 259.40 W
2026/05/29 02:11:35.301, 0, NVIDIA H200, 26 %, 6 %, 4293 MiB, 143771 MiB, 247.50 W
2026/05/29 02:12:05.302, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 247.52 W
2026/05/29 02:12:35.338, 0, NVIDIA H200, 44 %, 10 %, 4293 MiB, 143771 MiB, 249.78 W
2026/05/29 02:13:05.339, 0, NVIDIA H200, 28 %, 6 %, 4293 MiB, 143771 MiB, 235.58 W
2026/05/29 02:13:35.340, 0, NVIDIA H200, 32 %, 7 %, 4293 MiB, 143771 MiB, 241.10 W
2026/05/29 02:14:05.340, 0, NVIDIA H200, 19 %, 5 %, 4293 MiB, 143771 MiB, 224.69 W
2026/05/29 02:14:35.341, 0, NVIDIA H200, 35 %, 8 %, 4293 MiB, 143771 MiB, 235.76 W
2026/05/29 02:15:05.342, 0, NVIDIA H200, 34 %, 7 %, 4293 MiB, 143771 MiB, 244.37 W
2026/05/29 02:15:35.343, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 240.55 W
2026/05/29 02:16:05.344, 0, NVIDIA H200, 38 %, 8 %, 4293 MiB, 143771 MiB, 230.05 W
2026/05/29 02:16:35.344, 0, NVIDIA H200, 26 %, 6 %, 4293 MiB, 143771 MiB, 233.13 W
2026/05/29 02:17:05.345, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 245.53 W
2026/05/29 02:17:35.346, 0, NVIDIA H200, 35 %, 7 %, 4293 MiB, 143771 MiB, 239.86 W
2026/05/29 02:18:05.347, 0, NVIDIA H200, 33 %, 7 %, 4293 MiB, 143771 MiB, 240.52 W
2026/05/29 02:18:35.348, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 232.87 W
2026/05/29 02:19:05.349, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 245.55 W
2026/05/29 02:19:35.391, 0, NVIDIA H200, 36 %, 8 %, 4293 MiB, 143771 MiB, 231.85 W
