timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 06:25:43.916, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.94 W
2026/05/29 06:26:13.920, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.89 W
2026/05/29 06:26:43.921, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.75 W
2026/05/29 06:27:13.922, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.62 W
2026/05/29 06:27:43.923, 0, NVIDIA H200, 21 %, 5 %, 3067 MiB, 143771 MiB, 195.15 W
2026/05/29 06:28:13.924, 0, NVIDIA H200, 23 %, 6 %, 3067 MiB, 143771 MiB, 193.03 W
2026/05/29 06:28:43.943, 0, NVIDIA H200, 28 %, 7 %, 3067 MiB, 143771 MiB, 193.65 W
2026/05/29 06:29:13.944, 0, NVIDIA H200, 22 %, 5 %, 3067 MiB, 143771 MiB, 194.77 W
2026/05/29 06:29:43.944, 0, NVIDIA H200, 18 %, 4 %, 3067 MiB, 143771 MiB, 191.52 W
2026/05/29 06:30:13.945, 0, NVIDIA H200, 22 %, 5 %, 3067 MiB, 143771 MiB, 195.14 W
2026/05/29 06:30:43.946, 0, NVIDIA H200, 23 %, 6 %, 3067 MiB, 143771 MiB, 195.12 W
2026/05/29 06:31:13.947, 0, NVIDIA H200, 23 %, 5 %, 3067 MiB, 143771 MiB, 200.81 W
2026/05/29 06:31:43.948, 0, NVIDIA H200, 19 %, 5 %, 3067 MiB, 143771 MiB, 186.55 W
2026/05/29 06:32:13.948, 0, NVIDIA H200, 16 %, 4 %, 3067 MiB, 143771 MiB, 189.19 W
2026/05/29 06:32:43.949, 0, NVIDIA H200, 47 %, 11 %, 4293 MiB, 143771 MiB, 253.96 W
2026/05/29 06:33:13.951, 0, NVIDIA H200, 62 %, 13 %, 4293 MiB, 143771 MiB, 246.67 W
2026/05/29 06:33:43.952, 0, NVIDIA H200, 40 %, 9 %, 4295 MiB, 143771 MiB, 242.07 W
2026/05/29 06:34:13.953, 0, NVIDIA H200, 24 %, 5 %, 4295 MiB, 143771 MiB, 253.20 W
2026/05/29 06:34:43.954, 0, NVIDIA H200, 27 %, 6 %, 4295 MiB, 143771 MiB, 253.01 W
2026/05/29 06:35:13.955, 0, NVIDIA H200, 39 %, 8 %, 4295 MiB, 143771 MiB, 249.53 W
2026/05/29 06:35:43.956, 0, NVIDIA H200, 34 %, 8 %, 4295 MiB, 143771 MiB, 236.59 W
2026/05/29 06:36:13.958, 0, NVIDIA H200, 24 %, 5 %, 4295 MiB, 143771 MiB, 234.09 W
2026/05/29 06:36:43.959, 0, NVIDIA H200, 40 %, 8 %, 4295 MiB, 143771 MiB, 241.21 W
2026/05/29 06:37:13.960, 0, NVIDIA H200, 39 %, 8 %, 4297 MiB, 143771 MiB, 259.51 W
2026/05/29 06:37:43.961, 0, NVIDIA H200, 38 %, 8 %, 4297 MiB, 143771 MiB, 242.58 W
2026/05/29 06:38:13.961, 0, NVIDIA H200, 39 %, 8 %, 4297 MiB, 143771 MiB, 242.78 W
2026/05/29 06:38:43.962, 0, NVIDIA H200, 38 %, 8 %, 4297 MiB, 143771 MiB, 233.07 W
