timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/30 21:35:38.447, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.02 W
2026/05/30 21:35:38.451, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.31 W
2026/05/30 21:35:38.453, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.24 W
2026/05/30 21:35:38.456, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.43 W
2026/05/30 21:36:08.459, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 110.74 W
2026/05/30 21:36:08.460, 1, NVIDIA H200, 2 %, 0 %, 529 MiB, 143771 MiB, 100.89 W
2026/05/30 21:36:08.460, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 90.51 W
2026/05/30 21:36:08.460, 3, NVIDIA H200, 1 %, 0 %, 529 MiB, 143771 MiB, 96.50 W
2026/05/30 21:36:38.460, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.09 W
2026/05/30 21:36:38.461, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.13 W
2026/05/30 21:36:38.461, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 115.97 W
2026/05/30 21:36:38.461, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.64 W
2026/05/30 21:37:08.462, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.22 W
2026/05/30 21:37:08.462, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.20 W
2026/05/30 21:37:08.462, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.08 W
2026/05/30 21:37:08.463, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.81 W
2026/05/30 21:37:38.463, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.25 W
2026/05/30 21:37:38.463, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.18 W
2026/05/30 21:37:38.463, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.18 W
2026/05/30 21:37:38.463, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.85 W
2026/05/30 21:38:08.464, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.27 W
2026/05/30 21:38:08.464, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.19 W
2026/05/30 21:38:08.464, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.11 W
2026/05/30 21:38:08.464, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.86 W
2026/05/30 21:38:38.464, 0, NVIDIA H200, 0 %, 0 %, 617 MiB, 143771 MiB, 117.27 W
2026/05/30 21:38:38.465, 1, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 114.20 W
2026/05/30 21:38:38.465, 2, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 116.15 W
2026/05/30 21:38:38.465, 3, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 116.83 W
2026/05/30 21:39:08.465, 0, NVIDIA H200, 57 %, 9 %, 3961 MiB, 143771 MiB, 290.36 W
2026/05/30 21:39:08.466, 1, NVIDIA H200, 53 %, 8 %, 4603 MiB, 143771 MiB, 280.30 W
2026/05/30 21:39:08.466, 2, NVIDIA H200, 37 %, 6 %, 4605 MiB, 143771 MiB, 281.19 W
2026/05/30 21:39:08.466, 3, NVIDIA H200, 55 %, 8 %, 4603 MiB, 143771 MiB, 293.52 W
2026/05/30 21:39:38.466, 0, NVIDIA H200, 42 %, 7 %, 3963 MiB, 143771 MiB, 276.50 W
2026/05/30 21:39:38.467, 1, NVIDIA H200, 42 %, 6 %, 4603 MiB, 143771 MiB, 270.63 W
2026/05/30 21:39:38.467, 2, NVIDIA H200, 37 %, 6 %, 4605 MiB, 143771 MiB, 278.89 W
2026/05/30 21:39:38.467, 3, NVIDIA H200, 53 %, 8 %, 4605 MiB, 143771 MiB, 290.92 W
2026/05/30 21:40:08.467, 0, NVIDIA H200, 0 %, 0 %, 4799 MiB, 143771 MiB, 153.57 W
2026/05/30 21:40:08.468, 1, NVIDIA H200, 0 %, 0 %, 4087 MiB, 143771 MiB, 117.12 W
2026/05/30 21:40:08.468, 2, NVIDIA H200, 0 %, 0 %, 4087 MiB, 143771 MiB, 118.88 W
2026/05/30 21:40:08.468, 3, NVIDIA H200, 0 %, 0 %, 4087 MiB, 143771 MiB, 120.94 W
2026/05/30 21:40:38.468, 0, NVIDIA H200, 0 %, 0 %, 4799 MiB, 143771 MiB, 118.26 W
2026/05/30 21:40:38.469, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.61 W
2026/05/30 21:40:38.469, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.61 W
2026/05/30 21:40:38.469, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.90 W
2026/05/30 21:41:08.469, 0, NVIDIA H200, 51 %, 12 %, 4799 MiB, 143771 MiB, 204.50 W
2026/05/30 21:41:08.470, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.47 W
2026/05/30 21:41:08.470, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.43 W
2026/05/30 21:41:08.470, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.83 W
2026/05/30 21:41:38.470, 0, NVIDIA H200, 0 %, 0 %, 4799 MiB, 143771 MiB, 202.64 W
2026/05/30 21:41:38.471, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.39 W
2026/05/30 21:41:38.471, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.39 W
2026/05/30 21:41:38.471, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.62 W
2026/05/30 21:42:08.471, 0, NVIDIA H200, 0 %, 0 %, 4799 MiB, 143771 MiB, 117.97 W
2026/05/30 21:42:08.472, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.33 W
2026/05/30 21:42:08.472, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.31 W
2026/05/30 21:42:08.472, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.56 W
2026/05/30 21:42:38.472, 0, NVIDIA H200, 0 %, 0 %, 4799 MiB, 143771 MiB, 117.21 W
2026/05/30 21:42:38.473, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.34 W
2026/05/30 21:42:38.473, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.32 W
2026/05/30 21:42:38.473, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.49 W
2026/05/30 21:43:08.473, 0, NVIDIA H200, 0 %, 0 %, 4799 MiB, 143771 MiB, 117.25 W
