timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/30 22:46:58.722, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.50 W
2026/05/30 22:46:58.726, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.62 W
2026/05/30 22:46:58.729, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 82.99 W
2026/05/30 22:46:58.731, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.62 W
2026/05/30 22:47:28.734, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.75 W
2026/05/30 22:47:28.735, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.09 W
2026/05/30 22:47:28.735, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.54 W
2026/05/30 22:47:28.736, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.19 W
2026/05/30 22:47:58.736, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.79 W
2026/05/30 22:47:58.737, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.19 W
2026/05/30 22:47:58.737, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.57 W
2026/05/30 22:47:58.737, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.31 W
2026/05/30 22:48:28.738, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.67 W
2026/05/30 22:48:28.738, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.11 W
2026/05/30 22:48:28.738, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.57 W
2026/05/30 22:48:28.738, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.21 W
2026/05/30 22:48:58.739, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.64 W
2026/05/30 22:48:58.739, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.07 W
2026/05/30 22:48:58.739, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.53 W
2026/05/30 22:48:58.740, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.23 W
2026/05/30 22:49:28.740, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.57 W
2026/05/30 22:49:28.741, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.05 W
2026/05/30 22:49:28.741, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.46 W
2026/05/30 22:49:28.741, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.18 W
2026/05/30 22:49:58.741, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.51 W
2026/05/30 22:49:58.742, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.03 W
2026/05/30 22:49:58.742, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.43 W
2026/05/30 22:49:58.742, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.10 W
2026/05/30 22:50:28.743, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.49 W
2026/05/30 22:50:28.743, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 115.99 W
2026/05/30 22:50:28.743, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 124.40 W
2026/05/30 22:50:28.743, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.06 W
2026/05/30 22:50:58.744, 0, NVIDIA H200, 0 %, 0 %, 617 MiB, 143771 MiB, 117.45 W
2026/05/30 22:50:58.744, 1, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 116.02 W
2026/05/30 22:50:58.744, 2, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 124.34 W
2026/05/30 22:50:58.744, 3, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 118.10 W
2026/05/30 22:51:28.745, 0, NVIDIA H200, 43 %, 8 %, 4077 MiB, 143771 MiB, 305.81 W
2026/05/30 22:51:28.745, 1, NVIDIA H200, 64 %, 10 %, 4979 MiB, 143771 MiB, 318.99 W
2026/05/30 22:51:28.745, 2, NVIDIA H200, 50 %, 8 %, 4979 MiB, 143771 MiB, 331.62 W
2026/05/30 22:51:28.745, 3, NVIDIA H200, 55 %, 6 %, 4979 MiB, 143771 MiB, 328.85 W
2026/05/30 22:51:58.746, 0, NVIDIA H200, 56 %, 10 %, 4077 MiB, 143771 MiB, 322.22 W
2026/05/30 22:51:58.746, 1, NVIDIA H200, 58 %, 9 %, 4979 MiB, 143771 MiB, 334.90 W
2026/05/30 22:51:58.746, 2, NVIDIA H200, 51 %, 10 %, 4979 MiB, 143771 MiB, 326.04 W
2026/05/30 22:51:58.746, 3, NVIDIA H200, 65 %, 9 %, 4979 MiB, 143771 MiB, 344.17 W
2026/05/30 22:52:28.747, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 140.91 W
2026/05/30 22:52:28.747, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.53 W
2026/05/30 22:52:28.747, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 84.73 W
2026/05/30 22:52:28.747, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.38 W
2026/05/30 22:52:58.747, 0, NVIDIA H200, 48 %, 10 %, 4913 MiB, 143771 MiB, 219.48 W
2026/05/30 22:52:58.748, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.68 W
2026/05/30 22:52:58.748, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.46 W
2026/05/30 22:52:58.748, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.60 W
2026/05/30 22:53:28.748, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.97 W
2026/05/30 22:53:28.749, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.55 W
2026/05/30 22:53:28.749, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.23 W
2026/05/30 22:53:28.749, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.48 W
2026/05/30 22:53:58.749, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.58 W
2026/05/30 22:53:58.750, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.99 W
2026/05/30 22:53:58.750, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.11 W
2026/05/30 22:53:58.750, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.43 W
2026/05/30 22:54:28.750, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.47 W
2026/05/30 22:54:28.750, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.99 W
2026/05/30 22:54:28.751, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.04 W
2026/05/30 22:54:28.751, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.38 W
2026/05/30 22:54:58.751, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.37 W
2026/05/30 22:54:58.751, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.97 W
2026/05/30 22:54:58.751, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.97 W
2026/05/30 22:54:58.752, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.33 W
2026/05/30 22:55:28.752, 0, NVIDIA H200, 33 %, 7 %, 4913 MiB, 143771 MiB, 143.36 W
2026/05/30 22:55:28.752, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.99 W
2026/05/30 22:55:28.752, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.98 W
