timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 14:36:51.936, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.39 W
2026/05/29 14:36:51.939, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.97 W
2026/05/29 14:36:51.942, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.66 W
2026/05/29 14:36:51.945, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.14 W
2026/05/29 14:37:21.948, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.82 W
2026/05/29 14:37:21.948, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.93 W
2026/05/29 14:37:21.948, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.47 W
2026/05/29 14:37:21.948, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 115.97 W
2026/05/29 14:37:51.949, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.19 W
2026/05/29 14:37:51.949, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.12 W
2026/05/29 14:37:51.949, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.53 W
2026/05/29 14:37:51.949, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.32 W
2026/05/29 14:38:21.950, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.32 W
2026/05/29 14:38:21.950, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.18 W
2026/05/29 14:38:21.950, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.64 W
2026/05/29 14:38:21.950, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.42 W
2026/05/29 14:38:51.951, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.38 W
2026/05/29 14:38:51.952, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.18 W
2026/05/29 14:38:51.952, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.56 W
2026/05/29 14:38:51.952, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.52 W
2026/05/29 14:39:21.952, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 122.59 W
2026/05/29 14:39:21.952, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 121.51 W
2026/05/29 14:39:21.952, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 123.91 W
2026/05/29 14:39:21.952, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 120.74 W
2026/05/29 14:39:51.953, 0, NVIDIA H200, 54 %, 13 %, 3069 MiB, 143771 MiB, 245.27 W
2026/05/29 14:39:51.953, 1, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 117.23 W
2026/05/29 14:39:51.953, 2, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 119.61 W
2026/05/29 14:39:51.954, 3, NVIDIA H200, 0 %, 0 %, 709 MiB, 143771 MiB, 116.57 W
2026/05/29 14:40:21.954, 0, NVIDIA H200, 48 %, 6 %, 3961 MiB, 143771 MiB, 314.97 W
2026/05/29 14:40:21.954, 1, NVIDIA H200, 52 %, 8 %, 4603 MiB, 143771 MiB, 323.37 W
2026/05/29 14:40:21.954, 2, NVIDIA H200, 56 %, 8 %, 4603 MiB, 143771 MiB, 296.32 W
2026/05/29 14:40:21.954, 3, NVIDIA H200, 45 %, 9 %, 4603 MiB, 143771 MiB, 284.09 W
2026/05/29 14:40:51.955, 0, NVIDIA H200, 52 %, 9 %, 3961 MiB, 143771 MiB, 305.26 W
2026/05/29 14:40:51.955, 1, NVIDIA H200, 48 %, 8 %, 4603 MiB, 143771 MiB, 287.77 W
2026/05/29 14:40:51.955, 2, NVIDIA H200, 49 %, 8 %, 4603 MiB, 143771 MiB, 300.98 W
2026/05/29 14:40:51.955, 3, NVIDIA H200, 38 %, 7 %, 4603 MiB, 143771 MiB, 288.02 W
2026/05/29 14:41:21.956, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 213.45 W
2026/05/29 14:41:21.956, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.63 W
2026/05/29 14:41:21.957, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.96 W
2026/05/29 14:41:21.957, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.17 W
2026/05/29 14:41:51.957, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 119.90 W
2026/05/29 14:41:51.958, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.26 W
2026/05/29 14:41:51.958, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.83 W
2026/05/29 14:41:51.958, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.58 W
2026/05/29 14:42:21.958, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 207.74 W
2026/05/29 14:42:21.959, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.15 W
2026/05/29 14:42:21.959, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.73 W
2026/05/29 14:42:21.959, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.32 W
2026/05/29 14:42:51.959, 0, NVIDIA H200, 54 %, 13 %, 4797 MiB, 143771 MiB, 180.26 W
2026/05/29 14:42:51.960, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.99 W
2026/05/29 14:42:51.960, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.76 W
