timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/30 23:46:17.150, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.36 W
2026/05/30 23:46:17.153, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.58 W
2026/05/30 23:46:17.156, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 83.13 W
2026/05/30 23:46:17.159, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.61 W
2026/05/30 23:46:47.162, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 116.21 W
2026/05/30 23:46:47.163, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 115.72 W
2026/05/30 23:46:47.163, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 123.82 W
2026/05/30 23:46:47.163, 3, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.29 W
2026/05/30 23:47:17.163, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.57 W
2026/05/30 23:47:17.163, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.03 W
2026/05/30 23:47:17.164, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.28 W
2026/05/30 23:47:17.164, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 117.50 W
2026/05/30 23:47:47.164, 0, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.89 W
2026/05/30 23:47:47.164, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.38 W
2026/05/30 23:47:47.164, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.32 W
2026/05/30 23:47:47.165, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 117.83 W
2026/05/30 23:48:17.165, 0, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.93 W
2026/05/30 23:48:17.165, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 116.40 W
2026/05/30 23:48:17.165, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.34 W
2026/05/30 23:48:17.165, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.13 W
2026/05/30 23:48:47.165, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.91 W
2026/05/30 23:48:47.166, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.42 W
2026/05/30 23:48:47.166, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.80 W
2026/05/30 23:48:47.166, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.46 W
2026/05/30 23:49:17.166, 0, NVIDIA H200, 61 %, 9 %, 4075 MiB, 143771 MiB, 317.56 W
2026/05/30 23:49:17.169, 1, NVIDIA H200, 48 %, 9 %, 4977 MiB, 143771 MiB, 314.70 W
2026/05/30 23:49:17.171, 2, NVIDIA H200, 50 %, 8 %, 4977 MiB, 143771 MiB, 326.26 W
2026/05/30 23:49:17.174, 3, NVIDIA H200, 54 %, 10 %, 4977 MiB, 143771 MiB, 317.82 W
2026/05/30 23:49:47.177, 0, NVIDIA H200, 62 %, 9 %, 4075 MiB, 143771 MiB, 322.33 W
2026/05/30 23:49:47.177, 1, NVIDIA H200, 39 %, 8 %, 4977 MiB, 143771 MiB, 327.44 W
2026/05/30 23:49:47.177, 2, NVIDIA H200, 65 %, 9 %, 4977 MiB, 143771 MiB, 343.70 W
2026/05/30 23:49:47.178, 3, NVIDIA H200, 58 %, 11 %, 4977 MiB, 143771 MiB, 318.76 W
2026/05/30 23:50:17.178, 0, NVIDIA H200, 13 %, 4 %, 4907 MiB, 143771 MiB, 177.88 W
2026/05/30 23:50:17.178, 1, NVIDIA H200, 9 %, 1 %, 4 MiB, 143771 MiB, 120.68 W
2026/05/30 23:50:17.178, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 132.14 W
2026/05/30 23:50:17.178, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 123.94 W
2026/05/30 23:50:47.179, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 118.86 W
2026/05/30 23:50:47.179, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.95 W
2026/05/30 23:50:47.179, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.27 W
2026/05/30 23:50:47.179, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.00 W
2026/05/30 23:51:17.180, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.89 W
2026/05/30 23:51:17.180, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.73 W
2026/05/30 23:51:17.180, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.39 W
2026/05/30 23:51:17.180, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.82 W
2026/05/30 23:51:47.180, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.57 W
2026/05/30 23:51:47.181, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.66 W
2026/05/30 23:51:47.181, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.25 W
2026/05/30 23:51:47.181, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.77 W
2026/05/30 23:52:17.181, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.44 W
2026/05/30 23:52:17.182, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.57 W
2026/05/30 23:52:17.182, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.20 W
2026/05/30 23:52:17.182, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.66 W
2026/05/30 23:52:47.182, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.29 W
2026/05/30 23:52:47.183, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.60 W
2026/05/30 23:52:47.183, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.13 W
2026/05/30 23:52:47.183, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.69 W
2026/05/30 23:53:17.183, 0, NVIDIA H200, 0 %, 0 %, 4913 MiB, 143771 MiB, 117.26 W
2026/05/30 23:53:17.184, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.61 W
2026/05/30 23:53:17.184, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.11 W
2026/05/30 23:53:17.184, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.62 W
2026/05/30 23:53:47.184, 0, NVIDIA H200, 32 %, 7 %, 4913 MiB, 143771 MiB, 229.76 W
2026/05/30 23:53:47.185, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.55 W
2026/05/30 23:53:47.185, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.11 W
