timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/31 00:22:55.393, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.36 W
2026/05/31 00:22:55.397, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.99 W
2026/05/31 00:22:55.400, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.87 W
2026/05/31 00:22:55.403, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.04 W
2026/05/31 00:23:25.406, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 121.01 W
2026/05/31 00:23:25.407, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 115.45 W
2026/05/31 00:23:25.407, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.17 W
2026/05/31 00:23:25.407, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.68 W
2026/05/31 00:23:55.407, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 120.76 W
2026/05/31 00:23:55.408, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 115.70 W
2026/05/31 00:23:55.408, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 117.61 W
2026/05/31 00:23:55.408, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 119.41 W
2026/05/31 00:24:25.408, 0, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.80 W
2026/05/31 00:24:25.409, 1, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 115.23 W
2026/05/31 00:24:25.409, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.65 W
2026/05/31 00:24:25.409, 3, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 118.70 W
2026/05/31 00:24:55.410, 0, NVIDIA H200, 100 %, 0 %, 1493 MiB, 143771 MiB, 119.19 W
