timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/31 05:40:45.341, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.32 W
2026/05/31 05:40:45.344, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.61 W
2026/05/31 05:40:45.347, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 83.11 W
2026/05/31 05:40:45.349, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.69 W
2026/05/31 05:41:15.352, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.31 W
2026/05/31 05:41:15.353, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.58 W
2026/05/31 05:41:15.353, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.12 W
2026/05/31 05:41:15.353, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.72 W
2026/05/31 05:41:45.353, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.31 W
2026/05/31 05:41:45.354, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.64 W
2026/05/31 05:41:45.354, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.16 W
2026/05/31 05:41:45.354, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.71 W
2026/05/31 05:42:15.354, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.10 W
2026/05/31 05:42:15.355, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.59 W
2026/05/31 05:42:15.355, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.12 W
2026/05/31 05:42:15.355, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.70 W
2026/05/31 05:42:45.355, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.42 W
2026/05/31 05:42:45.356, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.05 W
2026/05/31 05:42:45.356, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.14 W
2026/05/31 05:42:45.356, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.06 W
2026/05/31 05:43:15.356, 0, NVIDIA H200, 60 %, 15 %, 4893 MiB, 143771 MiB, 345.10 W
2026/05/31 05:43:15.357, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.38 W
2026/05/31 05:43:15.357, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 124.64 W
2026/05/31 05:43:15.357, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 118.38 W
2026/05/31 05:43:45.357, 0, NVIDIA H200, 61 %, 16 %, 4893 MiB, 143771 MiB, 349.79 W
2026/05/31 05:43:45.358, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.40 W
2026/05/31 05:43:45.358, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 124.68 W
2026/05/31 05:43:45.358, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 118.40 W
2026/05/31 05:44:15.359, 0, NVIDIA H200, 62 %, 16 %, 4893 MiB, 143771 MiB, 342.87 W
2026/05/31 05:44:15.359, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.41 W
2026/05/31 05:44:15.359, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 124.74 W
2026/05/31 05:44:15.359, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 118.38 W
2026/05/31 05:44:45.360, 0, NVIDIA H200, 60 %, 15 %, 4893 MiB, 143771 MiB, 337.81 W
2026/05/31 05:44:45.360, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.41 W
2026/05/31 05:44:45.360, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 124.80 W
2026/05/31 05:44:45.360, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 117.90 W
2026/05/31 05:45:15.361, 0, NVIDIA H200, 60 %, 15 %, 4893 MiB, 143771 MiB, 336.35 W
2026/05/31 05:45:15.361, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.38 W
2026/05/31 05:45:15.361, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 124.76 W
2026/05/31 05:45:15.362, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 117.88 W
2026/05/31 05:45:45.362, 0, NVIDIA H200, 59 %, 15 %, 4893 MiB, 143771 MiB, 338.99 W
2026/05/31 05:45:45.362, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.42 W
2026/05/31 05:45:45.362, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 124.83 W
2026/05/31 05:45:45.363, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 117.84 W
2026/05/31 05:46:15.363, 0, NVIDIA H200, 61 %, 11 %, 5787 MiB, 143771 MiB, 379.76 W
2026/05/31 05:46:15.363, 1, NVIDIA H200, 63 %, 13 %, 6257 MiB, 143771 MiB, 369.55 W
2026/05/31 05:46:15.363, 2, NVIDIA H200, 63 %, 11 %, 6257 MiB, 143771 MiB, 379.09 W
2026/05/31 05:46:15.364, 3, NVIDIA H200, 69 %, 14 %, 6257 MiB, 143771 MiB, 386.47 W
2026/05/31 05:46:45.364, 0, NVIDIA H200, 54 %, 11 %, 5787 MiB, 143771 MiB, 393.19 W
2026/05/31 05:46:45.364, 1, NVIDIA H200, 59 %, 11 %, 6257 MiB, 143771 MiB, 385.56 W
2026/05/31 05:46:45.364, 2, NVIDIA H200, 53 %, 11 %, 6257 MiB, 143771 MiB, 395.84 W
2026/05/31 05:46:45.364, 3, NVIDIA H200, 60 %, 12 %, 6257 MiB, 143771 MiB, 392.39 W
2026/05/31 05:47:15.365, 0, NVIDIA H200, 53 %, 11 %, 5787 MiB, 143771 MiB, 391.07 W
2026/05/31 05:47:15.365, 1, NVIDIA H200, 61 %, 11 %, 6257 MiB, 143771 MiB, 374.64 W
2026/05/31 05:47:15.365, 2, NVIDIA H200, 53 %, 11 %, 6257 MiB, 143771 MiB, 400.68 W
2026/05/31 05:47:15.365, 3, NVIDIA H200, 61 %, 12 %, 6257 MiB, 143771 MiB, 388.93 W
2026/05/31 05:47:45.365, 0, NVIDIA H200, 62 %, 12 %, 5787 MiB, 143771 MiB, 391.35 W
2026/05/31 05:47:45.366, 1, NVIDIA H200, 69 %, 14 %, 6257 MiB, 143771 MiB, 382.42 W
2026/05/31 05:47:45.366, 2, NVIDIA H200, 62 %, 11 %, 6257 MiB, 143771 MiB, 398.75 W
2026/05/31 05:47:45.366, 3, NVIDIA H200, 59 %, 12 %, 6257 MiB, 143771 MiB, 385.31 W
2026/05/31 05:48:15.366, 0, NVIDIA H200, 68 %, 13 %, 5787 MiB, 143771 MiB, 391.09 W
2026/05/31 05:48:15.366, 1, NVIDIA H200, 61 %, 12 %, 6257 MiB, 143771 MiB, 383.58 W
2026/05/31 05:48:15.367, 2, NVIDIA H200, 65 %, 12 %, 6257 MiB, 143771 MiB, 398.06 W
2026/05/31 05:48:15.367, 3, NVIDIA H200, 70 %, 14 %, 6257 MiB, 143771 MiB, 378.46 W
2026/05/31 05:48:45.367, 0, NVIDIA H200, 62 %, 12 %, 5787 MiB, 143771 MiB, 395.62 W
2026/05/31 05:48:45.367, 1, NVIDIA H200, 67 %, 14 %, 6257 MiB, 143771 MiB, 388.28 W
