timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/31 11:32:57.515, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.98 W
2026/05/31 11:32:57.519, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.38 W
2026/05/31 11:32:57.521, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.36 W
2026/05/31 11:32:57.524, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.45 W
2026/05/31 11:33:27.527, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.97 W
2026/05/31 11:33:27.527, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.36 W
2026/05/31 11:33:27.527, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.22 W
2026/05/31 11:33:27.528, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.47 W
2026/05/31 11:33:57.528, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.01 W
2026/05/31 11:33:57.528, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.36 W
2026/05/31 11:33:57.528, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.35 W
2026/05/31 11:33:57.529, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.50 W
2026/05/31 11:34:27.529, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.94 W
2026/05/31 11:34:27.529, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.40 W
2026/05/31 11:34:27.529, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.25 W
2026/05/31 11:34:27.530, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.49 W
2026/05/31 11:34:57.530, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 117.05 W
2026/05/31 11:34:57.530, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 114.26 W
2026/05/31 11:34:57.530, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.27 W
2026/05/31 11:34:57.530, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.68 W
2026/05/31 11:35:27.531, 0, NVIDIA H200, 0 %, 0 %, 1637 MiB, 143771 MiB, 117.26 W
2026/05/31 11:35:27.531, 1, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 114.62 W
2026/05/31 11:35:27.531, 2, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 116.57 W
2026/05/31 11:35:27.531, 3, NVIDIA H200, 100 %, 0 %, 1637 MiB, 143771 MiB, 117.17 W
