timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/31 02:04:50.632, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.01 W
2026/05/31 02:04:50.635, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.40 W
2026/05/31 02:04:50.638, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.24 W
2026/05/31 02:04:50.641, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.25 W
2026/05/31 02:05:20.644, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.97 W
2026/05/31 02:05:20.645, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.36 W
2026/05/31 02:05:20.645, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.28 W
2026/05/31 02:05:20.645, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.27 W
2026/05/31 02:05:50.646, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.97 W
2026/05/31 02:05:50.646, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.39 W
2026/05/31 02:05:50.646, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.19 W
2026/05/31 02:05:50.646, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.27 W
2026/05/31 02:06:20.647, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.96 W
2026/05/31 02:06:20.647, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.37 W
2026/05/31 02:06:20.647, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.21 W
2026/05/31 02:06:20.647, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.18 W
2026/05/31 02:06:50.648, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.99 W
2026/05/31 02:06:50.648, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.21 W
2026/05/31 02:06:50.648, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.04 W
2026/05/31 02:06:50.649, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.58 W
2026/05/31 02:07:20.649, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.22 W
2026/05/31 02:07:20.649, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.30 W
2026/05/31 02:07:20.649, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.18 W
2026/05/31 02:07:20.650, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.81 W
2026/05/31 02:07:50.650, 0, NVIDIA H200, 7 %, 0 %, 723 MiB, 143771 MiB, 117.40 W
2026/05/31 02:07:50.651, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.34 W
2026/05/31 02:07:50.651, 2, NVIDIA H200, 7 %, 0 %, 723 MiB, 143771 MiB, 116.19 W
2026/05/31 02:07:50.651, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.86 W
2026/05/31 02:08:20.652, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.35 W
2026/05/31 02:08:20.652, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.33 W
2026/05/31 02:08:20.652, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 116.21 W
2026/05/31 02:08:20.653, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.94 W
2026/05/31 02:08:50.653, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.33 W
2026/05/31 02:08:50.653, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.28 W
2026/05/31 02:08:50.654, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 116.23 W
2026/05/31 02:08:50.654, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.95 W
2026/05/31 02:09:20.654, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.36 W
2026/05/31 02:09:20.654, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.29 W
2026/05/31 02:09:20.654, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 116.22 W
2026/05/31 02:09:20.654, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.89 W
2026/05/31 02:09:50.655, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.37 W
2026/05/31 02:09:50.655, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.27 W
2026/05/31 02:09:50.655, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 116.17 W
2026/05/31 02:09:50.656, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.95 W
2026/05/31 02:10:20.656, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.39 W
2026/05/31 02:10:20.656, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.34 W
2026/05/31 02:10:20.657, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 116.14 W
2026/05/31 02:10:20.657, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.95 W
2026/05/31 02:10:50.657, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 117.39 W
2026/05/31 02:10:50.658, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.26 W
