timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/31 13:38:30.973, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.18 W
2026/05/31 13:38:30.977, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.50 W
2026/05/31 13:38:30.980, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 82.97 W
2026/05/31 13:38:30.983, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.55 W
2026/05/31 13:39:00.986, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.89 W
2026/05/31 13:39:00.987, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.49 W
2026/05/31 13:39:00.987, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.99 W
2026/05/31 13:39:00.987, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.57 W
2026/05/31 13:39:30.987, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.89 W
2026/05/31 13:39:30.988, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.47 W
2026/05/31 13:39:30.988, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.97 W
2026/05/31 13:39:30.988, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.58 W
2026/05/31 13:40:00.989, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.89 W
2026/05/31 13:40:00.989, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.50 W
2026/05/31 13:40:00.989, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.98 W
2026/05/31 13:40:00.989, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.53 W
2026/05/31 13:40:30.990, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.92 W
2026/05/31 13:40:30.990, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.51 W
2026/05/31 13:40:30.990, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.99 W
2026/05/31 13:40:30.990, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.47 W
2026/05/31 13:41:00.991, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.88 W
2026/05/31 13:41:00.991, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.54 W
2026/05/31 13:41:00.991, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 82.99 W
2026/05/31 13:41:00.991, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.58 W
2026/05/31 13:41:30.991, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.91 W
2026/05/31 13:41:30.992, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.50 W
2026/05/31 13:41:30.992, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.01 W
2026/05/31 13:41:30.992, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.61 W
