timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/31 12:40:49.062, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.24 W
2026/05/31 12:40:49.065, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.13 W
2026/05/31 12:40:49.068, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 83.66 W
2026/05/31 12:40:49.071, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.29 W
2026/05/31 12:41:19.075, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.72 W
2026/05/31 12:41:19.075, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.96 W
2026/05/31 12:41:19.076, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.23 W
2026/05/31 12:41:19.076, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 78.03 W
2026/05/31 12:41:49.076, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.78 W
2026/05/31 12:41:49.076, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.81 W
2026/05/31 12:41:49.076, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.54 W
2026/05/31 12:41:49.077, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.88 W
2026/05/31 12:42:19.077, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.59 W
2026/05/31 12:42:19.077, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.71 W
2026/05/31 12:42:19.077, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.31 W
2026/05/31 12:42:19.078, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.80 W
2026/05/31 12:42:49.078, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.81 W
2026/05/31 12:42:49.078, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.21 W
2026/05/31 12:42:49.078, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.48 W
2026/05/31 12:42:49.079, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.30 W
2026/05/31 12:43:19.079, 0, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.85 W
2026/05/31 12:43:19.079, 1, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 116.23 W
2026/05/31 12:43:19.080, 2, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 124.60 W
2026/05/31 12:43:19.080, 3, NVIDIA H200, 0 %, 0 %, 1493 MiB, 143771 MiB, 118.28 W
2026/05/31 12:43:49.080, 0, NVIDIA H200, 64 %, 12 %, 6253 MiB, 143771 MiB, 390.59 W
2026/05/31 12:43:49.080, 1, NVIDIA H200, 62 %, 12 %, 6251 MiB, 143771 MiB, 390.54 W
2026/05/31 12:43:49.080, 2, NVIDIA H200, 58 %, 12 %, 6251 MiB, 143771 MiB, 394.48 W
2026/05/31 12:43:49.080, 3, NVIDIA H200, 73 %, 14 %, 6251 MiB, 143771 MiB, 397.78 W
2026/05/31 12:44:19.081, 0, NVIDIA H200, 57 %, 11 %, 6253 MiB, 143771 MiB, 389.18 W
2026/05/31 12:44:19.081, 1, NVIDIA H200, 52 %, 11 %, 6251 MiB, 143771 MiB, 388.27 W
2026/05/31 12:44:19.081, 2, NVIDIA H200, 55 %, 11 %, 6253 MiB, 143771 MiB, 393.69 W
2026/05/31 12:44:19.081, 3, NVIDIA H200, 63 %, 11 %, 6251 MiB, 143771 MiB, 386.14 W
2026/05/31 12:44:49.082, 0, NVIDIA H200, 61 %, 12 %, 6253 MiB, 143771 MiB, 388.95 W
2026/05/31 12:44:49.082, 1, NVIDIA H200, 52 %, 11 %, 6251 MiB, 143771 MiB, 389.64 W
2026/05/31 12:44:49.082, 2, NVIDIA H200, 53 %, 11 %, 6253 MiB, 143771 MiB, 396.35 W
2026/05/31 12:44:49.083, 3, NVIDIA H200, 58 %, 11 %, 6253 MiB, 143771 MiB, 388.81 W
2026/05/31 12:45:19.083, 0, NVIDIA H200, 60 %, 11 %, 6253 MiB, 143771 MiB, 390.50 W
2026/05/31 12:45:19.083, 1, NVIDIA H200, 61 %, 12 %, 6251 MiB, 143771 MiB, 382.69 W
2026/05/31 12:45:19.083, 2, NVIDIA H200, 61 %, 12 %, 6253 MiB, 143771 MiB, 396.23 W
2026/05/31 12:45:19.084, 3, NVIDIA H200, 69 %, 14 %, 6253 MiB, 143771 MiB, 386.81 W
2026/05/31 12:45:49.084, 0, NVIDIA H200, 60 %, 11 %, 6253 MiB, 143771 MiB, 391.25 W
2026/05/31 12:45:49.084, 1, NVIDIA H200, 55 %, 11 %, 6253 MiB, 143771 MiB, 385.18 W
2026/05/31 12:45:49.084, 2, NVIDIA H200, 55 %, 11 %, 6253 MiB, 143771 MiB, 399.85 W
2026/05/31 12:45:49.085, 3, NVIDIA H200, 58 %, 11 %, 6253 MiB, 143771 MiB, 387.65 W
2026/05/31 12:46:19.085, 0, NVIDIA H200, 62 %, 12 %, 6253 MiB, 143771 MiB, 392.67 W
2026/05/31 12:46:19.085, 1, NVIDIA H200, 60 %, 11 %, 6253 MiB, 143771 MiB, 385.75 W
2026/05/31 12:46:19.085, 2, NVIDIA H200, 63 %, 12 %, 6253 MiB, 143771 MiB, 400.89 W
2026/05/31 12:46:19.086, 3, NVIDIA H200, 71 %, 14 %, 6253 MiB, 143771 MiB, 386.11 W
2026/05/31 12:46:49.086, 0, NVIDIA H200, 68 %, 14 %, 6253 MiB, 143771 MiB, 396.90 W
2026/05/31 12:46:49.086, 1, NVIDIA H200, 71 %, 15 %, 6253 MiB, 143771 MiB, 389.14 W
