timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 15:05:36.259, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.69 W
2026/05/29 15:05:36.264, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.88 W
2026/05/29 15:05:36.267, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.62 W
2026/05/29 15:05:36.272, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.07 W
2026/05/29 15:06:06.277, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.68 W
2026/05/29 15:06:06.278, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.92 W
2026/05/29 15:06:06.279, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.67 W
2026/05/29 15:06:06.279, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.04 W
2026/05/29 15:06:36.279, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.36 W
2026/05/29 15:06:36.280, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.91 W
2026/05/29 15:06:36.280, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.63 W
2026/05/29 15:06:36.280, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.09 W
2026/05/29 15:07:06.280, 0, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.43 W
2026/05/29 15:07:06.281, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.87 W
2026/05/29 15:07:06.281, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.67 W
2026/05/29 15:07:06.281, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.07 W
2026/05/29 15:07:36.285, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.97 W
2026/05/29 15:07:36.285, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.04 W
2026/05/29 15:07:36.285, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.44 W
2026/05/29 15:07:36.285, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.12 W
2026/05/29 15:08:06.288, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 118.25 W
2026/05/29 15:08:06.289, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.11 W
2026/05/29 15:08:06.289, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 119.54 W
2026/05/29 15:08:06.289, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.37 W
2026/05/29 15:08:36.292, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 118.38 W
2026/05/29 15:08:36.292, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.17 W
2026/05/29 15:08:36.292, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 119.61 W
2026/05/29 15:08:36.292, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.43 W
2026/05/29 15:09:06.296, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 118.45 W
2026/05/29 15:09:06.297, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.23 W
2026/05/29 15:09:06.297, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 119.62 W
2026/05/29 15:09:06.297, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.49 W
2026/05/29 15:09:36.299, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 118.44 W
2026/05/29 15:09:36.300, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.21 W
2026/05/29 15:09:36.300, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 119.60 W
2026/05/29 15:09:36.300, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.55 W
2026/05/29 15:10:06.302, 0, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 118.47 W
2026/05/29 15:10:06.303, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.19 W
2026/05/29 15:10:06.303, 2, NVIDIA H200, 0 %, 0 %, 723 MiB, 143771 MiB, 119.57 W
2026/05/29 15:10:06.303, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.54 W
