timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/30 22:13:24.750, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.37 W
2026/05/30 22:13:24.755, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.41 W
2026/05/30 22:13:24.758, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.30 W
2026/05/30 22:13:24.761, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.57 W
2026/05/30 22:13:54.764, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.17 W
2026/05/30 22:13:54.764, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.13 W
2026/05/30 22:13:54.765, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.03 W
2026/05/30 22:13:54.765, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.79 W
2026/05/30 22:14:24.765, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.34 W
2026/05/30 22:14:24.765, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.21 W
2026/05/30 22:14:24.766, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.21 W
2026/05/30 22:14:24.766, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.24 W
2026/05/30 22:14:54.766, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.37 W
2026/05/30 22:14:54.767, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.22 W
2026/05/30 22:14:54.767, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.11 W
2026/05/30 22:14:54.767, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.94 W
2026/05/30 22:15:24.767, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.40 W
2026/05/30 22:15:24.768, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.25 W
2026/05/30 22:15:24.768, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.18 W
2026/05/30 22:15:24.768, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.96 W
2026/05/30 22:15:54.768, 0, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 117.39 W
2026/05/30 22:15:54.769, 1, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 114.21 W
2026/05/30 22:15:54.769, 2, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.07 W
2026/05/30 22:15:54.769, 3, NVIDIA H200, 0 %, 0 %, 529 MiB, 143771 MiB, 116.87 W
2026/05/30 22:16:24.769, 0, NVIDIA H200, 100 %, 0 %, 3941 MiB, 143771 MiB, 119.45 W
2026/05/30 22:16:24.769, 1, NVIDIA H200, 0 %, 0 %, 1579 MiB, 143771 MiB, 114.81 W
2026/05/30 22:16:24.770, 2, NVIDIA H200, 0 %, 0 %, 1579 MiB, 143771 MiB, 116.93 W
2026/05/30 22:16:24.770, 3, NVIDIA H200, 0 %, 0 %, 1579 MiB, 143771 MiB, 117.54 W
2026/05/30 22:16:54.770, 0, NVIDIA H200, 49 %, 9 %, 3961 MiB, 143771 MiB, 288.68 W
2026/05/30 22:16:54.770, 1, NVIDIA H200, 57 %, 8 %, 4603 MiB, 143771 MiB, 290.66 W
2026/05/30 22:16:54.771, 2, NVIDIA H200, 49 %, 8 %, 4603 MiB, 143771 MiB, 285.90 W
2026/05/30 22:16:54.771, 3, NVIDIA H200, 46 %, 8 %, 4603 MiB, 143771 MiB, 289.36 W
2026/05/30 22:17:24.771, 0, NVIDIA H200, 48 %, 9 %, 3961 MiB, 143771 MiB, 302.89 W
2026/05/30 22:17:24.771, 1, NVIDIA H200, 41 %, 6 %, 4603 MiB, 143771 MiB, 284.57 W
2026/05/30 22:17:24.772, 2, NVIDIA H200, 40 %, 6 %, 4603 MiB, 143771 MiB, 288.48 W
2026/05/30 22:17:24.772, 3, NVIDIA H200, 50 %, 8 %, 4603 MiB, 143771 MiB, 296.57 W
2026/05/30 22:17:54.772, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 163.64 W
2026/05/30 22:17:54.773, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.79 W
2026/05/30 22:17:54.773, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.75 W
2026/05/30 22:17:54.773, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.21 W
2026/05/30 22:18:24.773, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 118.40 W
2026/05/30 22:18:24.774, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.44 W
2026/05/30 22:18:24.774, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.49 W
2026/05/30 22:18:24.774, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.60 W
2026/05/30 22:18:54.774, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 117.48 W
2026/05/30 22:18:54.775, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.39 W
2026/05/30 22:18:54.775, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.39 W
2026/05/30 22:18:54.775, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.36 W
2026/05/30 22:19:24.775, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 202.47 W
2026/05/30 22:19:24.776, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.33 W
2026/05/30 22:19:24.776, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.38 W
2026/05/30 22:19:24.776, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.26 W
2026/05/30 22:19:54.776, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 202.62 W
2026/05/30 22:19:54.777, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.36 W
2026/05/30 22:19:54.777, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.27 W
2026/05/30 22:19:54.777, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.26 W
2026/05/30 22:20:24.777, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 183.72 W
2026/05/30 22:20:24.778, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.33 W
2026/05/30 22:20:24.778, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.25 W
2026/05/30 22:20:24.778, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.13 W
2026/05/30 22:20:54.778, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 117.78 W
2026/05/30 22:20:54.779, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.32 W
2026/05/30 22:20:54.779, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.34 W
2026/05/30 22:20:54.779, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.16 W
2026/05/30 22:21:24.779, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 117.64 W
2026/05/30 22:21:24.780, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.28 W
2026/05/30 22:21:24.780, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.23 W
2026/05/30 22:21:24.780, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.18 W
2026/05/30 22:21:54.780, 0, NVIDIA H200, 25 %, 6 %, 4797 MiB, 143771 MiB, 129.52 W
2026/05/30 22:21:54.781, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.28 W
2026/05/30 22:21:54.781, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.33 W
2026/05/30 22:21:54.781, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.12 W
2026/05/30 22:22:24.781, 0, NVIDIA H200, 50 %, 12 %, 4797 MiB, 143771 MiB, 201.69 W
2026/05/30 22:22:24.782, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.26 W
2026/05/30 22:22:24.782, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.22 W
2026/05/30 22:22:24.782, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.16 W
2026/05/30 22:22:54.783, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 204.98 W
2026/05/30 22:22:54.783, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.27 W
2026/05/30 22:22:54.783, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.24 W
2026/05/30 22:22:54.783, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.10 W
2026/05/30 22:23:24.784, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 191.42 W
2026/05/30 22:23:24.784, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.28 W
2026/05/30 22:23:24.784, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.35 W
2026/05/30 22:23:24.784, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.07 W
2026/05/30 22:23:54.785, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 121.65 W
2026/05/30 22:23:54.785, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.32 W
2026/05/30 22:23:54.785, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.23 W
2026/05/30 22:23:54.785, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.13 W
2026/05/30 22:24:24.786, 0, NVIDIA H200, 0 %, 0 %, 4797 MiB, 143771 MiB, 117.37 W
2026/05/30 22:24:24.786, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.30 W
2026/05/30 22:24:24.786, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.24 W
