timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 04:15:15.885, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/29 04:15:25.890, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 128.10 W
2026/05/29 04:15:35.891, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 128.40 W
2026/05/29 04:15:45.892, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 128.49 W
2026/05/29 04:15:55.893, 0, NVIDIA H200, 20 %, 6 %, 2767 MiB, 143771 MiB, 198.93 W
2026/05/29 04:16:05.894, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 224.00 W
2026/05/29 04:16:15.896, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 129.03 W
2026/05/29 04:16:25.897, 0, NVIDIA H200, 17 %, 5 %, 2789 MiB, 143771 MiB, 176.54 W
2026/05/29 04:16:35.898, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 163.60 W
2026/05/29 04:16:45.899, 0, NVIDIA H200, 6 %, 2 %, 2789 MiB, 143771 MiB, 166.07 W
2026/05/29 04:16:55.900, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 136.07 W
2026/05/29 04:17:05.901, 0, NVIDIA H200, 51 %, 12 %, 2789 MiB, 143771 MiB, 211.48 W
2026/05/29 04:17:15.903, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 126.59 W
2026/05/29 04:17:25.904, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.79 W
2026/05/29 04:17:35.905, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.49 W
2026/05/29 04:17:45.906, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.84 W
2026/05/29 04:17:55.908, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.75 W
2026/05/29 04:18:05.909, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.49 W
2026/05/29 04:18:15.910, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.35 W
2026/05/29 04:18:25.911, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.27 W
2026/05/29 04:18:35.912, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.14 W
2026/05/29 04:18:45.913, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.07 W
2026/05/29 04:18:55.914, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.92 W
2026/05/29 04:19:05.915, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.90 W
2026/05/29 04:19:15.917, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.88 W
2026/05/29 04:19:25.918, 0, NVIDIA H200, 48 %, 12 %, 2789 MiB, 143771 MiB, 165.04 W
2026/05/29 04:19:35.919, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 129.02 W
2026/05/29 04:19:45.920, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 216.57 W
2026/05/29 04:19:55.921, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.40 W
2026/05/29 04:20:05.923, 0, NVIDIA H200, 25 %, 6 %, 2789 MiB, 143771 MiB, 213.29 W
2026/05/29 04:20:15.924, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.45 W
2026/05/29 04:20:25.925, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 217.46 W
2026/05/29 04:20:35.926, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.24 W
2026/05/29 04:20:45.927, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 218.63 W
2026/05/29 04:20:55.929, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.27 W
2026/05/29 04:21:05.930, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 190.72 W
2026/05/29 04:21:15.931, 0, NVIDIA H200, 6 %, 2 %, 2789 MiB, 143771 MiB, 150.19 W
2026/05/29 04:21:25.932, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 145.48 W
2026/05/29 04:21:35.933, 0, NVIDIA H200, 49 %, 12 %, 2789 MiB, 143771 MiB, 200.43 W
2026/05/29 04:21:45.934, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.01 W
2026/05/29 04:21:55.935, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 223.06 W
2026/05/29 04:22:05.937, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.50 W
2026/05/29 04:22:15.938, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.09 W
2026/05/29 04:22:25.939, 0, NVIDIA H200, 51 %, 12 %, 2789 MiB, 143771 MiB, 212.61 W
2026/05/29 04:22:35.940, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.97 W
2026/05/29 04:22:45.941, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 218.34 W
2026/05/29 04:22:55.942, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 123.71 W
2026/05/29 04:23:05.943, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 220.59 W
2026/05/29 04:23:15.945, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.31 W
2026/05/29 04:23:25.946, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 222.76 W
2026/05/29 04:23:35.947, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.28 W
2026/05/29 04:23:45.948, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 216.25 W
2026/05/29 04:23:55.949, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.37 W
2026/05/29 04:24:05.950, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 208.47 W
2026/05/29 04:24:15.951, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.35 W
2026/05/29 04:24:25.953, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 186.63 W
2026/05/29 04:24:35.954, 0, NVIDIA H200, 24 %, 6 %, 2789 MiB, 143771 MiB, 148.72 W
2026/05/29 04:24:45.955, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 161.60 W
2026/05/29 04:24:55.956, 0, NVIDIA H200, 22 %, 6 %, 2789 MiB, 143771 MiB, 150.72 W
2026/05/29 04:25:05.957, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 124.15 W
