timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 04:00:54.367, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.47 W
2026/05/29 04:01:04.372, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 119.87 W
2026/05/29 04:01:14.373, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 124.02 W
2026/05/29 04:01:24.416, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 123.93 W
2026/05/29 04:01:34.417, 0, NVIDIA H200, 18 %, 5 %, 2705 MiB, 143771 MiB, 179.94 W
2026/05/29 04:01:44.418, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 212.03 W
2026/05/29 04:01:54.419, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.71 W
2026/05/29 04:02:04.420, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 210.01 W
2026/05/29 04:02:14.422, 0, NVIDIA H200, 4 %, 1 %, 2789 MiB, 143771 MiB, 126.27 W
2026/05/29 04:02:24.423, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 158.55 W
2026/05/29 04:02:34.424, 0, NVIDIA H200, 49 %, 12 %, 2789 MiB, 143771 MiB, 151.40 W
2026/05/29 04:02:44.425, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.82 W
2026/05/29 04:02:54.426, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.39 W
2026/05/29 04:03:04.427, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.21 W
2026/05/29 04:03:14.428, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.04 W
2026/05/29 04:03:24.429, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.90 W
2026/05/29 04:03:34.431, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.85 W
2026/05/29 04:03:44.432, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.69 W
2026/05/29 04:03:54.433, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.66 W
2026/05/29 04:04:04.434, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.05 W
2026/05/29 04:04:14.435, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.04 W
2026/05/29 04:04:24.436, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.04 W
2026/05/29 04:04:34.437, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 117.99 W
2026/05/29 04:04:44.439, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 117.98 W
2026/05/29 04:04:54.440, 0, NVIDIA H200, 52 %, 12 %, 2789 MiB, 143771 MiB, 162.85 W
2026/05/29 04:05:04.441, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.44 W
2026/05/29 04:05:14.442, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 208.38 W
2026/05/29 04:05:24.443, 0, NVIDIA H200, 13 %, 3 %, 2789 MiB, 143771 MiB, 137.79 W
2026/05/29 04:05:34.444, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.24 W
2026/05/29 04:05:44.445, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 207.50 W
2026/05/29 04:05:54.447, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.10 W
2026/05/29 04:06:04.448, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 165.71 W
2026/05/29 04:06:14.449, 0, NVIDIA H200, 55 %, 13 %, 2789 MiB, 143771 MiB, 208.20 W
2026/05/29 04:06:24.450, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.16 W
2026/05/29 04:06:34.451, 0, NVIDIA H200, 47 %, 12 %, 2789 MiB, 143771 MiB, 208.36 W
2026/05/29 04:06:44.452, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.12 W
2026/05/29 04:06:54.454, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 194.22 W
2026/05/29 04:07:04.455, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 164.61 W
2026/05/29 04:07:14.456, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.68 W
2026/05/29 04:07:24.457, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 211.89 W
2026/05/29 04:07:34.458, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.12 W
2026/05/29 04:07:44.459, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.06 W
2026/05/29 04:07:54.460, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 182.78 W
2026/05/29 04:08:04.461, 0, NVIDIA H200, 52 %, 12 %, 2789 MiB, 143771 MiB, 140.68 W
2026/05/29 04:08:14.463, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 137.63 W
2026/05/29 04:08:24.464, 0, NVIDIA H200, 37 %, 9 %, 2789 MiB, 143771 MiB, 209.35 W
2026/05/29 04:08:34.465, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.10 W
2026/05/29 04:08:44.466, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 213.74 W
2026/05/29 04:08:54.467, 0, NVIDIA H200, 9 %, 2 %, 2789 MiB, 143771 MiB, 123.51 W
2026/05/29 04:09:04.468, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 140.04 W
2026/05/29 04:09:14.469, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 192.88 W
2026/05/29 04:09:24.471, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.08 W
2026/05/29 04:09:34.472, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 210.61 W
2026/05/29 04:09:44.473, 0, NVIDIA H200, 6 %, 2 %, 2789 MiB, 143771 MiB, 129.01 W
2026/05/29 04:09:54.474, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 137.83 W
2026/05/29 04:10:04.475, 0, NVIDIA H200, 50 %, 12 %, 2789 MiB, 143771 MiB, 211.45 W
2026/05/29 04:10:14.476, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 119.14 W
2026/05/29 04:10:24.478, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 211.44 W
2026/05/29 04:10:34.479, 0, NVIDIA H200, 0 %, 0 %, 2789 MiB, 143771 MiB, 118.94 W
