timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 02:42:30.824, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.77 W
2026/05/29 02:43:00.828, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.61 W
2026/05/29 02:43:30.830, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.48 W
2026/05/29 02:44:00.831, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.37 W
2026/05/29 02:44:30.832, 0, NVIDIA H200, 0 %, 0 %, 615 MiB, 143771 MiB, 119.74 W
2026/05/29 02:45:00.833, 0, NVIDIA H200, 18 %, 4 %, 3067 MiB, 143771 MiB, 175.92 W
2026/05/29 02:45:30.834, 0, NVIDIA H200, 26 %, 6 %, 3067 MiB, 143771 MiB, 181.19 W
2026/05/29 02:46:00.851, 0, NVIDIA H200, 27 %, 7 %, 3067 MiB, 143771 MiB, 177.56 W
2026/05/29 02:46:30.852, 0, NVIDIA H200, 14 %, 3 %, 3067 MiB, 143771 MiB, 183.68 W
2026/05/29 02:47:00.853, 0, NVIDIA H200, 27 %, 7 %, 3067 MiB, 143771 MiB, 183.01 W
2026/05/29 02:47:30.862, 0, NVIDIA H200, 27 %, 7 %, 3067 MiB, 143771 MiB, 199.63 W
2026/05/29 02:48:00.862, 0, NVIDIA H200, 28 %, 7 %, 3067 MiB, 143771 MiB, 189.51 W
2026/05/29 02:48:30.863, 0, NVIDIA H200, 14 %, 3 %, 3067 MiB, 143771 MiB, 183.90 W
2026/05/29 02:49:00.863, 0, NVIDIA H200, 18 %, 4 %, 3067 MiB, 143771 MiB, 188.04 W
2026/05/29 02:49:30.864, 0, NVIDIA H200, 14 %, 3 %, 3067 MiB, 143771 MiB, 185.38 W
2026/05/29 02:50:00.865, 0, NVIDIA H200, 54 %, 12 %, 4291 MiB, 143771 MiB, 209.10 W
2026/05/29 02:50:30.865, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 233.01 W
2026/05/29 02:51:00.867, 0, NVIDIA H200, 37 %, 8 %, 4293 MiB, 143771 MiB, 255.91 W
2026/05/29 02:51:30.867, 0, NVIDIA H200, 40 %, 9 %, 4293 MiB, 143771 MiB, 266.59 W
2026/05/29 02:52:00.868, 0, NVIDIA H200, 41 %, 9 %, 4293 MiB, 143771 MiB, 246.65 W
