timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 05:30:20.058, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 82.14 W
2026/05/29 05:30:50.062, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 82.03 W
2026/05/29 05:31:20.063, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 81.71 W
2026/05/29 05:31:50.063, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 81.41 W
2026/05/29 05:32:20.065, 0, NVIDIA H200, 26 %, 6 %, 3067 MiB, 143771 MiB, 192.87 W
2026/05/29 05:32:50.065, 0, NVIDIA H200, 16 %, 4 %, 3067 MiB, 143771 MiB, 183.16 W
2026/05/29 05:33:20.066, 0, NVIDIA H200, 21 %, 5 %, 3067 MiB, 143771 MiB, 184.72 W
2026/05/29 05:33:50.067, 0, NVIDIA H200, 14 %, 3 %, 3067 MiB, 143771 MiB, 194.38 W
2026/05/29 05:34:20.067, 0, NVIDIA H200, 19 %, 5 %, 3067 MiB, 143771 MiB, 192.97 W
2026/05/29 05:34:50.068, 0, NVIDIA H200, 22 %, 5 %, 3067 MiB, 143771 MiB, 193.83 W
2026/05/29 05:35:20.069, 0, NVIDIA H200, 28 %, 7 %, 3067 MiB, 143771 MiB, 195.16 W
2026/05/29 05:35:50.069, 0, NVIDIA H200, 31 %, 7 %, 3067 MiB, 143771 MiB, 193.72 W
2026/05/29 05:36:20.070, 0, NVIDIA H200, 22 %, 5 %, 3067 MiB, 143771 MiB, 192.48 W
2026/05/29 05:36:50.071, 0, NVIDIA H200, 23 %, 6 %, 3067 MiB, 143771 MiB, 184.17 W
2026/05/29 05:37:20.071, 0, NVIDIA H200, 26 %, 6 %, 3067 MiB, 143771 MiB, 192.03 W
2026/05/29 05:37:50.072, 0, NVIDIA H200, 38 %, 8 %, 4293 MiB, 143771 MiB, 238.93 W
