timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 04:40:46.982, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.47 W
2026/05/29 04:41:16.987, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.41 W
2026/05/29 04:41:46.988, 0, NVIDIA H200, 27 %, 7 %, 3067 MiB, 143771 MiB, 196.46 W
2026/05/29 04:42:16.989, 0, NVIDIA H200, 22 %, 6 %, 3067 MiB, 143771 MiB, 186.08 W
2026/05/29 04:42:46.990, 0, NVIDIA H200, 20 %, 5 %, 3067 MiB, 143771 MiB, 195.55 W
2026/05/29 04:43:16.990, 0, NVIDIA H200, 21 %, 5 %, 3067 MiB, 143771 MiB, 196.24 W
2026/05/29 04:43:46.991, 0, NVIDIA H200, 15 %, 4 %, 3067 MiB, 143771 MiB, 182.52 W
2026/05/29 04:44:16.992, 0, NVIDIA H200, 22 %, 5 %, 3067 MiB, 143771 MiB, 182.59 W
2026/05/29 04:44:47.046, 0, NVIDIA H200, 23 %, 5 %, 3067 MiB, 143771 MiB, 192.99 W
2026/05/29 04:45:17.047, 0, NVIDIA H200, 18 %, 4 %, 3067 MiB, 143771 MiB, 183.07 W
2026/05/29 04:45:47.048, 0, NVIDIA H200, 25 %, 6 %, 3067 MiB, 143771 MiB, 197.03 W
2026/05/29 04:46:17.049, 0, NVIDIA H200, 20 %, 5 %, 3067 MiB, 143771 MiB, 196.51 W
2026/05/29 04:46:47.049, 0, NVIDIA H200, 38 %, 8 %, 4323 MiB, 143771 MiB, 248.35 W
2026/05/29 04:47:17.050, 0, NVIDIA H200, 38 %, 8 %, 4325 MiB, 143771 MiB, 268.29 W
2026/05/29 04:47:47.051, 0, NVIDIA H200, 38 %, 8 %, 4325 MiB, 143771 MiB, 256.68 W
2026/05/29 04:48:17.051, 0, NVIDIA H200, 38 %, 8 %, 4325 MiB, 143771 MiB, 256.30 W
2026/05/29 04:48:47.052, 0, NVIDIA H200, 39 %, 8 %, 4325 MiB, 143771 MiB, 265.26 W
2026/05/29 04:49:17.053, 0, NVIDIA H200, 32 %, 7 %, 4325 MiB, 143771 MiB, 260.03 W
2026/05/29 04:49:47.054, 0, NVIDIA H200, 40 %, 8 %, 4325 MiB, 143771 MiB, 262.41 W
2026/05/29 04:50:17.055, 0, NVIDIA H200, 42 %, 9 %, 4325 MiB, 143771 MiB, 243.85 W
2026/05/29 04:50:47.056, 0, NVIDIA H200, 37 %, 8 %, 4327 MiB, 143771 MiB, 261.58 W
2026/05/29 04:51:17.056, 0, NVIDIA H200, 37 %, 8 %, 4327 MiB, 143771 MiB, 248.14 W
2026/05/29 04:51:47.057, 0, NVIDIA H200, 39 %, 9 %, 4327 MiB, 143771 MiB, 258.74 W
2026/05/29 04:52:17.058, 0, NVIDIA H200, 38 %, 8 %, 4327 MiB, 143771 MiB, 261.00 W
2026/05/29 04:52:47.059, 0, NVIDIA H200, 44 %, 10 %, 4327 MiB, 143771 MiB, 258.87 W
2026/05/29 04:53:17.060, 0, NVIDIA H200, 41 %, 9 %, 4327 MiB, 143771 MiB, 268.62 W
2026/05/29 04:53:47.060, 0, NVIDIA H200, 46 %, 10 %, 4327 MiB, 143771 MiB, 264.10 W
2026/05/29 04:54:17.061, 0, NVIDIA H200, 30 %, 6 %, 4327 MiB, 143771 MiB, 246.25 W
2026/05/29 04:54:47.062, 0, NVIDIA H200, 39 %, 8 %, 4327 MiB, 143771 MiB, 262.54 W
2026/05/29 04:55:17.063, 0, NVIDIA H200, 39 %, 8 %, 4327 MiB, 143771 MiB, 251.86 W
2026/05/29 04:55:47.064, 0, NVIDIA H200, 37 %, 8 %, 4327 MiB, 143771 MiB, 253.08 W
2026/05/29 04:56:17.065, 0, NVIDIA H200, 38 %, 8 %, 4327 MiB, 143771 MiB, 252.10 W
2026/05/29 04:56:47.065, 0, NVIDIA H200, 43 %, 9 %, 4327 MiB, 143771 MiB, 253.73 W
2026/05/29 04:57:17.066, 0, NVIDIA H200, 38 %, 8 %, 4327 MiB, 143771 MiB, 254.78 W
2026/05/29 04:57:47.067, 0, NVIDIA H200, 49 %, 10 %, 4327 MiB, 143771 MiB, 247.59 W
2026/05/29 04:58:17.068, 0, NVIDIA H200, 37 %, 8 %, 4327 MiB, 143771 MiB, 239.60 W
2026/05/29 04:58:47.069, 0, NVIDIA H200, 43 %, 9 %, 4327 MiB, 143771 MiB, 264.05 W
2026/05/29 04:59:17.070, 0, NVIDIA H200, 37 %, 8 %, 4327 MiB, 143771 MiB, 255.70 W
2026/05/29 04:59:47.070, 0, NVIDIA H200, 44 %, 10 %, 4327 MiB, 143771 MiB, 240.53 W
2026/05/29 05:00:17.071, 0, NVIDIA H200, 45 %, 10 %, 4327 MiB, 143771 MiB, 257.15 W
2026/05/29 05:00:47.072, 0, NVIDIA H200, 25 %, 5 %, 4327 MiB, 143771 MiB, 249.07 W
2026/05/29 05:01:17.073, 0, NVIDIA H200, 33 %, 7 %, 4327 MiB, 143771 MiB, 256.52 W
2026/05/29 05:01:47.074, 0, NVIDIA H200, 40 %, 9 %, 4327 MiB, 143771 MiB, 255.63 W
2026/05/29 05:02:17.075, 0, NVIDIA H200, 38 %, 8 %, 4327 MiB, 143771 MiB, 242.33 W
2026/05/29 05:02:47.075, 0, NVIDIA H200, 0 %, 0 %, 5771 MiB, 143771 MiB, 166.20 W
2026/05/29 05:03:17.076, 0, NVIDIA H200, 0 %, 0 %, 5771 MiB, 143771 MiB, 118.52 W
