timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 00:40:18.902, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 74.89 W
2026/05/29 00:40:48.907, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 74.86 W
2026/05/29 00:41:18.909, 0, NVIDIA H200, 10 %, 3 %, 5229 MiB, 143771 MiB, 181.46 W
2026/05/29 00:41:48.909, 0, NVIDIA H200, 26 %, 7 %, 5229 MiB, 143771 MiB, 188.34 W
2026/05/29 00:42:18.910, 0, NVIDIA H200, 16 %, 4 %, 5229 MiB, 143771 MiB, 185.35 W
2026/05/29 00:42:48.910, 0, NVIDIA H200, 27 %, 7 %, 5229 MiB, 143771 MiB, 185.44 W
2026/05/29 00:43:18.911, 0, NVIDIA H200, 26 %, 7 %, 5229 MiB, 143771 MiB, 190.26 W
2026/05/29 00:43:48.943, 0, NVIDIA H200, 45 %, 10 %, 7659 MiB, 143771 MiB, 247.87 W
2026/05/29 00:44:18.944, 0, NVIDIA H200, 18 %, 5 %, 7659 MiB, 143771 MiB, 244.44 W
2026/05/29 00:44:48.945, 0, NVIDIA H200, 54 %, 13 %, 7659 MiB, 143771 MiB, 238.04 W
2026/05/29 00:45:18.946, 0, NVIDIA H200, 60 %, 14 %, 7659 MiB, 143771 MiB, 247.21 W
2026/05/29 00:45:48.946, 0, NVIDIA H200, 16 %, 4 %, 7659 MiB, 143771 MiB, 247.90 W
2026/05/29 00:46:18.947, 0, NVIDIA H200, 16 %, 5 %, 7659 MiB, 143771 MiB, 249.97 W
2026/05/29 00:46:48.948, 0, NVIDIA H200, 53 %, 13 %, 7659 MiB, 143771 MiB, 245.29 W
2026/05/29 00:47:18.949, 0, NVIDIA H200, 52 %, 12 %, 7659 MiB, 143771 MiB, 241.91 W
2026/05/29 00:47:48.950, 0, NVIDIA H200, 60 %, 14 %, 7659 MiB, 143771 MiB, 247.71 W
2026/05/29 00:48:18.951, 0, NVIDIA H200, 24 %, 6 %, 7659 MiB, 143771 MiB, 247.46 W
2026/05/29 00:48:48.951, 0, NVIDIA H200, 15 %, 4 %, 7659 MiB, 143771 MiB, 254.85 W
2026/05/29 00:49:18.953, 0, NVIDIA H200, 16 %, 5 %, 7659 MiB, 143771 MiB, 241.86 W
2026/05/29 00:49:48.954, 0, NVIDIA H200, 7 %, 2 %, 7659 MiB, 143771 MiB, 248.95 W
2026/05/29 00:50:18.961, 0, NVIDIA H200, 15 %, 5 %, 7659 MiB, 143771 MiB, 225.72 W
2026/05/29 00:50:48.962, 0, NVIDIA H200, 61 %, 15 %, 7659 MiB, 143771 MiB, 239.07 W
2026/05/29 00:51:18.963, 0, NVIDIA H200, 16 %, 5 %, 7659 MiB, 143771 MiB, 256.13 W
2026/05/29 00:51:48.964, 0, NVIDIA H200, 59 %, 14 %, 7659 MiB, 143771 MiB, 249.58 W
2026/05/29 00:52:18.965, 0, NVIDIA H200, 60 %, 14 %, 7659 MiB, 143771 MiB, 247.69 W
2026/05/29 00:52:48.965, 0, NVIDIA H200, 19 %, 5 %, 7659 MiB, 143771 MiB, 249.99 W
2026/05/29 00:53:18.966, 0, NVIDIA H200, 46 %, 10 %, 7659 MiB, 143771 MiB, 258.42 W
2026/05/29 00:53:48.967, 0, NVIDIA H200, 47 %, 10 %, 7659 MiB, 143771 MiB, 259.18 W
2026/05/29 00:54:18.967, 0, NVIDIA H200, 15 %, 4 %, 7659 MiB, 143771 MiB, 257.33 W
2026/05/29 00:54:48.969, 0, NVIDIA H200, 45 %, 10 %, 7661 MiB, 143771 MiB, 247.24 W
2026/05/29 00:55:18.969, 0, NVIDIA H200, 7 %, 2 %, 7661 MiB, 143771 MiB, 248.92 W
2026/05/29 00:55:48.970, 0, NVIDIA H200, 16 %, 5 %, 7661 MiB, 143771 MiB, 245.46 W
2026/05/29 00:56:18.970, 0, NVIDIA H200, 51 %, 12 %, 7661 MiB, 143771 MiB, 247.00 W
2026/05/29 00:56:48.972, 0, NVIDIA H200, 6 %, 2 %, 7661 MiB, 143771 MiB, 242.31 W
2026/05/29 00:57:18.972, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 143.21 W
2026/05/29 00:57:48.973, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 117.19 W
2026/05/29 00:58:18.973, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 116.59 W
2026/05/29 00:58:48.974, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 116.50 W
2026/05/29 00:59:18.975, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 116.42 W
2026/05/29 00:59:48.975, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 116.41 W
2026/05/29 01:00:18.976, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 116.86 W
2026/05/29 01:00:48.977, 0, NVIDIA H200, 42 %, 11 %, 10073 MiB, 143771 MiB, 250.68 W
2026/05/29 01:01:18.977, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 117.10 W
2026/05/29 01:01:48.978, 0, NVIDIA H200, 19 %, 5 %, 10073 MiB, 143771 MiB, 144.68 W
2026/05/29 01:02:18.978, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 140.40 W
2026/05/29 01:02:48.980, 0, NVIDIA H200, 0 %, 0 %, 10073 MiB, 143771 MiB, 116.95 W
