timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/26 01:19:01.825, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.83 W
2026/05/26 01:19:01.833, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.43 W
2026/05/26 01:19:01.837, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.87 W
2026/05/26 01:19:01.841, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.58 W
2026/05/26 01:19:31.845, 0, NVIDIA H200, 64 %, 11 %, 7535 MiB, 143771 MiB, 388.53 W
2026/05/26 01:19:31.845, 1, NVIDIA H200, 61 %, 11 %, 7535 MiB, 143771 MiB, 378.67 W
2026/05/26 01:19:31.845, 2, NVIDIA H200, 77 %, 12 %, 7535 MiB, 143771 MiB, 379.18 W
2026/05/26 01:19:31.845, 3, NVIDIA H200, 73 %, 12 %, 7545 MiB, 143771 MiB, 378.29 W
2026/05/26 01:20:01.846, 0, NVIDIA H200, 59 %, 10 %, 7545 MiB, 143771 MiB, 408.05 W
2026/05/26 01:20:01.846, 1, NVIDIA H200, 59 %, 9 %, 7535 MiB, 143771 MiB, 386.73 W
2026/05/26 01:20:01.846, 2, NVIDIA H200, 67 %, 11 %, 7545 MiB, 143771 MiB, 391.55 W
2026/05/26 01:20:01.846, 3, NVIDIA H200, 81 %, 12 %, 7547 MiB, 143771 MiB, 393.50 W
2026/05/26 01:20:31.847, 0, NVIDIA H200, 75 %, 12 %, 7545 MiB, 143771 MiB, 404.78 W
2026/05/26 01:20:31.847, 1, NVIDIA H200, 61 %, 9 %, 7537 MiB, 143771 MiB, 391.23 W
2026/05/26 01:20:31.847, 2, NVIDIA H200, 60 %, 9 %, 7545 MiB, 143771 MiB, 402.25 W
2026/05/26 01:20:31.847, 3, NVIDIA H200, 58 %, 11 %, 7547 MiB, 143771 MiB, 389.18 W
2026/05/26 01:21:01.847, 0, NVIDIA H200, 86 %, 13 %, 7545 MiB, 143771 MiB, 454.81 W
2026/05/26 01:21:01.848, 1, NVIDIA H200, 81 %, 12 %, 7543 MiB, 143771 MiB, 444.62 W
2026/05/26 01:21:01.848, 2, NVIDIA H200, 71 %, 13 %, 7547 MiB, 143771 MiB, 449.92 W
2026/05/26 01:21:01.848, 3, NVIDIA H200, 89 %, 14 %, 7547 MiB, 143771 MiB, 441.79 W
2026/05/26 01:21:31.848, 0, NVIDIA H200, 88 %, 15 %, 7545 MiB, 143771 MiB, 474.71 W
2026/05/26 01:21:31.849, 1, NVIDIA H200, 84 %, 14 %, 7543 MiB, 143771 MiB, 448.11 W
2026/05/26 01:21:31.849, 2, NVIDIA H200, 81 %, 15 %, 7547 MiB, 143771 MiB, 461.96 W
2026/05/26 01:21:31.849, 3, NVIDIA H200, 79 %, 15 %, 7547 MiB, 143771 MiB, 449.95 W
2026/05/26 01:22:01.849, 0, NVIDIA H200, 74 %, 13 %, 7545 MiB, 143771 MiB, 469.21 W
2026/05/26 01:22:01.849, 1, NVIDIA H200, 84 %, 13 %, 7543 MiB, 143771 MiB, 438.46 W
2026/05/26 01:22:01.850, 2, NVIDIA H200, 85 %, 13 %, 7547 MiB, 143771 MiB, 455.48 W
2026/05/26 01:22:01.850, 3, NVIDIA H200, 82 %, 13 %, 7547 MiB, 143771 MiB, 461.55 W
2026/05/26 01:22:31.850, 0, NVIDIA H200, 70 %, 13 %, 7545 MiB, 143771 MiB, 462.29 W
2026/05/26 01:22:31.850, 1, NVIDIA H200, 87 %, 13 %, 7543 MiB, 143771 MiB, 440.65 W
2026/05/26 01:22:31.851, 2, NVIDIA H200, 88 %, 13 %, 7547 MiB, 143771 MiB, 447.69 W
2026/05/26 01:22:31.851, 3, NVIDIA H200, 85 %, 14 %, 7547 MiB, 143771 MiB, 443.63 W
2026/05/26 01:23:01.851, 0, NVIDIA H200, 92 %, 13 %, 7545 MiB, 143771 MiB, 466.88 W
2026/05/26 01:23:01.851, 1, NVIDIA H200, 77 %, 14 %, 7543 MiB, 143771 MiB, 440.60 W
2026/05/26 01:23:01.851, 2, NVIDIA H200, 83 %, 14 %, 7547 MiB, 143771 MiB, 460.50 W
2026/05/26 01:23:01.851, 3, NVIDIA H200, 73 %, 13 %, 7547 MiB, 143771 MiB, 454.30 W
2026/05/26 01:23:31.852, 0, NVIDIA H200, 82 %, 14 %, 7545 MiB, 143771 MiB, 457.50 W
2026/05/26 01:23:31.853, 1, NVIDIA H200, 89 %, 13 %, 7543 MiB, 143771 MiB, 430.81 W
2026/05/26 01:23:31.853, 2, NVIDIA H200, 83 %, 12 %, 7547 MiB, 143771 MiB, 445.70 W
2026/05/26 01:23:31.853, 3, NVIDIA H200, 72 %, 13 %, 7547 MiB, 143771 MiB, 443.71 W
2026/05/26 01:24:01.854, 0, NVIDIA H200, 83 %, 15 %, 7545 MiB, 143771 MiB, 471.54 W
2026/05/26 01:24:01.854, 1, NVIDIA H200, 85 %, 14 %, 7543 MiB, 143771 MiB, 457.44 W
2026/05/26 01:24:01.855, 2, NVIDIA H200, 82 %, 13 %, 7547 MiB, 143771 MiB, 466.30 W
2026/05/26 01:24:01.855, 3, NVIDIA H200, 81 %, 15 %, 7547 MiB, 143771 MiB, 462.88 W
2026/05/26 01:24:31.855, 0, NVIDIA H200, 82 %, 14 %, 7545 MiB, 143771 MiB, 471.01 W
2026/05/26 01:24:31.855, 1, NVIDIA H200, 89 %, 13 %, 7543 MiB, 143771 MiB, 448.94 W
2026/05/26 01:24:31.855, 2, NVIDIA H200, 80 %, 14 %, 7547 MiB, 143771 MiB, 464.58 W
2026/05/26 01:24:31.855, 3, NVIDIA H200, 80 %, 13 %, 7547 MiB, 143771 MiB, 450.74 W
2026/05/26 01:25:01.856, 0, NVIDIA H200, 69 %, 12 %, 7545 MiB, 143771 MiB, 473.05 W
2026/05/26 01:25:01.856, 1, NVIDIA H200, 84 %, 14 %, 7543 MiB, 143771 MiB, 445.88 W
2026/05/26 01:25:01.857, 2, NVIDIA H200, 89 %, 13 %, 7547 MiB, 143771 MiB, 454.20 W
2026/05/26 01:25:01.857, 3, NVIDIA H200, 78 %, 13 %, 7547 MiB, 143771 MiB, 452.12 W
2026/05/26 01:25:31.857, 0, NVIDIA H200, 81 %, 14 %, 7545 MiB, 143771 MiB, 475.82 W
2026/05/26 01:25:31.858, 1, NVIDIA H200, 83 %, 14 %, 7543 MiB, 143771 MiB, 446.91 W
2026/05/26 01:25:31.858, 2, NVIDIA H200, 82 %, 14 %, 7547 MiB, 143771 MiB, 466.73 W
2026/05/26 01:25:31.858, 3, NVIDIA H200, 83 %, 14 %, 7547 MiB, 143771 MiB, 461.34 W
2026/05/26 01:26:01.858, 0, NVIDIA H200, 82 %, 13 %, 7545 MiB, 143771 MiB, 479.41 W
2026/05/26 01:26:01.859, 1, NVIDIA H200, 83 %, 14 %, 7543 MiB, 143771 MiB, 446.73 W
2026/05/26 01:26:01.859, 2, NVIDIA H200, 79 %, 13 %, 7547 MiB, 143771 MiB, 467.26 W
2026/05/26 01:26:01.859, 3, NVIDIA H200, 81 %, 14 %, 7547 MiB, 143771 MiB, 451.78 W
2026/05/26 01:26:31.859, 0, NVIDIA H200, 89 %, 13 %, 7545 MiB, 143771 MiB, 477.73 W
2026/05/26 01:26:31.860, 1, NVIDIA H200, 82 %, 14 %, 7543 MiB, 143771 MiB, 447.25 W
2026/05/26 01:26:31.860, 2, NVIDIA H200, 84 %, 15 %, 7547 MiB, 143771 MiB, 450.87 W
2026/05/26 01:26:31.860, 3, NVIDIA H200, 77 %, 13 %, 7547 MiB, 143771 MiB, 454.26 W
2026/05/26 01:27:01.860, 0, NVIDIA H200, 86 %, 15 %, 7545 MiB, 143771 MiB, 463.26 W
2026/05/26 01:27:01.861, 1, NVIDIA H200, 82 %, 14 %, 7543 MiB, 143771 MiB, 454.06 W
2026/05/26 01:27:01.861, 2, NVIDIA H200, 81 %, 15 %, 7547 MiB, 143771 MiB, 462.36 W
2026/05/26 01:27:01.861, 3, NVIDIA H200, 80 %, 14 %, 7547 MiB, 143771 MiB, 463.26 W
2026/05/26 01:27:31.861, 0, NVIDIA H200, 87 %, 13 %, 7545 MiB, 143771 MiB, 475.48 W
2026/05/26 01:27:31.862, 1, NVIDIA H200, 72 %, 12 %, 7543 MiB, 143771 MiB, 447.74 W
2026/05/26 01:27:31.862, 2, NVIDIA H200, 80 %, 13 %, 7547 MiB, 143771 MiB, 469.15 W
2026/05/26 01:27:31.862, 3, NVIDIA H200, 84 %, 14 %, 7547 MiB, 143771 MiB, 459.09 W
2026/05/26 01:28:01.862, 0, NVIDIA H200, 84 %, 14 %, 7545 MiB, 143771 MiB, 467.85 W
2026/05/26 01:28:01.863, 1, NVIDIA H200, 86 %, 15 %, 7543 MiB, 143771 MiB, 454.67 W
2026/05/26 01:28:01.863, 2, NVIDIA H200, 82 %, 14 %, 7547 MiB, 143771 MiB, 463.31 W
2026/05/26 01:28:01.863, 3, NVIDIA H200, 91 %, 15 %, 7547 MiB, 143771 MiB, 462.79 W
2026/05/26 01:28:31.864, 0, NVIDIA H200, 86 %, 15 %, 7545 MiB, 143771 MiB, 474.07 W
2026/05/26 01:28:31.864, 1, NVIDIA H200, 82 %, 14 %, 7543 MiB, 143771 MiB, 443.02 W
2026/05/26 01:28:31.864, 2, NVIDIA H200, 91 %, 14 %, 7547 MiB, 143771 MiB, 464.52 W
2026/05/26 01:28:31.864, 3, NVIDIA H200, 85 %, 14 %, 7547 MiB, 143771 MiB, 465.98 W
2026/05/26 01:29:01.864, 0, NVIDIA H200, 46 %, 5 %, 7027 MiB, 143771 MiB, 257.96 W
2026/05/26 01:29:01.865, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.57 W
2026/05/26 01:29:01.865, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 83.42 W
2026/05/26 01:29:01.865, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.57 W
2026/05/26 01:29:31.865, 0, NVIDIA H200, 14 %, 3 %, 7027 MiB, 143771 MiB, 155.21 W
2026/05/26 01:29:31.865, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.81 W
2026/05/26 01:29:31.865, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 80.12 W
2026/05/26 01:29:31.865, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 79.27 W
2026/05/26 01:30:01.866, 0, NVIDIA H200, 0 %, 0 %, 14856 MiB, 143771 MiB, 139.60 W
2026/05/26 01:30:01.866, 1, NVIDIA H200, 0 %, 0 %, 12490 MiB, 143771 MiB, 124.42 W
2026/05/26 01:30:01.866, 2, NVIDIA H200, 0 %, 0 %, 12490 MiB, 143771 MiB, 141.82 W
2026/05/26 01:30:01.866, 3, NVIDIA H200, 0 %, 0 %, 12490 MiB, 143771 MiB, 136.68 W
2026/05/26 01:30:31.866, 0, NVIDIA H200, 0 %, 0 %, 19472 MiB, 143771 MiB, 122.24 W
2026/05/26 01:30:31.866, 1, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 117.09 W
2026/05/26 01:30:31.867, 2, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 126.31 W
2026/05/26 01:30:31.867, 3, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 126.35 W
2026/05/26 01:31:01.867, 0, NVIDIA H200, 0 %, 0 %, 19472 MiB, 143771 MiB, 121.83 W
2026/05/26 01:31:01.867, 1, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 117.01 W
2026/05/26 01:31:01.867, 2, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 121.62 W
2026/05/26 01:31:01.867, 3, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 125.30 W
2026/05/26 01:31:31.867, 0, NVIDIA H200, 0 %, 0 %, 19472 MiB, 143771 MiB, 126.78 W
2026/05/26 01:31:31.867, 1, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 116.94 W
2026/05/26 01:31:31.867, 2, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 121.33 W
2026/05/26 01:31:31.868, 3, NVIDIA H200, 0 %, 0 %, 17106 MiB, 143771 MiB, 120.75 W
2026/05/26 01:32:01.868, 0, NVIDIA H200, 0 %, 0 %, 19472 MiB, 143771 MiB, 121.33 W
