timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 12:01:35.818, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.19 W
2026/05/24 12:01:35.821, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.42 W
2026/05/24 12:01:35.824, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.25 W
2026/05/24 12:01:35.827, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.29 W
2026/05/24 12:02:05.830, 0, NVIDIA H200, 2 %, 0 %, 6175 MiB, 143771 MiB, 123.30 W
2026/05/24 12:02:05.830, 1, NVIDIA H200, 1 %, 0 %, 6175 MiB, 143771 MiB, 117.74 W
2026/05/24 12:02:05.830, 2, NVIDIA H200, 2 %, 0 %, 6175 MiB, 143771 MiB, 121.02 W
2026/05/24 12:02:05.830, 3, NVIDIA H200, 1 %, 0 %, 6175 MiB, 143771 MiB, 122.50 W
2026/05/24 12:02:35.831, 0, NVIDIA H200, 68 %, 5 %, 7769 MiB, 143771 MiB, 256.93 W
2026/05/24 12:02:35.831, 1, NVIDIA H200, 45 %, 16 %, 7769 MiB, 143771 MiB, 254.09 W
2026/05/24 12:02:35.832, 2, NVIDIA H200, 88 %, 12 %, 7769 MiB, 143771 MiB, 265.80 W
2026/05/24 12:02:35.832, 3, NVIDIA H200, 71 %, 12 %, 7775 MiB, 143771 MiB, 258.87 W
2026/05/24 12:03:05.832, 0, NVIDIA H200, 74 %, 6 %, 7769 MiB, 143771 MiB, 254.00 W
2026/05/24 12:03:05.833, 1, NVIDIA H200, 13 %, 5 %, 7771 MiB, 143771 MiB, 251.64 W
2026/05/24 12:03:05.833, 2, NVIDIA H200, 37 %, 12 %, 7775 MiB, 143771 MiB, 262.11 W
2026/05/24 12:03:05.833, 3, NVIDIA H200, 76 %, 4 %, 7775 MiB, 143771 MiB, 261.70 W
2026/05/24 12:03:35.833, 0, NVIDIA H200, 89 %, 12 %, 7771 MiB, 143771 MiB, 249.80 W
2026/05/24 12:03:35.834, 1, NVIDIA H200, 87 %, 12 %, 7771 MiB, 143771 MiB, 237.90 W
2026/05/24 12:03:35.834, 2, NVIDIA H200, 57 %, 12 %, 7775 MiB, 143771 MiB, 255.12 W
2026/05/24 12:03:35.834, 3, NVIDIA H200, 84 %, 11 %, 7775 MiB, 143771 MiB, 251.29 W
2026/05/24 12:04:05.835, 0, NVIDIA H200, 74 %, 7 %, 7771 MiB, 143771 MiB, 249.96 W
2026/05/24 12:04:05.835, 1, NVIDIA H200, 74 %, 12 %, 7771 MiB, 143771 MiB, 240.69 W
2026/05/24 12:04:05.835, 2, NVIDIA H200, 76 %, 7 %, 7775 MiB, 143771 MiB, 247.80 W
2026/05/24 12:04:05.835, 3, NVIDIA H200, 46 %, 12 %, 7775 MiB, 143771 MiB, 246.36 W
2026/05/24 12:04:35.835, 0, NVIDIA H200, 62 %, 21 %, 7775 MiB, 143771 MiB, 258.70 W
2026/05/24 12:04:35.836, 1, NVIDIA H200, 77 %, 7 %, 7771 MiB, 143771 MiB, 256.54 W
2026/05/24 12:04:35.836, 2, NVIDIA H200, 53 %, 12 %, 7775 MiB, 143771 MiB, 256.48 W
2026/05/24 12:04:35.836, 3, NVIDIA H200, 22 %, 7 %, 7775 MiB, 143771 MiB, 258.52 W
2026/05/24 12:05:05.836, 0, NVIDIA H200, 51 %, 15 %, 7775 MiB, 143771 MiB, 274.76 W
2026/05/24 12:05:05.836, 1, NVIDIA H200, 81 %, 9 %, 7775 MiB, 143771 MiB, 272.77 W
2026/05/24 12:05:05.836, 2, NVIDIA H200, 34 %, 12 %, 7775 MiB, 143771 MiB, 275.47 W
2026/05/24 12:05:05.836, 3, NVIDIA H200, 20 %, 7 %, 7775 MiB, 143771 MiB, 274.53 W
2026/05/24 12:05:35.837, 0, NVIDIA H200, 66 %, 23 %, 7775 MiB, 143771 MiB, 279.93 W
2026/05/24 12:05:35.837, 1, NVIDIA H200, 35 %, 12 %, 7775 MiB, 143771 MiB, 272.96 W
2026/05/24 12:05:35.838, 2, NVIDIA H200, 46 %, 15 %, 7775 MiB, 143771 MiB, 284.83 W
2026/05/24 12:05:35.838, 3, NVIDIA H200, 28 %, 9 %, 7775 MiB, 143771 MiB, 276.21 W
2026/05/24 12:06:05.838, 0, NVIDIA H200, 33 %, 11 %, 7775 MiB, 143771 MiB, 266.97 W
2026/05/24 12:06:05.838, 1, NVIDIA H200, 76 %, 8 %, 7775 MiB, 143771 MiB, 247.46 W
2026/05/24 12:06:05.838, 2, NVIDIA H200, 53 %, 12 %, 7775 MiB, 143771 MiB, 262.86 W
2026/05/24 12:06:05.838, 3, NVIDIA H200, 77 %, 8 %, 7775 MiB, 143771 MiB, 257.23 W
2026/05/24 12:06:35.838, 0, NVIDIA H200, 82 %, 12 %, 7775 MiB, 143771 MiB, 255.58 W
2026/05/24 12:06:35.839, 1, NVIDIA H200, 74 %, 8 %, 7775 MiB, 143771 MiB, 247.38 W
2026/05/24 12:06:35.839, 2, NVIDIA H200, 44 %, 12 %, 7775 MiB, 143771 MiB, 246.10 W
2026/05/24 12:06:35.839, 3, NVIDIA H200, 76 %, 9 %, 7775 MiB, 143771 MiB, 252.42 W
2026/05/24 12:07:05.839, 0, NVIDIA H200, 78 %, 6 %, 7775 MiB, 143771 MiB, 267.22 W
2026/05/24 12:07:05.839, 1, NVIDIA H200, 86 %, 12 %, 7775 MiB, 143771 MiB, 251.62 W
