timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/27 13:55:50.947, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.75 W
2026/05/27 13:55:50.951, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.42 W
2026/05/27 13:56:20.955, 0, NVIDIA H200, 39 %, 12 %, 7767 MiB, 143771 MiB, 313.83 W
2026/05/27 13:56:20.956, 1, NVIDIA H200, 65 %, 23 %, 7767 MiB, 143771 MiB, 318.06 W
2026/05/27 13:56:50.956, 0, NVIDIA H200, 48 %, 17 %, 7769 MiB, 143771 MiB, 326.95 W
2026/05/27 13:56:50.956, 1, NVIDIA H200, 48 %, 17 %, 7769 MiB, 143771 MiB, 317.32 W
2026/05/27 13:57:20.957, 0, NVIDIA H200, 59 %, 20 %, 7769 MiB, 143771 MiB, 319.64 W
2026/05/27 13:57:20.957, 1, NVIDIA H200, 59 %, 21 %, 7769 MiB, 143771 MiB, 328.44 W
2026/05/27 13:57:50.958, 0, NVIDIA H200, 36 %, 12 %, 7769 MiB, 143771 MiB, 327.78 W
2026/05/27 13:57:50.958, 1, NVIDIA H200, 67 %, 23 %, 7769 MiB, 143771 MiB, 333.39 W
2026/05/27 13:58:20.958, 0, NVIDIA H200, 17 %, 6 %, 7769 MiB, 143771 MiB, 308.43 W
2026/05/27 13:58:20.959, 1, NVIDIA H200, 57 %, 19 %, 7769 MiB, 143771 MiB, 311.66 W
2026/05/27 13:58:50.959, 0, NVIDIA H200, 57 %, 20 %, 7769 MiB, 143771 MiB, 325.36 W
2026/05/27 13:58:50.960, 1, NVIDIA H200, 46 %, 16 %, 7769 MiB, 143771 MiB, 344.20 W
2026/05/27 13:59:20.960, 0, NVIDIA H200, 29 %, 9 %, 7769 MiB, 143771 MiB, 318.42 W
2026/05/27 13:59:20.960, 1, NVIDIA H200, 100 %, 0 %, 7769 MiB, 143771 MiB, 154.06 W
2026/05/27 13:59:50.960, 0, NVIDIA H200, 5 %, 0 %, 18233 MiB, 143771 MiB, 168.99 W
2026/05/27 13:59:50.961, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 77.89 W
