2026/05/24 09:01:36.047, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 80.13 W
2026/05/24 09:02:06.076, 0, NVIDIA H200, 9 %, 3 %, 6655 MiB, 143771 MiB, 203.58 W
2026/05/24 09:02:36.168, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 136.38 W
2026/05/24 09:03:06.192, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 135.11 W
2026/05/24 09:03:36.223, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 127.24 W
2026/05/24 09:04:06.257, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.93 W
2026/05/24 09:04:36.285, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 134.93 W
2026/05/24 09:05:06.355, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.66 W
2026/05/24 09:05:36.383, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.53 W
2026/05/24 09:06:06.411, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.48 W
2026/05/24 09:06:36.438, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 133.99 W
2026/05/24 09:07:06.464, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.58 W
2026/05/24 09:07:36.491, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 134.87 W
2026/05/24 09:08:06.517, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 134.96 W
2026/05/24 09:08:36.543, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.55 W
2026/05/24 09:09:06.569, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.83 W
2026/05/24 09:09:36.658, 0, NVIDIA H200, 20 %, 10 %, 6655 MiB, 143771 MiB, 198.43 W
2026/05/24 09:10:06.685, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 133.51 W
2026/05/24 09:10:36.712, 0, NVIDIA H200, 15 %, 8 %, 6655 MiB, 143771 MiB, 141.58 W
2026/05/24 09:11:06.739, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 133.16 W
2026/05/24 09:11:36.766, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.51 W
2026/05/24 09:12:06.795, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 134.80 W
2026/05/24 09:12:36.822, 0, NVIDIA H200, 15 %, 8 %, 6655 MiB, 143771 MiB, 134.16 W
2026/05/24 09:13:06.847, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 135.48 W
2026/05/24 09:13:36.873, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.50 W
2026/05/24 09:14:06.899, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 126.45 W
2026/05/24 09:14:36.925, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 134.18 W
2026/05/24 09:15:06.950, 0, NVIDIA H200, 16 %, 8 %, 6655 MiB, 143771 MiB, 140.32 W
2026/05/24 09:15:36.976, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 134.83 W
2026/05/24 09:16:07.003, 0, NVIDIA H200, 0 %, 0 %, 6655 MiB, 143771 MiB, 133.65 W
2026/05/24 09:16:37.028, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.84 W
