timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 02:19:02.055, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.82 W
2026/05/24 02:19:02.058, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.82 W
2026/05/24 02:19:02.062, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.23 W
2026/05/24 02:19:02.065, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.03 W
2026/05/24 02:19:32.068, 0, NVIDIA H200, 0 %, 0 %, 1561 MiB, 143771 MiB, 117.64 W
2026/05/24 02:19:32.068, 1, NVIDIA H200, 0 %, 0 %, 1561 MiB, 143771 MiB, 116.26 W
2026/05/24 02:19:32.068, 2, NVIDIA H200, 0 %, 0 %, 1561 MiB, 143771 MiB, 114.15 W
2026/05/24 02:19:32.069, 3, NVIDIA H200, 0 %, 0 %, 1561 MiB, 143771 MiB, 118.52 W
2026/05/24 02:20:02.069, 0, NVIDIA H200, 54 %, 18 %, 7723 MiB, 143771 MiB, 318.12 W
2026/05/24 02:20:02.070, 1, NVIDIA H200, 63 %, 22 %, 7723 MiB, 143771 MiB, 304.47 W
2026/05/24 02:20:02.070, 2, NVIDIA H200, 65 %, 23 %, 7723 MiB, 143771 MiB, 297.13 W
2026/05/24 02:20:02.070, 3, NVIDIA H200, 25 %, 9 %, 7723 MiB, 143771 MiB, 317.55 W
2026/05/24 02:20:32.071, 0, NVIDIA H200, 84 %, 12 %, 7723 MiB, 143771 MiB, 264.95 W
2026/05/24 02:20:32.071, 1, NVIDIA H200, 75 %, 7 %, 7725 MiB, 143771 MiB, 260.92 W
2026/05/24 02:20:32.071, 2, NVIDIA H200, 76 %, 8 %, 7725 MiB, 143771 MiB, 258.51 W
2026/05/24 02:20:32.071, 3, NVIDIA H200, 74 %, 12 %, 7727 MiB, 143771 MiB, 270.39 W
2026/05/24 02:21:02.072, 0, NVIDIA H200, 74 %, 12 %, 7725 MiB, 143771 MiB, 251.79 W
2026/05/24 02:21:02.072, 1, NVIDIA H200, 75 %, 12 %, 7725 MiB, 143771 MiB, 249.01 W
2026/05/24 02:21:02.073, 2, NVIDIA H200, 41 %, 12 %, 7725 MiB, 143771 MiB, 251.25 W
2026/05/24 02:21:02.073, 3, NVIDIA H200, 81 %, 10 %, 7727 MiB, 143771 MiB, 250.94 W
2026/05/24 02:21:32.073, 0, NVIDIA H200, 35 %, 12 %, 7725 MiB, 143771 MiB, 261.32 W
2026/05/24 02:21:32.074, 1, NVIDIA H200, 75 %, 9 %, 7725 MiB, 143771 MiB, 250.28 W
2026/05/24 02:21:32.074, 2, NVIDIA H200, 77 %, 10 %, 7725 MiB, 143771 MiB, 250.78 W
2026/05/24 02:21:32.074, 3, NVIDIA H200, 32 %, 11 %, 7727 MiB, 143771 MiB, 255.49 W
2026/05/24 02:22:02.074, 0, NVIDIA H200, 75 %, 9 %, 7725 MiB, 143771 MiB, 266.84 W
2026/05/24 02:22:02.075, 1, NVIDIA H200, 12 %, 4 %, 7725 MiB, 143771 MiB, 244.82 W
2026/05/24 02:22:02.075, 2, NVIDIA H200, 76 %, 5 %, 7725 MiB, 143771 MiB, 255.87 W
2026/05/24 02:22:02.075, 3, NVIDIA H200, 75 %, 12 %, 7727 MiB, 143771 MiB, 266.28 W
2026/05/24 02:22:32.075, 0, NVIDIA H200, 81 %, 12 %, 7725 MiB, 143771 MiB, 292.49 W
2026/05/24 02:22:32.076, 1, NVIDIA H200, 65 %, 22 %, 7725 MiB, 143771 MiB, 285.04 W
2026/05/24 02:22:32.076, 2, NVIDIA H200, 69 %, 23 %, 7725 MiB, 143771 MiB, 278.75 W
2026/05/24 02:22:32.076, 3, NVIDIA H200, 28 %, 9 %, 7727 MiB, 143771 MiB, 284.54 W
2026/05/24 02:23:02.076, 0, NVIDIA H200, 75 %, 7 %, 7725 MiB, 143771 MiB, 291.70 W
2026/05/24 02:23:02.077, 1, NVIDIA H200, 63 %, 21 %, 7725 MiB, 143771 MiB, 274.32 W
2026/05/24 02:23:02.077, 2, NVIDIA H200, 61 %, 19 %, 7725 MiB, 143771 MiB, 271.88 W
2026/05/24 02:23:02.077, 3, NVIDIA H200, 55 %, 18 %, 7727 MiB, 143771 MiB, 284.74 W
2026/05/24 02:23:32.077, 0, NVIDIA H200, 65 %, 20 %, 7725 MiB, 143771 MiB, 270.22 W
2026/05/24 02:23:32.078, 1, NVIDIA H200, 75 %, 11 %, 7725 MiB, 143771 MiB, 265.62 W
2026/05/24 02:23:32.078, 2, NVIDIA H200, 74 %, 12 %, 7725 MiB, 143771 MiB, 258.63 W
2026/05/24 02:23:32.078, 3, NVIDIA H200, 35 %, 12 %, 7727 MiB, 143771 MiB, 256.94 W
2026/05/24 02:24:02.078, 0, NVIDIA H200, 83 %, 12 %, 7725 MiB, 143771 MiB, 259.14 W
2026/05/24 02:24:02.078, 1, NVIDIA H200, 75 %, 9 %, 7725 MiB, 143771 MiB, 248.80 W
2026/05/24 02:24:02.078, 2, NVIDIA H200, 75 %, 9 %, 7725 MiB, 143771 MiB, 249.38 W
2026/05/24 02:24:02.079, 3, NVIDIA H200, 75 %, 12 %, 7727 MiB, 143771 MiB, 252.61 W
2026/05/24 02:24:32.079, 0, NVIDIA H200, 43 %, 14 %, 7725 MiB, 143771 MiB, 256.08 W
2026/05/24 02:24:32.079, 1, NVIDIA H200, 75 %, 3 %, 7725 MiB, 143771 MiB, 246.49 W
2026/05/24 02:24:32.080, 2, NVIDIA H200, 13 %, 3 %, 7725 MiB, 143771 MiB, 245.35 W
2026/05/24 02:24:32.080, 3, NVIDIA H200, 39 %, 13 %, 7727 MiB, 143771 MiB, 259.38 W
2026/05/24 02:25:02.080, 0, NVIDIA H200, 27 %, 9 %, 7725 MiB, 143771 MiB, 252.48 W
2026/05/24 02:25:02.080, 1, NVIDIA H200, 88 %, 11 %, 7725 MiB, 143771 MiB, 236.54 W
2026/05/24 02:25:02.081, 2, NVIDIA H200, 35 %, 12 %, 7725 MiB, 143771 MiB, 241.30 W
2026/05/24 02:25:02.081, 3, NVIDIA H200, 54 %, 18 %, 7727 MiB, 143771 MiB, 249.04 W
2026/05/24 02:25:32.081, 0, NVIDIA H200, 65 %, 15 %, 7725 MiB, 143771 MiB, 250.28 W
2026/05/24 02:25:32.081, 1, NVIDIA H200, 68 %, 12 %, 7725 MiB, 143771 MiB, 247.65 W
2026/05/24 02:25:32.081, 2, NVIDIA H200, 50 %, 12 %, 7729 MiB, 143771 MiB, 242.93 W
2026/05/24 02:25:32.081, 3, NVIDIA H200, 18 %, 7 %, 7727 MiB, 143771 MiB, 247.97 W
2026/05/24 02:26:02.082, 0, NVIDIA H200, 24 %, 9 %, 7725 MiB, 143771 MiB, 264.97 W
2026/05/24 02:26:02.082, 1, NVIDIA H200, 67 %, 12 %, 7725 MiB, 143771 MiB, 267.31 W
2026/05/24 02:26:02.082, 2, NVIDIA H200, 44 %, 14 %, 7729 MiB, 143771 MiB, 260.23 W
2026/05/24 02:26:02.082, 3, NVIDIA H200, 35 %, 12 %, 7727 MiB, 143771 MiB, 272.52 W
2026/05/24 02:26:32.082, 0, NVIDIA H200, 82 %, 12 %, 7725 MiB, 143771 MiB, 277.66 W
2026/05/24 02:26:32.082, 1, NVIDIA H200, 59 %, 12 %, 7725 MiB, 143771 MiB, 265.97 W
2026/05/24 02:26:32.082, 2, NVIDIA H200, 64 %, 12 %, 7729 MiB, 143771 MiB, 269.35 W
