timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/25 06:50:36.565, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.61 W
2026/05/25 06:50:36.569, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.92 W
2026/05/25 06:50:36.572, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.23 W
2026/05/25 06:50:36.575, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 78.63 W
2026/05/25 06:51:06.578, 0, NVIDIA H200, 50 %, 19 %, 8191 MiB, 143771 MiB, 351.39 W
2026/05/25 06:51:06.578, 1, NVIDIA H200, 53 %, 19 %, 8191 MiB, 143771 MiB, 340.32 W
2026/05/25 06:51:06.578, 2, NVIDIA H200, 59 %, 21 %, 8191 MiB, 143771 MiB, 345.46 W
2026/05/25 06:51:06.578, 3, NVIDIA H200, 45 %, 16 %, 8191 MiB, 143771 MiB, 350.09 W
2026/05/25 06:51:36.579, 0, NVIDIA H200, 51 %, 19 %, 8191 MiB, 143771 MiB, 324.18 W
2026/05/25 06:51:36.579, 1, NVIDIA H200, 80 %, 14 %, 8191 MiB, 143771 MiB, 314.50 W
2026/05/25 06:51:36.579, 2, NVIDIA H200, 59 %, 21 %, 8191 MiB, 143771 MiB, 326.66 W
2026/05/25 06:51:36.579, 3, NVIDIA H200, 45 %, 16 %, 8193 MiB, 143771 MiB, 316.84 W
2026/05/25 06:52:06.580, 0, NVIDIA H200, 42 %, 14 %, 8191 MiB, 143771 MiB, 265.69 W
2026/05/25 06:52:06.580, 1, NVIDIA H200, 85 %, 14 %, 8193 MiB, 143771 MiB, 258.03 W
2026/05/25 06:52:06.580, 2, NVIDIA H200, 63 %, 23 %, 8197 MiB, 143771 MiB, 267.20 W
2026/05/25 06:52:06.580, 3, NVIDIA H200, 67 %, 25 %, 8193 MiB, 143771 MiB, 268.26 W
2026/05/25 06:52:36.580, 0, NVIDIA H200, 46 %, 17 %, 8191 MiB, 143771 MiB, 270.23 W
2026/05/25 06:52:36.581, 1, NVIDIA H200, 46 %, 17 %, 8193 MiB, 143771 MiB, 262.38 W
2026/05/25 06:52:36.581, 2, NVIDIA H200, 70 %, 26 %, 8197 MiB, 143771 MiB, 264.10 W
2026/05/25 06:52:36.581, 3, NVIDIA H200, 60 %, 22 %, 8193 MiB, 143771 MiB, 264.36 W
2026/05/25 06:53:06.581, 0, NVIDIA H200, 78 %, 0 %, 8191 MiB, 143771 MiB, 266.78 W
2026/05/25 06:53:06.581, 1, NVIDIA H200, 37 %, 14 %, 8193 MiB, 143771 MiB, 257.47 W
2026/05/25 06:53:06.582, 2, NVIDIA H200, 74 %, 9 %, 8197 MiB, 143771 MiB, 265.58 W
2026/05/25 06:53:06.582, 3, NVIDIA H200, 70 %, 14 %, 8193 MiB, 143771 MiB, 259.35 W
2026/05/25 06:53:36.582, 0, NVIDIA H200, 71 %, 20 %, 8199 MiB, 143771 MiB, 270.97 W
2026/05/25 06:53:36.582, 1, NVIDIA H200, 99 %, 9 %, 8193 MiB, 143771 MiB, 261.73 W
2026/05/25 06:53:36.582, 2, NVIDIA H200, 39 %, 14 %, 8197 MiB, 143771 MiB, 272.42 W
2026/05/25 06:53:36.583, 3, NVIDIA H200, 91 %, 14 %, 8193 MiB, 143771 MiB, 264.11 W
2026/05/25 06:54:06.583, 0, NVIDIA H200, 76 %, 14 %, 8199 MiB, 143771 MiB, 285.31 W
2026/05/25 06:54:06.583, 1, NVIDIA H200, 99 %, 0 %, 8197 MiB, 143771 MiB, 271.88 W
2026/05/25 06:54:06.583, 2, NVIDIA H200, 32 %, 11 %, 8199 MiB, 143771 MiB, 282.64 W
2026/05/25 06:54:06.584, 3, NVIDIA H200, 18 %, 6 %, 8193 MiB, 143771 MiB, 268.29 W
2026/05/25 06:54:36.584, 0, NVIDIA H200, 53 %, 19 %, 8199 MiB, 143771 MiB, 321.34 W
2026/05/25 06:54:36.584, 1, NVIDIA H200, 65 %, 22 %, 8197 MiB, 143771 MiB, 317.97 W
2026/05/25 06:54:36.584, 2, NVIDIA H200, 58 %, 21 %, 8199 MiB, 143771 MiB, 318.75 W
2026/05/25 06:54:36.584, 3, NVIDIA H200, 68 %, 25 %, 8193 MiB, 143771 MiB, 304.06 W
2026/05/25 06:55:06.585, 0, NVIDIA H200, 53 %, 20 %, 8199 MiB, 143771 MiB, 328.51 W
2026/05/25 06:55:06.585, 1, NVIDIA H200, 48 %, 17 %, 8197 MiB, 143771 MiB, 324.23 W
2026/05/25 06:55:06.585, 2, NVIDIA H200, 52 %, 18 %, 8199 MiB, 143771 MiB, 317.90 W
2026/05/25 06:55:06.585, 3, NVIDIA H200, 51 %, 19 %, 8193 MiB, 143771 MiB, 318.67 W
2026/05/25 06:55:36.585, 0, NVIDIA H200, 1 %, 0 %, 8199 MiB, 143771 MiB, 280.95 W
2026/05/25 06:55:36.585, 1, NVIDIA H200, 74 %, 8 %, 8197 MiB, 143771 MiB, 275.88 W
2026/05/25 06:55:36.586, 2, NVIDIA H200, 74 %, 14 %, 8199 MiB, 143771 MiB, 289.52 W
2026/05/25 06:55:36.586, 3, NVIDIA H200, 72 %, 0 %, 8193 MiB, 143771 MiB, 267.10 W
2026/05/25 06:56:06.586, 0, NVIDIA H200, 88 %, 0 %, 8199 MiB, 143771 MiB, 269.85 W
2026/05/25 06:56:06.586, 1, NVIDIA H200, 96 %, 7 %, 8197 MiB, 143771 MiB, 264.82 W
2026/05/25 06:56:06.586, 2, NVIDIA H200, 87 %, 0 %, 8199 MiB, 143771 MiB, 270.26 W
2026/05/25 06:56:06.586, 3, NVIDIA H200, 37 %, 13 %, 8193 MiB, 143771 MiB, 266.43 W
2026/05/25 06:56:36.586, 0, NVIDIA H200, 65 %, 23 %, 8199 MiB, 143771 MiB, 282.86 W
2026/05/25 06:56:36.587, 1, NVIDIA H200, 45 %, 16 %, 8197 MiB, 143771 MiB, 273.32 W
2026/05/25 06:56:36.587, 2, NVIDIA H200, 48 %, 17 %, 8199 MiB, 143771 MiB, 274.53 W
2026/05/25 06:56:36.587, 3, NVIDIA H200, 56 %, 14 %, 8193 MiB, 143771 MiB, 273.19 W
2026/05/25 06:57:06.587, 0, NVIDIA H200, 65 %, 23 %, 8199 MiB, 143771 MiB, 286.36 W
2026/05/25 06:57:06.588, 1, NVIDIA H200, 58 %, 14 %, 8197 MiB, 143771 MiB, 270.99 W
2026/05/25 06:57:06.588, 2, NVIDIA H200, 55 %, 19 %, 8199 MiB, 143771 MiB, 282.32 W
2026/05/25 06:57:06.588, 3, NVIDIA H200, 36 %, 14 %, 8193 MiB, 143771 MiB, 275.86 W
2026/05/25 06:57:36.588, 0, NVIDIA H200, 69 %, 26 %, 8199 MiB, 143771 MiB, 302.23 W
2026/05/25 06:57:36.588, 1, NVIDIA H200, 45 %, 16 %, 8197 MiB, 143771 MiB, 296.17 W
2026/05/25 06:57:36.589, 2, NVIDIA H200, 49 %, 16 %, 8201 MiB, 143771 MiB, 305.78 W
2026/05/25 06:57:36.589, 3, NVIDIA H200, 58 %, 21 %, 8193 MiB, 143771 MiB, 295.31 W
2026/05/25 06:58:06.589, 0, NVIDIA H200, 41 %, 14 %, 8199 MiB, 143771 MiB, 298.97 W
2026/05/25 06:58:06.589, 1, NVIDIA H200, 44 %, 14 %, 8197 MiB, 143771 MiB, 283.21 W
2026/05/25 06:58:06.590, 2, NVIDIA H200, 67 %, 23 %, 8201 MiB, 143771 MiB, 302.63 W
2026/05/25 06:58:06.590, 3, NVIDIA H200, 39 %, 14 %, 8195 MiB, 143771 MiB, 289.93 W
2026/05/25 06:58:36.590, 0, NVIDIA H200, 38 %, 14 %, 8199 MiB, 143771 MiB, 288.21 W
2026/05/25 06:58:36.590, 1, NVIDIA H200, 99 %, 13 %, 8197 MiB, 143771 MiB, 271.79 W
2026/05/25 06:58:36.590, 2, NVIDIA H200, 62 %, 23 %, 8201 MiB, 143771 MiB, 276.44 W
2026/05/25 06:58:36.590, 3, NVIDIA H200, 84 %, 14 %, 8195 MiB, 143771 MiB, 281.04 W
2026/05/25 06:59:06.590, 0, NVIDIA H200, 56 %, 20 %, 8199 MiB, 143771 MiB, 266.81 W
2026/05/25 06:59:06.591, 1, NVIDIA H200, 0 %, 0 %, 8197 MiB, 143771 MiB, 259.70 W
