timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 11:39:05.758, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:39:35.762, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:40:05.762, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:40:35.763, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 11:41:05.763, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:41:35.764, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:42:05.765, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:42:35.766, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:43:05.766, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:43:35.767, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:44:05.767, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:44:35.768, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:45:05.768, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:45:35.769, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:46:05.769, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:46:35.770, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:47:05.771, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:47:35.772, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:48:05.772, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:48:35.773, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:49:05.774, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:49:35.774, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:50:05.775, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:50:35.776, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:51:05.777, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:51:35.778, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:52:05.778, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:52:35.779, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.60 W
2026/05/24 11:53:05.779, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:53:35.780, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:54:05.780, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:54:35.781, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:55:05.782, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:55:35.782, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:56:05.783, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:56:35.784, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:57:05.784, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.60 W
2026/05/24 11:57:35.785, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:58:05.785, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:58:35.786, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
