timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 12:35:04.180, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.90 W
2026/05/24 12:35:04.183, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.00 W
2026/05/24 12:35:04.187, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.10 W
2026/05/24 12:35:04.190, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.95 W
2026/05/24 12:35:34.192, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.59 W
2026/05/24 12:35:34.193, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.02 W
2026/05/24 12:35:34.193, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.97 W
2026/05/24 12:35:34.193, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.91 W
2026/05/24 12:36:04.193, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.62 W
2026/05/24 12:36:04.194, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.02 W
2026/05/24 12:36:04.194, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.08 W
2026/05/24 12:36:04.194, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.90 W
2026/05/24 12:36:34.194, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.70 W
2026/05/24 12:36:34.195, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.03 W
2026/05/24 12:36:34.195, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.05 W
2026/05/24 12:36:34.195, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.90 W
2026/05/24 12:37:04.195, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 130.11 W
2026/05/24 12:37:04.196, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.98 W
2026/05/24 12:37:04.196, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.02 W
2026/05/24 12:37:04.196, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.85 W
2026/05/24 12:37:34.197, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.63 W
2026/05/24 12:37:34.197, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.02 W
2026/05/24 12:37:34.197, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.01 W
2026/05/24 12:37:34.197, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.91 W
2026/05/24 12:38:04.198, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.68 W
2026/05/24 12:38:04.198, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.03 W
2026/05/24 12:38:04.198, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.03 W
2026/05/24 12:38:04.198, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.92 W
2026/05/24 12:38:34.199, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 130.54 W
2026/05/24 12:38:34.199, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.00 W
2026/05/24 12:38:34.199, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.01 W
2026/05/24 12:38:34.199, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.86 W
2026/05/24 12:39:04.200, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.60 W
2026/05/24 12:39:04.200, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.99 W
2026/05/24 12:39:04.200, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.04 W
2026/05/24 12:39:04.200, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.88 W
2026/05/24 12:39:34.201, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.68 W
2026/05/24 12:39:34.201, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.98 W
2026/05/24 12:39:34.201, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.05 W
2026/05/24 12:39:34.201, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.83 W
2026/05/24 12:40:04.202, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.60 W
2026/05/24 12:40:04.203, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.97 W
2026/05/24 12:40:04.203, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.02 W
2026/05/24 12:40:04.203, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.93 W
2026/05/24 12:40:34.203, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 132.11 W
2026/05/24 12:40:34.204, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.00 W
2026/05/24 12:40:34.204, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.01 W
2026/05/24 12:40:34.204, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.90 W
2026/05/24 12:41:04.205, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.66 W
2026/05/24 12:41:04.205, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.99 W
2026/05/24 12:41:04.205, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 76.00 W
2026/05/24 12:41:04.205, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.86 W
2026/05/24 12:41:34.206, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.64 W
2026/05/24 12:41:34.206, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.01 W
2026/05/24 12:41:34.206, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.99 W
2026/05/24 12:41:34.207, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.93 W
2026/05/24 12:42:04.207, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 130.21 W
2026/05/24 12:42:04.207, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.97 W
2026/05/24 12:42:04.207, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.93 W
2026/05/24 12:42:04.208, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.86 W
2026/05/24 12:42:34.208, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 116.62 W
2026/05/24 12:42:34.208, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.04 W
2026/05/24 12:42:34.208, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.95 W
2026/05/24 12:42:34.209, 3, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.81 W
2026/05/24 12:43:04.209, 0, NVIDIA H200, 0 %, 0 %, 6669 MiB, 143771 MiB, 130.12 W
2026/05/24 12:43:04.209, 1, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 74.98 W
2026/05/24 12:43:04.210, 2, NVIDIA H200, 0 %, 0 %, 4 MiB, 143771 MiB, 75.97 W
