timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/24 10:11:07.449, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.57 W
2026/05/24 10:11:37.453, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.55 W
2026/05/24 10:12:07.454, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.57 W
2026/05/24 10:12:37.455, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.54 W
2026/05/24 10:13:07.455, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.55 W
2026/05/24 10:13:37.456, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.58 W
2026/05/24 10:14:07.457, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.53 W
2026/05/24 10:14:37.458, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.57 W
2026/05/24 10:15:07.458, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.55 W
2026/05/24 10:15:37.459, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.53 W
2026/05/24 10:16:07.460, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.55 W
2026/05/24 10:16:37.461, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.53 W
2026/05/24 10:17:07.461, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.52 W
2026/05/24 10:17:37.461, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.54 W
2026/05/24 10:18:07.462, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.54 W
2026/05/24 10:18:37.462, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.53 W
2026/05/24 10:19:07.463, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.54 W
2026/05/24 10:19:37.463, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.57 W
2026/05/24 10:20:07.464, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.56 W
2026/05/24 10:20:37.464, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.56 W
2026/05/24 10:21:07.465, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.55 W
2026/05/24 10:21:37.466, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.53 W
2026/05/24 10:22:07.466, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.50 W
2026/05/24 10:22:37.467, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:23:07.467, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:23:37.468, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.49 W
2026/05/24 10:24:07.469, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:24:37.469, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.50 W
2026/05/24 10:25:07.469, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:25:37.470, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.52 W
2026/05/24 10:26:07.470, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:26:37.471, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.50 W
2026/05/24 10:27:07.471, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:27:37.472, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:28:07.472, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.50 W
2026/05/24 10:28:37.473, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.50 W
2026/05/24 10:29:07.473, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:29:37.474, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.54 W
2026/05/24 10:30:07.474, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.49 W
2026/05/24 10:30:37.475, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.52 W
2026/05/24 10:31:07.476, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.48 W
2026/05/24 10:31:37.476, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.53 W
2026/05/24 10:32:07.477, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.49 W
2026/05/24 10:32:37.477, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.49 W
2026/05/24 10:33:07.478, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.51 W
2026/05/24 10:33:37.479, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.50 W
2026/05/24 10:34:07.479, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.48 W
2026/05/24 10:34:37.480, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.49 W
2026/05/24 10:35:07.480, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:35:37.481, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:36:07.482, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:36:37.482, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:37:07.483, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:37:37.483, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 10:38:07.484, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:38:37.484, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:39:07.485, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:39:37.485, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:40:07.486, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 10:40:37.487, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:41:07.487, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 10:41:37.488, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:42:07.488, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 10:42:37.489, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 10:43:07.490, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:43:37.490, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:44:07.491, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:44:37.492, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:45:07.492, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:45:37.493, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:46:07.493, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:46:37.494, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:47:07.494, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 10:47:37.495, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:48:07.497, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:48:37.498, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:49:07.498, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 10:49:37.499, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 10:50:07.500, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:50:37.500, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 10:51:07.501, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:51:37.501, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 10:52:07.502, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 10:52:37.502, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:53:07.502, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:53:37.503, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:54:07.503, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 10:54:37.504, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 10:55:07.504, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 10:55:37.505, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 10:56:07.506, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:56:37.506, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 10:57:07.507, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 10:57:37.507, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:58:07.507, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 10:58:37.507, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 10:59:07.508, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 10:59:37.509, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:00:07.509, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:00:37.510, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:01:07.510, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.68 W
2026/05/24 11:01:37.511, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:02:07.512, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:02:37.512, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.60 W
2026/05/24 11:03:07.513, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:03:37.513, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 11:04:07.514, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:04:37.514, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:05:07.515, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:05:37.515, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:06:07.516, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:06:37.517, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:07:07.517, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.67 W
2026/05/24 11:07:37.518, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:08:07.518, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.58 W
2026/05/24 11:08:37.519, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:09:07.519, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:09:37.520, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:10:07.521, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:10:37.521, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:11:07.522, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:11:37.522, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:12:07.523, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:12:37.524, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:13:07.524, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:13:37.525, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:14:07.525, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:14:37.526, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:15:07.527, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:15:37.527, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:16:07.528, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:16:37.529, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:17:07.529, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:17:37.530, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:18:07.531, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:18:37.531, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:19:07.532, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:19:37.533, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.66 W
2026/05/24 11:20:07.533, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:20:37.534, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:21:07.534, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:21:37.535, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.58 W
2026/05/24 11:22:07.536, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:22:37.536, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:23:07.538, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:23:37.538, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:24:07.539, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:24:37.539, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:25:07.540, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:25:37.541, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:26:07.541, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.65 W
2026/05/24 11:26:37.542, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.61 W
2026/05/24 11:27:07.543, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:27:37.543, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
2026/05/24 11:28:07.544, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.62 W
2026/05/24 11:28:37.544, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.63 W
2026/05/24 11:29:07.545, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 79.64 W
